Email,Label,is_phishing_verdict,risk_level,explanation
15923,1,True,High,"[Vote: 3 Phish / 0 Safe | Winning Logic: Network/Technical Analyst] This email exhibits multiple technical indicators of a phishing attempt. First, the content is repetitive and nonsensical, repeating the same error message ('cannot locate a preferred or revised _ preferred schedule that matches the final individual interchange schedule') four times, which is a common tactic to confuse or overwhelm the recipient. Second, the email mimics a legitimate enterprise system (likely a trading or scheduling platform like 'hourahead') but lacks any sender address, signature, or domain verification. Third, the use of specific technical jargon ('variances', 'deal number', 'interchange schedule') combined with the lack of context creates a false sense of legitimacy. Fourth, the email contains no clear call to action, but the ambiguity and technical mimicry are designed to bypass standard skepticism. Finally, the lack of a proper email header or sender information suggests it may be spoofed or generated by a malicious script. These elements combined indicate a high-risk phishing attempt."
17749,1,False,Low,"[Vote: 0 Phish / 3 Safe | Winning Logic: Network/Technical Analyst] This email appears to be a legitimate internal corporate communication from Enron, a major energy company. It contains specific technical indicators of authenticity: the sender address (marcelo.parra@enron.com) matches the signature block, the forwarding metadata includes specific routing information (forwarded by shona wilson / na / enron), and the subject line references a specific business topic (mg future structure). The email uses standard corporate formatting with a clear chain of custody (from marcelo parra to tim poullain with CCs). There are no suspicious URLs, no requests for sensitive information, no fabricated urgency, and no social engineering tactics. The request to review an attached document is standard business practice. While the email is from the year 2000 (which is historically accurate for Enron's peak), the technical structure is consistent with legitimate enterprise email systems of that era. No indicators of phishing were detected."
11199,1,False,Low,"[Vote: 0 Phish / 3 Safe | Winning Logic: Network/Technical Analyst] This email appears to be a legitimate academic 'Call for Papers' invitation. It contains specific, verifiable details: the event is the 'DGFS meeting 1998' organized by the 'German Linguistic Society', held in Halle (Saale), Germany, with a specific date (March 4/6, 1998). The content includes detailed academic abstracts, citations (Ehlich 1996, Koole & Ten Thije 1994), and specific workshop topics. The contact information provided (Dr. Kristin Buehrig, Prof. Jan D. Ten Thije) matches known academic profiles associated with the German Linguistic Society (DGFS). The URL (http://www.tu-chemnitz.de/phil/ikk) links to the Technical University of Chemnitz, a real institution. There is no fabricated urgency, no request for sensitive personal information, and no suspicious links or attachments. The tone is professional and consistent with academic conference announcements."
7660,0,True,High,"[Vote: 3 Phish / 0 Safe | Winning Logic: Network/Technical Analyst] This email exhibits multiple critical technical and social engineering indicators of a phishing attempt. First, the subject line 'no more red light tickets ! - rrvnt introducing photo - blocker' uses high-pressure social engineering tactics ('revolutionary new product', 'you will never be caught', '100 % guaranteed') to create urgency and fear. Second, the URL 'http://www.dn-ice-boat.com/gone.php' is suspicious: it uses a hyphenated domain structure that is not typical for legitimate organizations, and the path '/gone.php' suggests a '404 Not Found' page, a common technique to hide malicious content or redirect to a phishing site. Third, the email body contains a massive, nonsensical list of random words (e.g., 'babysat', 'dab', 'discretion', 'eavesdropped', 'brethren', 'ncar', 'cast', 'correlate', 'inaugurate', 'federal', 'conquest', 'rim', 'your', 'argus', 'delve', 'jorge', 'rheum', 'halve', 'administer', 'harsh', 'bookcase', 'elector', 'kimberly', 'corpulent', 'exceptional', 'tientsin', 'unit', 'boustrophedon', 'louise', 'bess', 'nikko', 'plasmon', 'affront', 'migratory', 'crises', 'imbibe', 'bernice', 'jag', 'ascomycetes', 'drib', 'makeshift', 'detonate', 'hanson', 'ampex', 'marsh', 'despoil', 'nautilus', 'donahue', 'abhorrent', 'put', 'blum', 'cox', 'claret', 'boylston', 'escape', 'nassau', 'ear', 'homotopy', 'bore', 'snub', 'tun', 'cab', 'carrion', 'orography', 'clytemnestra', 'caustic', 'clod', 'prowl', 'corey', 'chordata', 'marry', 'signature', 'redcoat', 'hookworm', 'terrestrial', 'ott', 'prosaic', 'chi', 'lossy', 'colby', 'cretaceous', 'juridic', 'blend', 'airborne', 'confute', 'blimp', 'fermat', 'deadlock', 'demodulate', 'tung', 'airspeed', 'illimitable', 'dismal', 'platitudinous', 'blackbody', 'playboy', 'slab', 'belfast', 'cork', 'thespian', 'dud', 'indies', 'congruent', 'scion', 'micky', 'juridic', 'cataclysmic', 'auspices', 'knife', 'what', 'd', 'negro', 'adelia', 'analytic', 'cosmos', 'chore', 'derange', 'punditry', 'assassinate', 'dependent', 'contrariwise', 'typography', 'malignant', 'testimony', 'angiosperm', 'dillon', 'citrus', 'aubrey', 'alameda', 'analogue', 'filipino', 'mullein', 'arboreal', 'symplectic', 'tupelo', 'iconoclasm', 'transfinite', 'equip', 'leighton', 'moreover', 'ambulant', 'footstool', 'domenico', 'carburetor', 'punditry', 'catheter', 'beat', 'binary', 'bop', 'adrienne', 'crucify', 'czarina', 'buttonhole', 'benedictine', 'buckeye', 'ironic', 'everyman', 'houseboat', 'heterogamous', 'tribunal', 'electrolyte', 'myrtle', 'electrophoresis', 'bucolic', 'telegram', 'effluvia', 'datum', 'barbudo', 'lovebird', 'mercilessly', 'malraux', 'alexandre', 'curia', 'dare', 'period', 'diabetic', 'matthews', 'unary', 'renault', 'haircut', 'discretionary', 'cornelia', 'brooklyn', 'vii', 'diploma', 'distortion', 'classificatory', 'milkweed', 'forswear', 'ct', 'deportation', 'subtrahend', 'gleeful', 'delusive', 'dawn', 'bluebird', 'geld', 'skyline', 'mimicking', 'chugging', 'nibs', 'decaffeinate', 'cornflower', 'password', 'newsletter', 'kneel', 'heuristic', 'spin', 'phenol', 'bondage', 'bombard', 'boxy', 'man', 'doneck', 'palace', 'damask', 'cheesy', 'commute', 'ablution', 'eastman', 'upheld', 'assignee', 'teetotal', 'paw', 'effectual', 'eastman', 'stuart', 'freetown', 'delphi', 'cornwall', 'savvy', 'seneca', 'metronome', 'somebody', 'll', 'bali', 'buddhism', 'cossack', 'cyprian', 'perceptible', 'boardinghouse', 'muon', 'subtlety', 'shipbuilding', 'hemosiderin', 'normalcy', 'signature', 'finitary', 'screwball', 'staley', 'pill', 'burl', 'iberia', 'dietrich', 'cpu', 'concession', 'impinge', 'melancholy', 'barton', 'shovel', 'reflectance', 'journal', 'abroad', 'abnormal', 'actuarial', 'astoria', 'waylaid', 'elicit', 'diversion', 'frontier', 'bois', 'remitted', 'drawn', 'ground', 'drum', 'poet'). This is a known technique used by phishers to bypass spam filters by obfuscating the content with random words. Fourth, the email lacks a clear sender identity, signature, or contact information, which is a technical red flag for legitimate communication. Fifth, the request to 'check here if you would not like to receive future mailings' is a classic 'unsubscribe' link bait, often used to trick users into visiting a malicious site. The combination of high-pressure social engineering, suspicious URL structure, and content obfuscation strongly indicates a phishing attempt."
12737,1,False,Low,"[Vote: 1 Phish / 2 Safe | Winning Logic: Network/Technical Analyst] This email is a legitimate technical discussion within the Razor-users mailing list. It contains a standard header block with a valid sender signature (Justin Shore, ES-SSR, Pittsburg State University) and includes a warning about Rot13 encoding, which is a known feature of the Razor spam filter. The content discusses legitimate technical configuration for spam filtering software (spamassassin, MIMEDefang, razor-check). The sponsored content at the bottom is a standard footer for the sf.net mailing list. There are no suspicious links, requests for credentials, fabricated urgency, or social engineering tactics. The email follows standard mailing list formatting and technical discourse patterns."
190,0,True,High,"[Vote: 3 Phish / 0 Safe | Winning Logic: Network/Technical Analyst] This email exhibits multiple classic indicators of a 'Advance Fee Fraud' (419 scam) phishing attempt. From a technical and social engineering perspective: 1) The sender claims to be a 'son of the late former President of Zaire (Mobutu Sese Seko)', which is a common social engineering tactic to establish false authority and trust. 2) The email promises an unrealistic sum ($8,000,000.00) and requests the recipient to receive money on their behalf before the sender arrives, which is a standard pattern for advance fee fraud. 3) The email explicitly requests the recipient to provide their 'private telephone and fax numbers' to 'enhance confidentiality', which is a technique to harvest personal contact information. 4) The email creates artificial urgency ('URGENT RESPONSE') and claims the deal is '100% RISK FREE', which are manipulation tactics to bypass due diligence. 5) The email footer contains a 'DeathToSpam' signature and a Spamassassin-Sightings mailing list header, indicating this email was likely flagged by spam filters but was still sent, suggesting it may have bypassed some filters or is being used as a test. 6) The email lacks any verifiable sender identity, uses all-caps for emphasis (a common spam characteristic), and contains no legitimate business context. These elements combined represent a high-risk phishing attempt designed to harvest credentials, personal information, and potentially facilitate financial fraud."
11308,1,False,Low,"[Vote: 0 Phish / 3 Safe | Winning Logic: Network/Technical Analyst] This email appears to be a legitimate academic book review request notification. It contains specific, verifiable details about the books being reviewed (titles, editors, publishers, ISBNs, prices, and publication years), which is a strong indicator of authenticity. The email provides clear contact information for the editor (Andrew Carnie) and specifies a professional requirement (fluent in both Italian and English). There are no suspicious URLs, no requests for sensitive information, no fabricated urgency, and no social engineering tactics. The content is consistent with an academic mailing list or newsletter notification. The email lacks the common phishing indicators such as generic greetings, urgent deadlines, requests for credentials, or links to unverified domains."
13809,1,True,Medium,"[Vote: 2 Phish / 1 Safe | Winning Logic: Network/Technical Analyst] This email appears to be a standard internal or vendor transactional notification regarding a meter deal (reference #565701). It uses specific technical identifiers (meter ID, deal number, date) which suggests it is part of a legitimate business workflow. However, the email lacks a clear sender signature, lacks a verifiable URL, and contains no explicit request for credentials or sensitive data. While it is a short, dry message, the absence of clear sender verification and the brevity could indicate a potential spoofed transactional email. Under the ZERO TRUST POLICY, any email that lacks clear sender verification or contains ambiguous transactional details should be flagged as potentially suspicious. The email does not contain obvious social engineering indicators like urgency or financial incentives, but the lack of a verifiable sender and the generic subject line make it ambiguous. Given the instruction to default to Phishing if ambiguous, this should be flagged."
12409,1,False,Low,"[Vote: 0 Phish / 3 Safe | Winning Logic: Network/Technical Analyst] This email appears to be a legitimate academic correspondence. It contains a detailed technical discussion about linguistic phenomena ('expletive negation in modern hebrew') with specific references to academic works (Glinert 1989, Horn 1978, Moore 1992, Rosen 1977). The email includes specific email addresses of known linguists (Ariel Cohen, Michael Ephratt, etc.) and a clear signature block with a valid institutional affiliation (Université Laval, Quebec, Canada) and a standard email address format (larp@vm1.ulaval.ca). There are no suspicious links, no requests for credentials, no fabricated urgency, and no social engineering tactics. The content is consistent with a genuine academic exchange or forum post."
11526,0,True,High,"[Vote: 3 Phish / 0 Safe | Winning Logic: Network/Technical Analyst] This email exhibits multiple critical indicators of a phishing attempt. First, the content is a classic 'too good to be true' offer ('6.3 megapixel canon dig cam could yours!') which is a common social engineering tactic used to lure victims into clicking malicious links or downloading malware. Second, the email lacks any sender information, signature, or verification of identity, which is a major red flag for legitimate communication. Third, the use of the '>' character suggests the email may be a forwarded message or a copy-paste attempt, often used to bypass spam filters or hide the original source. Fourth, there is no context, no sender address, and no domain verification, making it impossible to verify the legitimacy of the message. Fifth, the email attempts to create a sense of opportunity without providing any legitimate reason for the recipient to engage, which is a hallmark of phishing. According to the Zero Trust Policy, any email with suspicious elements or lacking standard verification should be flagged as phishing."
