Email,Label,is_phishing_verdict,risk_level,explanation
15923,1,False,Low,"[Vote: 0 Phish / 3 Safe | Winning Logic: Network/Technical Analyst] This email appears to be a routine, automated report from a scheduling system. It contains specific dates, times, and technical details about parsing files and log messages. The language is dry and lacks any sense of urgency or artificial requests for sensitive information. There are no suspicious links, attachments, or social engineering tactics used in this email."
17749,1,False,Low,"[Vote: 0 Phish / 3 Safe | Winning Logic: Network/Technical Analyst] The email appears to be a legitimate internal corporate communication. It includes specific details about an updated company structure, mentions previous discussions, and requests feedback from the recipient. The language is formal and professional, without any urgent or threatening tone. The email also contains a clear subject line, a signature block with verifiable contact information, and no suspicious links or attachments."
11199,1,False,Low,"[Vote: 0 Phish / 3 Safe | Winning Logic: Network/Technical Analyst] This email appears to be a legitimate academic conference call for papers. It contains specific details about the workshop, including dates, topics, and submission guidelines. The language used is formal and technical, typical of an academic setting. There are no obvious phishing indicators such as urgent requests, suspicious links, or requests for sensitive information."
7660,0,True,High,"[Vote: 3 Phish / 0 Safe | Winning Logic: Network/Technical Analyst] The email contains a mix of random words, phrases, and sentences that do not form a coherent message. It lacks any technical or social engineering indicators that would suggest it is a legitimate communication. The presence of multiple URLs, including http://www.dn-ice-boat.com/gone.php, raises suspicions. The email's tone and content are inconsistent with standard corporate communication or automated newsletters."
12737,1,False,Low,"[Vote: 0 Phish / 3 Safe | Winning Logic: Network/Technical Analyst] The email appears to be a legitimate discussion on configuring SpamAssassin. It includes specific technical details, such as modifying user preferences and adjusting settings for MIMEDefang. The tone is informative and collaborative, with the author sharing their own experiences and seeking feedback from others. There are no obvious social engineering tactics or attempts to manipulate the recipient into divulging sensitive information. The email also includes a disclaimer about being 'quadruple Rot13'ed for protection, which suggests that the sender is aware of potential security concerns."
190,0,True,High,"[Vote: 3 Phish / 0 Safe | Winning Logic: Network/Technical Analyst] This email is a classic example of a '419 scam' or 'advance fee fraud'. It uses a fake identity, claims to have inherited a large sum of money, and asks for the recipient's assistance in transferring the funds. The email also contains multiple red flags such as poor grammar, unrealistic offers, and an urgent tone."
11308,1,False,Low,"[Vote: 0 Phish / 3 Safe | Winning Logic: Network/Technical Analyst] The email appears to be a legitimate academic or professional communication. It includes specific book titles, authors, and publication details, which are typical of scholarly or technical discussions. The tone is formal and informative, without any urgent or threatening language. The request for reviewers to contact the editor with their research interests and background is standard practice in academia. There are no suspicious links, attachments, or requests for sensitive information."
13809,1,False,Low,"[Vote: 0 Phish / 3 Safe | Winning Logic: Network/Technical Analyst] The email appears to be a standard, automated transactional message. It contains specific reference numbers ('meter 6387', 'dec 00 deal # 565701') and dates ('Dec'). The tone is formal and lacks any artificial urgency or requests for sensitive information. There are no suspicious links or attachments. The language used is consistent with internal corporate communication."
12409,1,False,Low,"[Vote: 0 Phish / 3 Safe | Winning Logic: Network/Technical Analyst] This email appears to be a legitimate academic discussion on linguistic topics, with specific references to scholarly papers. It contains no suspicious links, requests for sensitive information, or unrealistic offers. The tone and content are consistent with a genuine intellectual inquiry."
11526,0,True,High,"[Vote: 3 Phish / 0 Safe | Winning Logic: Network/Technical Analyst] The email contains a suspiciously short and vague subject line, which is unusual for a legitimate Canon camera-related communication. The use of an exclamation mark (!) in the subject line also raises suspicions. Additionally, there are no standard contact details or any indication of who sent this email. This combination of factors strongly suggests that this email is attempting to manipulate the recipient into opening a malicious link."
