Email,Label,is_phishing_verdict,risk_level,explanation
15923,1,False,Low,"The email appears to be a technical notification or log message, lacking any suspicious language, urgent requests, or attempts to extract sensitive information. The formatting and syntax are consistent with a system-generated report."
17749,1,False,Low,"Legitimate business communication with a clear subject line, proper formatting, and verifiable sender information. The email contains no suspicious links or attachments, and the language used is professional and concise."
11199,1,False,Low,"Legitimate academic call for papers with a verifiable signature block, standard contact details, and no suspicious links or requests for sensitive information. The email is well-written, formal, and lacks any fabricated urgency."
7660,0,True,High,"The email contains a suspiciously long and nonsensical subject line, lacks any legitimate context or purpose, and directs the victim to an unofficial domain. The text is also filled with random words and phrases, which is a common tactic used by phishers to obfuscate their malicious intent."
12737,1,False,Low,"Legitimate technical discussion on a public mailing list. The email contains a verifiable signature block with standard contact details, lacks any fabricated urgency or requests for sensitive information, and the included URL is a standard, safe job search link."
190,0,True,High,"Classic advance fee scam. Uses a fake story about the sender's inheritance, offers unrealistic financial incentives, and asks for the recipient's assistance in receiving the money. The email also contains poor grammar and spelling, and is trying to create an urgent sense of action."
11308,1,False,Low,"Legitimate academic inquiry sent to a specific mailing list. It contains verifiable book titles and authors, lacks any fabricated urgency or requests for sensitive information, and the included email address is a standard, safe contact link."
13809,1,False,Low,"The email appears to be a legitimate, concise communication regarding a specific meter deal. It lacks any suspicious language, urgent requests, or attempts to elicit sensitive information. The subject line and content are straightforward, suggesting a genuine business transaction."
12409,1,False,Low,"Legitimate academic discussion with proper formatting, no suspicious links or attachments. The email contains a signature block with standard contact details and is addressed to a specific group of people."
11526,0,True,High,"The email contains a suspiciously short and vague message, lacks any context or personalization, and uses an exclamation mark to create a sense of urgency. The subject line is also very generic and could be used for a wide range of scams."
576,1,False,Low,"The email is empty, which makes it unlikely to be a phishing attempt. The lack of content and suspicious links or attachments reduces the risk level."
15061,1,False,Low,"Legitimate investment advice or offer. The email contains specific details about municipal bonds, including ratings and maturity dates, which suggests a genuine attempt to provide information rather than a phishing scam."
17179,0,True,High,"The email contains a generic greeting, uses sensational language to promote a weight loss product, and directs the victim to a suspicious domain with multiple typos ('baby 33'). The offer of a '100% money back guarantee' is also unrealistic."
2638,1,True,High,"The email contains a generic greeting and an invitation to engage in a personal activity ('let's go to dinner'), which is unusual for a professional or official communication. The lack of context, recipient information, and any legitimate purpose also raises suspicions."
7934,0,True,High,"The email contains a suspiciously long and nonsensical text, with no clear purpose or context. It lacks any legitimate contact information or signature block, and the inclusion of random words and phrases is typical of phishing attempts."
4126,1,False,Low,"The email is empty, which makes it unlikely to be a phishing attempt. The lack of content and suspicious links or attachments reduces the risk level."
2372,0,True,High,"The email contains a generic greeting, lacks any personalization or context about the recipient's interests or activities. It also includes an offer that seems too good to be true (a directory of over 100 million email addresses for $79), and asks the recipient to provide sensitive information such as credit card details. The tone is overly promotional and the language used is sensational, which are common tactics used by phishing scammers."
12652,1,False,Low,"Legitimate academic job posting with standard contact information and no suspicious links or attachments. The email contains a clear description of the research focus, qualifications required, and equal opportunity/affirmative action employer statement."
11904,0,True,High,"The email contains multiple red flags, including a generic greeting, poor grammar and spelling, an excessive use of exclamation marks (!), and a suspicious URL. The email also tries to create a sense of urgency by mentioning 'top offerings on cart' and 'check our catalog'. Additionally, the email is trying to sell luxury watches with exaggerated claims about their features."
2270,0,True,High,"The email contains multiple red flags, including a generic greeting, an unrealistic offer for software at a significantly discounted price, and a request to update account details. The sender's contact information is also suspicious, with a Pakistani phone number and email address."
16883,1,False,Low,"Legitimate academic publication announcement. The email contains a clear subject line, a list of authors and titles, and standard instructions for ordering the volume. There are no suspicious links or requests for sensitive information."
4797,1,False,Low,"Legitimate email from a known individual (R. A. Hettinga) with a verifiable signature block, discussing philosophical and economic topics. The PGP signature is a common practice in the cryptography community."
14672,1,False,Low,"Legitimate academic announcement with verifiable details, no suspicious links or requests for sensitive information. The email contains a clear call to action (registration) and provides multiple contact methods."
6723,1,False,Low,"Legitimate internal coordination request. The email lacks any suspicious language, urgent requests for action, or attempts to gather sensitive information. The tone is informal and the content appears to be a routine organizational task."
4508,1,False,Low,"Legitimate academic event invitation with standard contact details, lacks any fabricated urgency or requests for sensitive information. The tone is formal and professional, and the language used is consistent with a university setting."
11569,0,False,Low,"The email appears to be a legitimate marketing pitch from a software company, with a clear subject line and a detailed description of their services. The tone is professional, and the language used is free of grammatical errors or suspicious phrases. While it may be an attempt to solicit business, there are no obvious red flags that would indicate it's a phishing email."
12594,1,False,Low,"Legitimate technical discussion on a public mailing list. The email contains a verifiable signature block with standard contact details, lacks any fabricated urgency or requests for sensitive information, and the included URL is a standard, safe mailing list administrative link."
17793,1,False,Low,"Legitimate email discussion on a public mailing list. The sender's signature includes their OpenPGP key and a verifiable email address, lacks any fabricated urgency or requests for sensitive information, and the included URL is a standard, safe link to an open-source project."
11259,1,False,Low,"Legitimate business communication with a clear subject matter, proper formatting and no suspicious links or attachments. The email appears to be an internal company update regarding a contract negotiation process."
564,1,False,Low,"Legitimate technical discussion about browser preferences, lacks any fabricated urgency or requests for sensitive information, and the included URL is a standard, safe support link."
13904,0,False,Low,"Legitimate marketing email with a clear call-to-action and verifiable contact information. The email does not contain any suspicious links, attachments, or urgent requests for sensitive information."
6771,0,True,High,"The email contains a generic greeting, uses an urgent tone ('pending shipping authorization'), and requests confirmation for a vague 'shipping authorization', which is likely a phishing attempt to trick the recipient into revealing sensitive information."
7884,1,False,Low,The email appears to be a legitimate cybersecurity analysis report from an expert. The content is informative and does not contain any suspicious links or attachments that would typically indicate phishing activity.
11376,1,False,Low,"Legitimate technical discussion on a public mailing list. It contains verifiable contact information, lacks any fabricated urgency or requests for sensitive information, and the tone is professional and informative."
15816,0,True,High,"The email contains a generic greeting, lacks any personalization or context about the recipient's relationship with the sender, and offers a wide range of software products at suspiciously low prices. The use of multiple product names and prices creates a sense of urgency and encourages the reader to take action without verifying the authenticity of the offer."
18412,0,True,High,"The email contains a generic greeting, uses poor grammar and spelling ('come on in', 'more detalls'), and directs the victim to a suspicious, unofficial domain ('remove me'). The offer of replica watches is also highly unlikely and may be an attempt to trick the recipient into divulging sensitive information or installing malware."
6332,1,False,Low,Legitimate internal communication about meter activity and volume reallocation. The email contains a specific context (meter #1428) and no suspicious links or requests for sensitive information.
