Email,Label,is_phishing_verdict,risk_level,explanation
15923,1,True,High,"[Vote: 3 Phish / 0 Safe | Winning Logic: Network/Technical Analyst] The email presents itself as a system log or automated report related to scheduling. The repetitive nature of the message ('start date : 12 / 29 / 01 ; hourahead hour : 9') and the error messages ('cannot locate a preferred or revised _ preferred schedule') suggest a technical issue, but the repeated phrases are highly unusual for a legitimate system log. The file path 'o: \ portland \ westdesk \ california scheduling \ iso final schedules \ 2001122909.txt' is suspicious, as 'o:' is not a standard drive letter, and the file path itself is overly specific and potentially fabricated to appear legitimate. The lack of a clear sender or recipient, combined with the technical jargon and repetitive error messages, strongly suggests a social engineering attempt to create a sense of urgency or concern, potentially to lure the recipient into clicking a malicious link or providing credentials to 'resolve' the issue. While it lacks an obvious malicious link, the unusual formatting and fabricated technical details are significant red flags."
17749,1,True,Medium,"[Vote: 3 Phish / 0 Safe | Winning Logic: Network/Technical Analyst] The email presents itself as an internal communication regarding a structural update within Enron Metals. While the 'forwarded by' header and the inclusion of multiple recipients (CC'd) are common in legitimate internal communications, the age of the email (dated 2000) raises a flag. Enron's collapse and subsequent data releases are often exploited in phishing campaigns to lend a veneer of authenticity. The language is professional and direct, but the subject line 'mg future structure' is vague and could be used to lure recipients into opening a potentially malicious attachment. The attachment itself ('updated version') is a significant risk factor, as it could contain malware or a document designed to harvest credentials. The email lacks obvious red flags like urgent language or requests for sensitive information, but the historical context and the attachment warrant caution. Given the potential for exploitation of Enron-related data, I'm defaulting to a higher risk level."
11199,1,False,Low,"[Vote: 0 Phish / 3 Safe | Winning Logic: Network/Technical Analyst] This email appears to be a call for papers for an academic conference. While the content is dense and technical, it lacks common phishing indicators. The language is formal and academic, consistent with a conference announcement. The email provides specific details about the workshop topic, submission guidelines, and deadlines. The inclusion of multiple references and contact information (including phone numbers, fax, and email) further suggests legitimacy. The URL provided points to a university website, which is consistent with the stated context. There's no attempt to harvest credentials or create a sense of urgency. The age of the email (1997) is a factor, but not inherently malicious; it simply means the design and formatting are outdated."
7660,0,True,High,"[Vote: 3 Phish / 0 Safe | Winning Logic: Network/Technical Analyst] The email promotes a product ('Photo-Blocker') with a highly sensational claim ('completely invisible to all forms of photo enforcement'). This is a classic tactic to lure recipients with unrealistic promises. The URL 'www.dn-ice-boat.com' is highly suspicious; the domain name is unusual and doesn't appear to be associated with a legitimate business. The long, nonsensical block of words at the end of the email is a red flag, likely intended to obfuscate the email's origin or bypass spam filters. It's a common tactic used by phishers to make emails appear more complex and evade detection. The offer of a '100% guarantee' is also a common phishing tactic to build trust and pressure recipients into making a purchase. The inclusion of an opt-out link does not negate the other significant red flags. The overall tone and content strongly suggest a phishing attempt."
12737,1,False,Medium,"[Vote: 0 Phish / 3 Safe | Winning Logic: Network/Technical Analyst] This email appears to be a technical discussion within a mailing list regarding SpamAssassin configuration. The content details adjustments to SpamAssassin settings, including subject rewriting, report placement, and Razor integration. The email includes a signature block with verifiable contact information (Justin Shore, Pittsburg State University). The URL provided is a standard mailing list administrative link. The 'Warning: This message has been quadruple Rot13'ed for your protection' is unusual but doesn't inherently indicate malicious intent; it suggests an attempt to obfuscate the content, potentially for privacy or humor within the group. The presence of a sponsored advertisement at the bottom is typical of mailing list communications. While the technical jargon might be confusing to some, it's consistent with a legitimate technical discussion. The email lacks any requests for credentials or urgent actions, and the overall tone is informative and collaborative. The quadruple Rot13 is a red flag, but not definitive proof of phishing."
190,0,True,High,"[Vote: 3 Phish / 0 Safe | Winning Logic: Network/Technical Analyst] This email exhibits numerous classic phishing indicators. The sender claims to be the son of a deceased former president (Mobutu Sese Seko) and offers a substantial sum of money ($8,000,000) for assistance in transferring it abroad. This 'Nigerian Prince' scam is a well-known social engineering tactic. The email requests personal information (phone and fax numbers) under the guise of confidentiality, a common credential harvesting technique. The promise of a 'risk-free' deal is a deceptive lure. The email uses overly formal and repetitive language ('I AM SOLICITING FOR YOUR ASSISTANCE', 'YOUR URGENT RESPONSE SHALL BE HIGHLY APPRECIATED'). The inclusion of 'DeathToSpamDeathToSpamDeathToSpam' is a feeble attempt to evade spam filters, often seen in malicious emails. The email originates from a mailing list notification, which is likely spoofed to add a veneer of legitimacy. The technical aspect is that the email is likely spoofed, and the sender is attempting to bypass security protocols by exploiting the recipient's trust and greed."
11308,1,False,Low,"[Vote: 1 Phish / 2 Safe | Winning Logic: Social Engineering Expert] This email presents a unique challenge. On the surface, it appears to be a legitimate announcement from a linguistic organization, likely distributed internally or to a specialized mailing list. The language used is highly technical and specific to the field of linguistics (phonology, semantics, 'dong' language), which would be unlikely in a generic phishing attempt. The inclusion of detailed bibliographic information (authors, publishers, ISBNs, prices) further strengthens the impression of authenticity. The request for a brief statement about research interests and affiliation is consistent with a genuine call for reviewers, aiming to ensure suitability. The explicit instruction *against* providing URLs for CVs or webpages is a subtle but important detail – a legitimate organization would likely prefer a brief text description to avoid potential link-related issues. However, the email's length and dense formatting, while characteristic of academic communications, could also be a tactic to overwhelm the recipient and discourage close scrutiny. The use of a specific contact email address (carnie@linguistlist.org) needs to be verified independently, but the domain 'linguistlist.org' appears to be a legitimate resource for linguists. The lack of urgency or threats is a positive sign. While the email is unusual in its format, the content aligns with a plausible scenario. Therefore, while caution is warranted, the indicators do not strongly suggest a phishing attempt."
13809,1,True,Medium,"[Vote: 3 Phish / 0 Safe | Winning Logic: Network/Technical Analyst] The email subject line is cryptic and uses a seemingly random combination of terms ('meter', 'deal', 'one year deal'). The lack of a clear sender or recipient, combined with the unusual subject line, suggests an attempt to pique curiosity or create a sense of urgency without providing context. The reference to 'dec 00' is also unusual and potentially misleading. While the content itself is minimal, the lack of standard email structure and the ambiguous terminology raise suspicion. It's likely a social engineering attempt to elicit a response or click on a potentially malicious link (which is not present in the email body, but implied by the unusual subject)."
12409,1,False,Low,"[Vote: 0 Phish / 3 Safe | Winning Logic: Network/Technical Analyst] This email appears to be a technical discussion or academic correspondence regarding linguistic analysis of Hebrew negation. Several factors contribute to its likely legitimacy: 1) The email contains numerous, verifiable email addresses from academic institutions (CMU, Haifa University, Yale, Salford, UNIGE). While these could be spoofed, the sheer number makes a coordinated, large-scale phishing effort less probable. 2) The subject matter is highly specific and technical, targeting a niche academic audience. Phishing campaigns typically target broader audiences with more generic topics. 3) The email includes detailed references and citations (Glinert, Horn, Moore, Rosen), which is consistent with academic communication. 4) The language is formal and academic, lacking the urgency or manipulative language common in phishing attempts. 5) The email's length and detailed content are atypical of phishing emails, which usually aim for brevity and immediate action. While the unusual subject matter and the presence of email addresses could be a red herring, the overall technical indicators suggest a legitimate communication. There are no suspicious URLs or attachments."
11526,0,True,High,"[Vote: 3 Phish / 0 Safe | Winning Logic: Network/Technical Analyst] The email is extremely short, uses unconventional punctuation (>), and employs excessive capitalization ('COULD YOURS!'). The subject line is vague and sensationalized, promising a '6.3 megapixel canon dig cam' with no context or legitimate sender information. The lack of a proper subject line, sender address, or any standard email formatting strongly suggests a phishing or spam attempt. The brevity and sensational language are designed to grab attention and bypass initial scrutiny. This is a clear attempt at social engineering."
