Email,Label,is_phishing_verdict,risk_level,explanation
15923,1,False,Low,"This email appears to be a legitimate automated system notification from a scheduling or trading platform (likely related to energy markets or financial exchanges given terms like 'hourahead', 'variances', 'deal number', and 'interchange schedule'). The content is highly technical and specific, referencing file paths ('portland westdesk california'), ISO date formats ('2001122909.txt'), and specific error messages ('cannot locate a preferred or revised _ preferred schedule'). It lacks social engineering indicators such as urgency, fabricated threats, requests for credentials, or suspicious links. The repetitive error messages suggest a system log output rather than a crafted message designed to manipulate the recipient. The email follows a standard, dry, administrative tone consistent with internal or B2B automated workflows."
17749,1,False,Low,"This email appears to be a legitimate internal business communication from Enron. It contains specific details such as employee names (Marcelo Parra, Tim Poullain), specific locations (NA, ENRON, LON, ECT), and a clear subject matter (MG future structure). The email includes a standard forwarded header with timestamps and addresses, indicating it was forwarded through an internal system. The request for review and comments is a standard business practice. There are no suspicious links, requests for sensitive information, fabricated urgency, or social engineering tactics. The tone is professional and consistent with corporate internal correspondence."
11199,1,False,Low,"This email appears to be a legitimate academic 'Call for Papers' for a linguistic society meeting. It contains specific, verifiable details such as the organization name (German Linguistic Society), specific dates (March 4/6 1988), and precise contact information for organizers (Dr. Kristin Buehrig, Prof. Jan D. Ten Thije) with institutional affiliations (University of Hamburg, TU Chemnitz). The email includes proper academic citations (Ehlich 1996, Koole & Ten Thije 1994) and references to specific linguistic concepts, which is consistent with academic communication. The request for a one-page abstract by a specific deadline (September 1, 1997) is a standard academic procedure. The email does not contain fabricated urgency, unrealistic financial incentives, requests for sensitive credentials, or suspicious links that deviate from the official university domain (tu-chemnitz.de). While the date (1988) is in the past, this is consistent with the email's context and does not indicate a phishing attempt."
7660,0,True,High,"This email exhibits multiple critical indicators of phishing. First, the subject line 'no more red light tickets ! - rrvnt introducing photo - blocker' uses a common social engineering tactic: promising a benefit (avoiding fines) to lure the recipient. Second, the email contains a suspicious URL (http://www.dn-ice-boat.com/gone.php) which appears to be a fake or malicious domain designed to harvest credentials or redirect to a phishing site. Third, the body text is filled with a nonsensical, random list of words ('babysat dab discretion eavesdropped brethren...') which serves as a distraction technique to confuse the recipient and mask the malicious intent. Fourth, the email includes a 'guarantee' ('you will never be caught... or your money back') which is a classic pressure tactic used in scams. Fifth, the email lacks any legitimate sender information or contact details, making it impossible to verify the source. These elements combined—urgency, suspicious URL, nonsensical content, and lack of verification—strongly indicate a phishing attempt."
12737,1,False,Low,"This email is a legitimate technical discussion within the Razor-users mailing list. It contains a standard quoted reply format with specific technical configuration details regarding SpamAssassin and MIMEDefang. The email includes a verifiable signature block with a real university affiliation (Pittsburg State University) and official contact details. The URL provided (http://www.pittstate.edu/ois/) is a legitimate institutional domain. The content is purely informational and technical, discussing software configuration parameters without any fabricated urgency, unrealistic offers, or requests for sensitive information. The 'Warning: This message has been quadruple Rot13'ed' line is a known feature of the Razor spam filter system, not a phishing indicator. The email lacks all common social engineering tactics found in phishing attempts."
190,0,True,High,"This email exhibits multiple classic indicators of a 'Advance Fee Fraud' (419 scam). It uses a fabricated identity (son of a late Zairean president) to create an immediate, high-stakes opportunity involving a large sum of money ($8,000,000.00). The email creates artificial urgency ('URGENT RESPONSE', 'IMMEDIATELY ARRANGE') and requests sensitive personal information (private telephone and fax numbers) under the guise of 'enhancing confidentiality'. It asks the recipient to act as a 'foreign partner' to receive money on behalf of the sender, which is a common social engineering tactic to bypass standard banking protocols. The request for a percentage fee ('10% OF THE TOTAL MONEY') is a hallmark of this scam type. The email contains grammatical inconsistencies and lacks a verifiable sender signature, relying instead on a generic footer from a mailing list (Spamassassin-Sightings) which is often used to spoof legitimate-looking headers. The combination of a fabricated identity, unrealistic financial offer, urgency, and requests for personal data confirms this is a phishing attempt."
11308,1,False,Low,"This email appears to be a legitimate academic announcement regarding book reviews. It contains specific, verifiable bibliographic details (authors, ISBNs, publishers, prices) that indicate a real publication context. The email provides clear contact information (carnie@linguistlist.org) and outlines specific requirements for reviewers (research interests, background, etc.) rather than asking for credentials or sensitive data. There is no fabricated urgency, unrealistic financial incentives, or suspicious links. The tone is professional and consistent with academic correspondence. While the email is text-only and lacks a clear sender signature block in the provided snippet, the content itself shows no indicators of social engineering or phishing attempts."
13809,1,False,Low,"This email appears to be a standard internal business communication regarding a specific deal (deal # 565701) and a meter (6387). It uses specific reference numbers and dates ('dec 00', 'one year deal'), which suggests it is part of an established workflow. There are no requests for sensitive information, no fabricated urgency, no suspicious links, and no social engineering tactics. The subject line format is consistent with internal administrative correspondence. While the email is brief, it lacks the common indicators of phishing such as urgency, threats, or requests for credentials."
12409,1,False,Low,"This email is a legitimate academic correspondence. It contains a clear, specific subject matter (linguistics/linguistic query about Hebrew negation), lists specific real-world academic contacts with valid email addresses, and includes a detailed signature block with a real institutional affiliation (Université Laval, Quebec, Canada) and a real email address (3914larp@vm1.ulaval.ca). The content is a standard academic summary of a discussion, citing real sources (Glinert 1989, Horn 1978, etc.) and asking for further input. There are no fabricated urgency, no requests for sensitive information, no suspicious links, and no social engineering tactics. The email follows standard academic communication patterns."
11526,0,True,High,"This email exhibits classic characteristics of a phishing attempt. It uses a 'too good to be true' sales pitch ('this 6.3 megapixel canon dig cam could yours!') which is a common social engineering tactic to lure recipients into clicking malicious links or downloading attachments. The email lacks any sender identity, contact information, or professional context, making it impossible to verify legitimacy. The use of the '>' character suggests it may be a forwarded message, but the content itself is suspicious. The email attempts to create a sense of opportunity without providing any verification or standard corporate communication elements. This is a pure social engineering attempt designed to harvest credentials or install malware."
576,1,True,High,"The email content is completely empty ('empty'). An empty email contains no text, links, attachments, or sender information to analyze. However, under the 'ZERO TRUST POLICY' and the rule to 'default to Phishing' if ambiguous or unsure, an empty email is treated as suspicious because it lacks any legitimate content or context. A legitimate email would contain at least a greeting, body, or signature. An empty message could indicate a compromised account, a failed transmission, or a malicious attempt to bypass filters by appearing blank. Therefore, it is flagged as phishing due to the absence of any verifiable information."
15061,1,True,High,"This email exhibits multiple strong indicators of phishing. It uses a generic, overly enthusiastic tone ('i called out muni desk', 'talk to you soon') without a verifiable sender identity or professional signature. It presents a specific financial offer ($50,000 investment) with detailed bond information that appears too good to be true for a casual inquiry. The lack of a formal sender address, the use of lowercase 'i', and the absence of a corporate domain or contact information are classic signs of a social engineering attempt designed to harvest financial data or credentials. The email attempts to bypass skepticism by presenting specific bond details, but the overall structure lacks the legitimacy of a real financial institution."
17179,0,True,High,"This email exhibits multiple strong indicators of a phishing attempt. It uses a generic, high-pressure sales pitch ('special offer', 'powerful weightloss') with exaggerated and medically suspicious claims (e.g., '300% more weight loss', 'increase metabolic rate by 76.9% without exercise'). The email attempts to harvest user data or drive traffic to a suspicious domain ('www.baby33.com') which appears unrelated to the product being sold. The lack of a clear sender identity, the use of a generic 'hello', and the promise of a 'money back guarantee' for a product that sounds like a supplement are classic social engineering tactics used to trick recipients into clicking links or providing personal information. The email also contains grammatical inconsistencies and formatting that suggests it was mass-generated rather than written by a legitimate entity."
2638,1,True,High,"This email is extremely short and lacks any context, sender information, or recipient details. It contains no verifiable sender signature, no specific request, and no clear purpose. The phrase 'let's go to dinner at lagrasta's' is ambiguous and could be interpreted as a personal invitation, but without sender/recipient context, it is impossible to verify legitimacy. In a zero-trust security environment, any email that cannot be verified as coming from a known source or lacks standard communication elements (signature, clear purpose, contact info) is treated as suspicious. The lack of context and the informal, potentially unprofessional nature of the message raises significant concerns about potential social engineering or spoofing attempts."
7934,0,True,High,"This email exhibits multiple critical indicators of a phishing attempt. First, the content is completely incoherent and nonsensical, containing random words and phrases that do not form a coherent message (e.g., 'inexorable akers explanatory prohibit', 'genierc and super viarga'). Second, it uses classic social engineering tactics such as creating artificial urgency ('takes affect right away lasts 24 - 36 hours') and promising unrealistic benefits ('most trusted online source', 'save a lot of $'). Third, it contains suspicious calls to action ('cilck here', 'vigara cilck here') which are likely links to malicious sites. Fourth, the sender information is fabricated and nonsensical ('basil fujitsu civil hickey region access oxalate adsorption divisional deepen accurate pulsar accolade kevin hostess dysentery gimmickry'). The email mimics the structure of a legitimate notification but lacks any logical content, making it a clear attempt to harvest credentials or spread malware through deceptive means."
4126,1,True,High,"The email content is completely empty ('empty'). An empty email contains no text, links, attachments, or sender information to analyze. However, under the 'ZERO TRUST POLICY' and the rule to 'default to Phishing' if ambiguous or unsure, an empty email is treated as suspicious because it lacks any legitimate content or context. A legitimate email would contain at least a greeting, body, or signature. An empty message could indicate a compromised account, a failed transmission, or a malicious attempt to bypass filters by appearing blank. Therefore, it is flagged as phishing due to the absence of any verifiable information."
2372,0,True,High,"This email exhibits multiple strong indicators of a phishing attempt. It uses a 'too good to be true' sales pitch promising '100 million+ addresses' and 'more than 34 categories' of targeted data, which is a common tactic to lure victims into believing they are receiving valuable information. The email creates artificial urgency with 'This month only $79 (Regular price $199)' and uses social engineering tactics by claiming the data was 'compiled' from other directories, implying a 'leaked' or 'scraped' database. It requests sensitive personal and financial information (credit card details, full name, address, phone number) via fax or mail, which is a classic credential harvesting technique. The email also contains suspicious formatting (e.g., 'T oronto, Ont a rio' and 'CANADAOR D E R  F OR M') and uses a generic 'Jane' as the recipient name. The request to fax credit card information is a major red flag, as legitimate businesses rarely ask for credit card details via fax. The email also includes a suspicious removal address using a random-looking Yahoo email address (ftremovals32663_372@yahoo.com) rather than a professional domain. These elements combined indicate a high-risk phishing attempt designed to harvest personal and financial data."
12652,1,True,High,"This email contains multiple critical indicators of a phishing attempt. First, the salary of $28,000 for a postdoctoral position is unrealistically low for a PhD-level academic role, which typically commands a significantly higher salary. Second, the email directs the candidate to a suspicious email address (mcm@gizmo.usc.edu) rather than a standard university domain (e.g., @usc.edu), which is a common tactic to bypass email filtering and deliver malicious payloads. Third, the email lacks a proper sender signature or institutional branding, instead using a generic 'women and minorities are encouraged to apply' footer which is often copied from legitimate job postings but lacks the specific institutional context. Fourth, the email does not include a legitimate job posting URL or contact information that would allow the candidate to verify the position through official university channels. These elements combined create a high-risk scenario where the recipient is being manipulated into applying for a non-existent or fraudulent position."
11904,0,True,High,"This email exhibits multiple strong indicators of phishing. First, the content is incoherent and riddled with typos ('sh, op', 'luv', 'stainlessteel', 'fe - tures', 'lo 0 ks', 'brietilings', 'tagheuers'), suggesting it was likely generated by a script or translated poorly. Second, it uses a 'too good to be true' sales pitch with unrealistic luxury brand names (Rolex, Cartier, etc.) and a fabricated urgency ('watch only at our watch palace'). Third, it directs the user to a suspicious, non-standard domain ('fancythesmartest.com') rather than a legitimate brand site. Fourth, the email mimics a forwarded message from a specific sender ('enrique') with a specific date, attempting to create false legitimacy through spoofing. Finally, the subject line ('easy sho, pping for chronoswiss and top brands lovers') is vague and manipulative, designed to lure the recipient into clicking the link. These elements combined—typos, suspicious domain, unrealistic offers, and spoofed sender details—constitute a classic phishing attempt."
2270,0,True,High,"This email exhibits multiple strong indicators of phishing. It uses a generic, high-pressure sales pitch ('$60 legal operating systems for a third of the price', 'stock is limited', 'valid till december 29 th') to create artificial urgency and scarcity. The sender details (Leonard Lund Dyer, Shanwears, Sialkot, Pakistan) appear inconsistent with a legitimate software vendor, and the email contains numerous spelling and grammatical errors ('offce', 'pr ! ce', 'do / / ars', 'beng', 'dyne'). It requests the user to update their details and download software, which is a common tactic to harvest credentials or install malware. The email mimics a confirmation message ('confirm your account') but lacks any verifiable sender identity or legitimate corporate branding. The timestamp and formatting are inconsistent with standard corporate communication."
16883,1,False,Low,"This email appears to be a legitimate academic announcement for the 'Penn Linguistics Colloquium' proceedings. It contains specific, verifiable details such as volume numbers (5.1), specific paper titles and authors (e.g., 'detaching discourse functions from functional projections'), and a clear physical mailing address for payment (University of Pennsylvania). The email includes a standard disclaimer about payment methods (checks/money orders) and shipping times, which is consistent with academic publishing. There are no suspicious links, requests for credentials, fabricated urgency, or social engineering tactics. The tone is informational and professional."
4797,1,False,Low,"This email appears to be a legitimate, long-form political/philosophical essay posted by a known internet personality (R. A. Hettinga) to a mailing list. It contains a standard PGP signature block, a verifiable sender signature with a physical address, and uses standard mailing list formatting (quoted text from a previous message). The content is a coherent, albeit opinionated, argument about economics and wealth distribution. There are no requests for sensitive information, no suspicious links, no fabricated urgency, and no social engineering tactics. The email follows the structure of a typical 'alt.something' or similar public mailing list post from the early 2000s era."
14672,1,False,Low,"This email appears to be a legitimate academic workshop announcement from the University of Glasgow. It contains specific details such as dates (7-9 September 1998), speaker names and affiliations (Harald Baayen, Max Planck Institute, etc.), and a specific registration fee structure. The URL provided (http://www.stats.gla.ac.uk/~cimql) matches the domain of the University of Glasgow's statistics department, which is a verifiable and legitimate academic institution. The email lacks social engineering tactics such as fabricated urgency, unrealistic financial incentives, or requests for sensitive credentials. While the text contains some minor typos ('articficial', 'unted'), these are consistent with older academic communications from the late 1990s and do not indicate malicious intent. The content is informational and invites registration rather than attempting to harvest data."
6723,1,True,High,"This email exhibits multiple strong indicators of phishing, specifically a 'Business Email Compromise' (BEC) or 'CEO Fraud' attempt. The sender uses a generic name ('vince') without a verifiable title or domain, which is common in spoofed emails. The request asks the recipient to coordinate a 'lunch with it and credit' in the sender's absence, which is an unusual and vague request that could be used to harvest credentials or manipulate the recipient into taking unauthorized actions. The email lacks standard corporate formatting, such as a proper signature block or specific departmental context. The request for 'body count and reservation' is nonsensical in a professional context, suggesting a fabricated scenario designed to confuse the recipient. The use of 'it and credit' instead of a proper name or department is a red flag. The email attempts to bypass standard verification procedures by asking for coordination without providing clear context or authority."
4508,1,False,Low,"This email appears to be a legitimate academic announcement for a symposium. It contains specific, verifiable details such as a date (May 2, 1998), a specific location (University of Minnesota), and named discussants (W. South Coblin, Wenchao Li). It includes a specific address and fax number for the Branner Institute of Linguistics. The request for abstracts and CVs is standard for academic conferences. There is no fabricated urgency, no requests for sensitive personal information beyond standard academic submission requirements, and no suspicious links or attachments. The tone is professional and informative. While the date is in the past, this is a historical artifact and does not indicate malicious intent."
11569,0,True,High,"This email exhibits multiple strong indicators of a phishing attempt disguised as a legitimate business proposal. First, the sender address (i.q.software-bucharest) and the 'attn: marketing department' header are generic and lack specific organizational context. Second, the email contains a 'world-wide promotion campaign' claim with a request for personal contact details (company name, address, phone, fax, contact person, website) under the guise of a 'brief presentation', which is a classic credential harvesting tactic. Third, the email lists numerous specific technical projects (Situs System, Ice System, Museum, etc.) with detailed software versions (Visual Basic 6.0, Oracle 8.0, etc.) to build false credibility and trust. Fourth, the email references a specific meeting on 'lst november 2001' (likely a typo for '1st') and mentions 'inter-governmental program between the united states and romania', which is a common social engineering tactic to create false authority and urgency. Fifth, the email includes a 'anti-spamming company policy' warning that is often used in phishing to create a false sense of legitimacy or to confuse the recipient. Sixth, the email ends with a request for 'lowest prices in the field', which is a common pressure tactic to encourage a quick response. The combination of these elements—generic sender, request for sensitive contact info, false authority claims, and detailed but suspicious technical specifics—strongly indicates a phishing attempt."
