Email,Label,is_phishing_verdict,risk_level,explanation
11535,1,ERROR,ERROR,Failed after max retries
7618,0,True,High,"The email uses high-pressure language ('introductory offer,' 'never before available'), includes a sense of urgency, requests personal information via a fax with an unusual code, and references a directory with a large number of email addresses, all classic phishing tactics. The email also lacks a legitimate sender address and uses a suspicious fax number."
371,0,True,High,"Numerous red flags including a generic greeting, outdated date (2005), a suspicious domain name ('chinatown.tabloidez.com'), irrelevant links to MSN News articles, and a sense of urgency (invoice update) all strongly indicate a phishing attempt."
2291,0,True,High,"Multiple red flags: generic subject line ('money making home business'), outdated copyright date (2002), claim of email verification (often used in phishing), and a 'remove me' link – a common tactic to confirm a valid email address and continue sending messages."
18005,0,True,High,"This email exhibits multiple classic phishing indicators: overly enthusiastic and generic language promising exceptionally low prices ($20/hour), a generic greeting ('Dear Sir or Madam'), urgent calls to action ('CLICK HERE!!!', 'Please include your phone number'), and a deceptive 'unsubscribe' link that likely leads to a malicious site. The extensive list of technologies also suggests a common tactic to appear legitimate. The lack of a specific company name and the overall unprofessional tone point strongly towards a phishing attempt."
15062,0,True,High,"This email exhibits multiple phishing indicators: overly enthusiastic claims of low prices (especially the 'free' portion), a sense of urgency with a limited-time offer, a generic email address (trudymail2002@themail.com), a request for immediate action ('ORDER NOW!!!'), and a call to action with a suspicious phone number (308-650-5905) combined with a strange link to unsubscribe. The aggressive marketing tactics and unrealistic promises are common in phishing attempts designed to lure victims into providing information or making fraudulent payments.  The 'nomore4me' link in the unsubscribe message further suggests a malicious intent – a click could lead to malware or data theft."
10534,1,False,Low,"The email appears to be a discussion thread about genetics and livestock. There are no immediately obvious phishing indicators such as urgent requests for personal information, suspicious links, or unusual sender addresses. The content is technical and related to a niche subject area, making it less likely to be a phishing attempt."
310,0,True,High,"The email contains a very short, nonsensical message ('roud and huge click here to be removed') coupled with a command ('click here'). This is a classic tactic used in phishing emails to entice the recipient to click on a malicious link without any context or explanation. The brevity and unusual phrasing are strong indicators of a scam."
2041,0,True,High,"The email contains multiple red flags: overly sensationalized claims ('quick, cheap, convenient way to buy viagra'), a dubious money-back guarantee, a bizarre and irrelevant quote (attributed to Nietzsche), and a generally unstructured and poorly written message, all common tactics used in phishing attempts to lure victims into clicking malicious links or providing personal information."
5913,1,True,High,"This email exhibits multiple strong phishing indicators: forwarded emails with vague subject lines ('fw:'), references to internal systems (Sitara, ifhsc, IM Wellhead Portfolio) used by Enron, requests for price changes and confirmations, and an unusually complex and detailed production description. The multiple senders and the attached documents significantly raise suspicion of a malicious actor attempting to impersonate Enron employees and obtain sensitive information or initiate fraudulent transactions. The use of 're:' and 'fwd:' further indicates a manipulated email chain."
