Email,Label,is_phishing_verdict,risk_level,explanation
15923,1,False,Low,"[Vote: 1 Phish / 2 Safe] This email appears to be a legitimate, automated system notification from a scheduling or trading platform (likely related to financial markets or energy trading given terms like 'deal number', 'variances', and 'interchange schedule'). The content is highly technical and specific, referencing file paths ('portland \ westdesk \ california') and log messages about parsing files and schedule mismatches. It lacks any social engineering elements such as urgency, fabricated threats, requests for credentials, or suspicious links. The repetitive log messages suggest an automated error log rather than a crafted message. The email does not attempt to manipulate the recipient or harvest sensitive information."
17749,1,False,Low,"[Vote: 0 Phish / 3 Safe] This email appears to be a legitimate internal business communication from Enron. It contains a specific subject line ('mg future structure'), references a previous discussion ('as discussed'), and includes a detailed signature with specific corporate identifiers ('enron metals & commodity corp', specific email addresses, and internal routing codes like 'na / enron'). The content describes a standard business process (sharing an updated document structure) without fabricated urgency, unrealistic financial incentives, or requests for sensitive credentials. The 'forwarded by' header indicates it was forwarded through an internal system, which is common in corporate environments. There are no signs of social engineering, suspicious links, or attempts to harvest information."
11199,1,False,Low,"[Vote: 0 Phish / 3 Safe] This email appears to be a legitimate academic 'Call for Papers' invitation from the German Linguistic Society. It contains specific, verifiable details including the organizer's name (Dr. Kristin Buehrig), specific university affiliations (University of Hamburg, TU Chemnitz), a precise date (March 4/6, 1998), and a valid email address format (jan.tenthije@phil.tu-chemnitz.de). The content includes proper academic citations and references to real linguistic concepts. There is no request for sensitive information, no fabricated urgency, and no suspicious links. The URL provided (www.tu-chemnitz.de) is a legitimate institutional domain. The request for a one-page abstract by a specific deadline is standard academic procedure."
7660,0,True,High,"[Vote: 3 Phish / 0 Safe] This email exhibits multiple critical indicators of a phishing attempt. First, the subject line 'no more red light tickets ! - rrvnt introducing photo - blocker' uses a common 'too good to be true' security/privacy scam hook, promising a revolutionary product to evade law enforcement. Second, the '100% guaranteed' claim with 'check here if you would not like to receive future mailings' is a classic 'opt-out' social engineering tactic used to harvest email addresses. Third, the URL 'http://www.dn-ice-boat.com/gone.php' is a suspicious, non-standard domain that does not match the sender's apparent identity. Fourth, the body text contains a massive, nonsensical list of random words (e.g., 'babysat', 'dab', 'discretion', 'eavesdropped', 'brethren', 'ncar', 'cast', 'correlate', 'inaugurate', 'federal', 'conquest', 'rim', 'your', 'argus', 'delve', 'jorge', 'rheum', 'halve', 'administer', 'harsh', 'bookcase', 'elector', 'kimberly', 'corpulent', 'exceptional', 'tientsin', 'unit', 'boustrophedon', 'louise', 'bess', 'nikko', 'plasmon', 'affront', 'migratory', 'crises', 'imbibe', 'bernice', 'jag', 'ascomycetes', 'drib', 'makeshift', 'detonate', 'hanson', 'ampex', 'marsh', 'despoil', 'nautilus', 'donahue', 'abhorrent', 'put', 'blum', 'cox', 'claret', 'boylston', 'escape', 'nassau', 'ear', 'homotopy', 'bore', 'snub', 'tun', 'cab', 'carrion', 'orography', 'clytemnestra', 'caustic', 'clod', 'prowl', 'corey', 'chordata', 'marry', 'signature', 'redcoat', 'hookworm', 'terrestrial', 'ott', 'prosaic', 'chi', 'lossy', 'colby', 'cretaceous', 'juridic', 'blend', 'airborne', 'confute', 'blimp', 'fermat', 'deadlock', 'demodulate', 'tung', 'airspeed', 'illimitable', 'dismal', 'platitudinous', 'blackbody', 'playboy', 'slab', 'belfast', 'cork', 'thespian', 'dud', 'indies', 'congruent', 'scion', 'micky', 'juridic', 'cataclysmic', 'auspices', 'knife', 'what', 'd', 'negro', 'adelia', 'analytic', 'cosmos', 'chore', 'derange', 'punditry', 'assassinate', 'dependent', 'contrariwise', 'typography', 'malignant', 'testimony', 'angiosperm', 'dillon', 'citrus', 'aubrey', 'alameda', 'analogue', 'filipino', 'mullein', 'arboreal', 'symplectic', 'tupelo', 'iconoclasm', 'transfinite', 'equip', 'leighton', 'moreover', 'ambulant', 'footstool', 'domenico', 'carburetor', 'punditry', 'catheter', 'beat', 'binary', 'bop', 'adrienne', 'crucify', 'czarina', 'buttonhole', 'benedictine', 'buckeye', 'ironic', 'everyman', 'houseboat', 'heterogamous', 'tribunal', 'electrolyte', 'myrtle', 'electrophoresis', 'bucolic', 'telegram', 'effluvia', 'datum', 'barbudo', 'lovebird', 'mercilessly', 'malraux', 'alexandre', 'curia', 'dare', 'period', 'diabetic', 'matthews', 'unary', 'renault', 'haircut', 'discretionary', 'cornelia', 'brooklyn', 'vii', 'diploma', 'distortion', 'classificatory', 'milkweed', 'forswear', 'ct', 'deportation', 'subtrahend', 'gleeful', 'delusive', 'dawn', 'bluebird', 'geld', 'skyline', 'mimicking', 'chugging', 'nibs', 'decaffeinate', 'cornflower', 'password', 'newsletter', 'kneel', 'heuristic', 'spin', 'phenol', 'bondage', 'bombard', 'boxy', 'man', 'doneck', 'palace', 'damask', 'cheesy', 'commute', 'ablution', 'eastman', 'upheld', 'assignee', 'teetotal', 'paw', 'effectual', 'eastman', 'stuart', 'freetown', 'delphi', 'cornwall', 'savvy', 'seneca', 'metronome', 'somebody', 'll', 'bali', 'buddhism', 'cossack', 'cyprian', 'perceptible', 'boardinghouse', 'muon', 'subtlety', 'shipbuilding', 'hemosiderin', 'normalcy', 'signature', 'finitary', 'screwball', 'staley', 'pill', 'burl', 'iberia', 'dietrich', 'cpu', 'concession', 'impinge', 'melancholy', 'barton', 'shovel', 'reflectance', 'journal', 'abroad', 'abnormal', 'actuarial', 'astoria', 'waylaid', 'elicit', 'diversion', 'frontier', 'bois', 'remitted', 'drawn', 'ground', 'drum', 'poet'). This is a deliberate obfuscation technique to hide the email's true content and bypass spam filters. The email lacks any sender signature, contact details, or legitimate branding, and the content is incoherent. These factors combined with the 'too good to be true' promise of evading law enforcement and the suspicious URL confirm this is a phishing attempt."
12737,1,False,Low,"[Vote: 0 Phish / 3 Safe] This email is a legitimate technical discussion within the Razor-users mailing list. It is a reply to a previous post (indicated by the 'At 12:20 PM -0500 8/13/02, Mike Burger wrote:' header), discussing SpamAssassin configuration and settings. The sender, Justin Shore, provides a verifiable signature block with his affiliation (Pittsburg State University) and contact details. The content is technical and specific, lacking social engineering tactics, fabricated urgency, or requests for sensitive information. The 'Rot13' warning is a known feature of the Razor mailing list to protect privacy, not a phishing indicator. The sponsored content at the bottom is standard for mailing lists."
190,0,True,High,"[Vote: 3 Phish / 0 Safe] This email exhibits multiple classic indicators of a 'Advance Fee Fraud' (419 scam). The sender claims to be a relative of a former world leader (Mobutu Sese Seko), which is a common social engineering tactic to establish false authority and trust. The email promises an unrealistic sum of money ($8,000,000.00) obtained through 'diamond sales' and 'diplomatic packaged consignment'. It creates urgency by demanding an 'immediate' response. Crucially, it asks the recipient to send personal contact information (private telephone and fax numbers) and requests a percentage fee (10%) before any money is received, which is the standard mechanism for these scams to harvest credentials and financial data. The email contains a 'DeathToSpam' footer and a spamassassin header, which are often added by spammers to evade detection or add a veneer of legitimacy to a spam campaign. The request for sensitive personal information and the promise of a large sum of money for a 'risk-free' deal are strong indicators of phishing/social engineering."
11308,1,False,Low,"[Vote: 0 Phish / 3 Safe] This email appears to be a legitimate academic book review notification. It contains specific, verifiable bibliographic details (ISBNs, authors, publishers, prices, and table of contents) for three distinct academic books. The email includes a clear call to action (contacting a specific editor, Andrew Carnie, at a specific email address) with a professional request for research interests. It explicitly warns against a common phishing tactic (providing a URL for a CV) and sets clear, professional criteria for reviewers. There are no fabricated urgency, unrealistic financial incentives, suspicious links, or requests for sensitive credentials. The tone is consistent with an academic mailing list or newsletter. While the formatting is plain text, the content is highly specific and lacks the social engineering markers found in phishing attempts."
13809,1,False,Low,"[Vote: 0 Phish / 3 Safe] This email appears to be a standard, abbreviated internal business communication regarding a meter deal. It contains specific reference numbers ('meter 6387', 'deal # 565701') and a clear subject line indicating the topic ('one year deal out of dec'). There are no requests for sensitive information, no fabricated urgency, no suspicious links, and no social engineering tactics. The format is consistent with routine B2B or internal administrative correspondence."
12409,1,False,Low,"[Vote: 0 Phish / 3 Safe] This email is a legitimate academic correspondence. It contains a clear signature block with the sender's name (Pierre Larrivee), affiliation (Department of Languages and Linguistics, Université Laval), and contact information. The content is a standard academic discussion regarding linguistic terminology ('expletive negation') and references specific scholarly works and colleagues. There are no suspicious links, requests for sensitive information, fabricated urgency, or social engineering tactics. The email follows a standard academic correspondence format with a bibliography at the end."
11526,0,True,High,"[Vote: 3 Phish / 0 Safe] This email exhibits multiple critical indicators of phishing. It uses a classic 'too good to be true' social engineering tactic by offering a high-value item (6.3 megapixel Canon digital camera) for free ('could yours!'). The message lacks any sender identity, context, or professional formatting, making it impossible to verify legitimacy. The use of the '>' character suggests it may be a forwarded message, but the content is entirely fabricated without any source or verification. This is a typical 'free item' scam designed to harvest personal information or credentials through a subsequent link or attachment. The email violates the 'Zero Trust Policy' by presenting a suspicious offer without any legitimate context."
