Email,Label,is_phishing_verdict,risk_level,explanation
15923,1,True,High,"The email contains highly unusual and nonsensical content (repeated dates, times, file paths, and error messages) that strongly suggests it's a fabricated attempt to appear like a technical log, likely designed to trick the recipient into clicking a malicious link or providing information. The repetition and technical jargon are intended to create a false sense of legitimacy."
17749,1,True,Medium,"The email presents several red flags: unusual formatting (dashes, 'forwarded by' with archaic date), a sense of urgency ('finalize this and begin implementation ASAP'), and a sender email address that doesn't perfectly match the claimed company domain (marcelo.parra @ enron.com instead of @enron.com). The 'forwarded by' section is a common tactic to appear legitimate, but the date is highly suspicious."
11199,1,False,Low,"The email appears to be a legitimate call for papers from academic institutions. While the date (1997) is quite old, the content and references align with academic research in linguistics. The inclusion of multiple contact details (phone, fax, email, website) and references to known publications further supports its legitimacy. There are no immediate red flags suggesting malicious intent."
7660,0,True,High,"The email promises an illegal service (avoiding traffic tickets), uses sensational language ('revolutionay', 'completely invisible'), contains a suspicious link to a domain ('dn-ice-boat.com') unrelated to a legitimate traffic authority, and includes a large block of seemingly random words, a common tactic to evade spam filters and obscure the true nature of the email."
12737,1,False,Low,"The email appears to be a technical discussion from a mailing list related to SpamAssassin configuration. While the Rot13 encoding is unusual, it's presented as a security measure (albeit a quirky one). The content is highly technical and doesn't exhibit typical phishing tactics like urgent requests for personal information or malicious links. The sender's signature and mailing list context suggest legitimacy."
190,0,True,High,"Classic 'Nigerian Prince' scam: promises large sums of money in exchange for assistance, requests personal information (phone/fax numbers), and uses urgency and secrecy to pressure the recipient. The claim of being a relative of a former president is a common tactic to appear legitimate."
11308,1,False,Low,"The email appears to be a legitimate announcement regarding book reviews from a linguistics organization. While it requests personal information, this is standard for reviewer selection. The email address 'carnie @ linguistlist . org' seems plausible and aligns with a linguistics-related domain. There are no immediate red flags like urgent requests, suspicious links, or grammatical errors commonly found in phishing attempts."
13809,1,True,High,"The subject line is nonsensical and uses random numbers/codes, a common tactic to bypass spam filters and create a sense of urgency or confusion. Lack of clear sender information and unusual phrasing strongly suggest a phishing attempt."
12409,1,False,Low,"The email appears to be a genuine academic discussion/summary of research. While it contains unusual language and multiple email addresses, these are consistent with a scholarly exchange. There are no overt phishing indicators like urgent requests for personal information or suspicious links."
11526,0,True,High,"The email uses highly unusual capitalization, punctuation, and grammar ('this 6 . 3 megapixel canon dig cam could yours ! >'). This, combined with the overly enthusiastic and generic offer, strongly suggests a phishing attempt."
576,1,False,Low,"The email content is empty. While unusual, an empty email itself isn't inherently malicious. It could be a technical error or a genuine, albeit strange, communication."
15061,1,True,Medium,"The email offers unsolicited investment advice (municipal bonds) with specific details and a sense of urgency ('subject to change'). The informal language ('i called out muni desk') and lack of professional formatting are suspicious. The offer of a specific investment amount ($50,000) is also a red flag. While seemingly benign, the attempt to build trust and lure the recipient into a potential scam warrants caution."
17179,0,True,High,"Contains unrealistic claims (extreme weight loss percentages, metabolic rate increase without exercise), generic greeting, unusual domain name (baby33.com), and promises of a 'special offer' – all hallmarks of phishing scams."
2638,1,True,Medium,The email contains a deliberate misspelling ('let's' is 'let ' s ') which is a common tactic used by phishers to bypass spam filters. The unusual phrasing and lack of context also raise suspicion.
7934,0,True,High,"The email contains numerous red flags: misspelled brand names (Viagra, Cialis), promises of immediate and exaggerated effects, urgent language ('save a lot of $'), unusual and irrelevant text filler, and a generic greeting. The sheer volume of nonsensical words is a tactic to evade spam filters and obscure the true intent."
4126,1,False,Low,"The email content is empty. While unusual, an empty email itself isn't inherently malicious. It could be a technical error or a genuine, albeit strange, communication."
2372,0,True,High,"The email offers a large database of email addresses for sale, which is a common tactic used in phishing schemes. It requests sensitive information (credit card details) via fax, a highly unusual and suspicious method. The sender's address is generic, and the offer is too good to be true. The inclusion of a Yahoo email for opt-out requests is also a red flag."
12652,1,True,Medium,"The email uses a suspicious email domain (gizmo.usc.edu) which is not the official USC domain (usc.edu). While the content appears legitimate, the unusual email address is a strong indicator of potential phishing."
11904,0,True,High,"Multiple red flags: unusual language/grammar, generic greetings, suspicious URL (shortened and using a strange domain), outdated date (2005), mention of luxury brands to entice, and a sender email address that doesn't seem legitimate."
2270,0,True,High,"Multiple indicators: unusual characters/symbols replacing letters, extremely low prices for software, generic greeting, suspicious sender email domain (freedomnet.com), location mismatch (Pakistan), and instructions to not reply directly. The dated timestamp and bizarre note content further suggest malicious intent."
16883,1,True,Medium,"The email requests payment via check or money order to a non-standard address and discourages email ordering, which is unusual for legitimate academic publications. The repetitive and oddly formatted subject line and body text also raise suspicion."
4797,1,False,Low,"While the email contains a PGP signature (which *can* be used by phishers, it's presence here doesn't automatically indicate malicious intent), the content is philosophical and appears to be a genuine communication. The signature provides some level of authentication, and the sender provides contact information. The unusual content and tone are more indicative of a quirky individual than a phishing attempt."
14672,1,False,Low,"The email appears to be an announcement for a legitimate academic workshop. It includes details about speakers, location, dates, and registration fees. The website and email address, while needing verification, seem plausible for a university department. The content is consistent with an academic conference announcement."
6723,1,True,Medium,"The email uses informal language ('lunch with it', 'credit tanya'), lacks a proper subject line, and requests sensitive information (body count, reservation) in an unusual and urgent manner, all signed with just a first name ('vince'). This deviates from typical professional communication and suggests potential impersonation or a rushed, deceptive request."
4508,1,False,Low,"The email appears to be a legitimate academic announcement. It provides a physical mailing address and fax number, which is common for academic submissions. The language is formal and consistent with academic communication. While the request for an email address and phone/fax number is standard, it doesn't inherently indicate malicious intent. The date (1998) is quite old, further suggesting it's likely an archived announcement rather than a current phishing attempt."
11569,0,True,Medium,"The email exhibits several phishing indicators: unusual sender address (avfs@fazekas.hu), generic greeting, overly enthusiastic claims of international partnerships and low prices, request for detailed contact information, and a convoluted explanation of projects that seems designed to overwhelm and distract from the legitimacy of the offer. The outdated technologies mentioned (Visual Basic 6, Access 97) also raise suspicion."
12594,1,False,Low,"While the email uses an unusual sender address (dandanielle@mindspring.com) and proposes a new email address (apt-rpm-hotline@freshrpms.net), the content appears to be a genuine discussion about mailing list topics. The inclusion of a mailing list info link further supports its legitimacy. The unusual email address is likely an older or personal account, not necessarily malicious."
17793,1,False,Low,"This appears to be a legitimate email from a mailing list (spamassassin-talk) discussing spam and phishing techniques. The content describes observations about spam sources, not a phishing attempt itself. The presence of a mailing list header and PGP signature further suggests authenticity."
11259,1,True,Medium,"The email uses complex business jargon (SPA, MTM, accrual treatment) and references a significant transaction (sale of NCPH to AIG) to appear legitimate, but the sender's name 'Ozzie Pagan' is unusual and lacks professional context. The mention of a specific price ($72/ton) and dates (2001) also raises suspicion, as it's unlikely to be relevant in a current communication. The unusual phrasing and lack of clear purpose further contribute to the suspicion."
564,1,True,Medium,"The email contains a link to 'MSN Photos' which is likely a malicious redirect. The seemingly innocuous content about browsers is a tactic to disguise the phishing link. The inclusion of a mailman listinfo link is also suspicious, often used in spam/phishing campaigns."
13904,0,False,Low,"The email contains a legitimate-looking website and phone number. The opt-out instruction is also common. While not definitively malicious, caution is advised."
6771,0,True,Medium,"Generic subject line, urgent language ('confirmation needed'), and vague reference to a product (DVD trilogy set) are common phishing tactics. Legitimate shipping authorizations are rarely requested via email in this manner."
7884,1,False,Low,"The text is a speculative presentation on future technology and societal impact, not a phishing attempt."
11376,1,False,Low,"This appears to be a legitimate technical discussion thread, likely from an archived mailing list or forum. It lacks common phishing indicators like urgent requests, suspicious links, or generic greetings."
15816,0,True,High,"The email offers significantly discounted software (OEM versions) from major companies like Adobe and Corel at unrealistically low prices. It uses outdated software versions (Photoshop 8.0, Macromedia Studio MX 2004) which is a tactic to lure victims. The generic sender name ('lori') and lack of personalization are also red flags."
18412,0,True,High,"The email uses urgent language ('come on in'), offers luxury goods at suspiciously low prices ('genuine replica'), and contains a shortened, suspicious link ('r . emove me') likely leading to a malicious website. The grammar and spelling are also poor, a common phishing tactic."
6332,1,True,Medium,"The email contains unusual terminology ('sepo 0', 'beamont methanol', 'brandywine', 'sitara'), lacks a clear sender identity, and requests a phone call to discuss potentially sensitive information, which is a common tactic to pressure recipients into divulging information or clicking malicious links."
13564,0,True,High,"The email uses sensational claims ('lose 23 pounds in 4 weeks', 'eat as much as you want'), aggressive capitalization and exclamation points, and a sense of urgency. It promotes a product with unrealistic promises and uses testimonials that are likely fabricated. The inclusion of a phone number and a 'limited time' offer are also common phishing tactics. The trademark symbol (tm) is also used to appear legitimate."
10956,1,True,High,"The email requests payment via cheque or money order and a physical form with credit card details to be mailed. This is a strong indicator of a phishing attempt, as legitimate organizations rarely request this type of information via postal mail. The warning against sending credit card details via email is a tactic to appear legitimate while still attempting to obtain them through a physical form."
18442,1,True,Medium,"The email uses unusual phrasing ('ttc 's'), an outdated date (July 4, 2001), and a generic job title ('administrative assistant') which are common phishing tactics. While it includes a phone number and email, the email address is suspicious and the overall content is unusual for legitimate communication."
3614,1,False,Low,"While the email contains unusual technical details and multiple forwards, it appears to be a legitimate internal communication chain regarding a technical issue with a gas meter. The presence of multiple recipients and a specific subject line related to internal processes suggests authenticity. There are no obvious indicators of malicious intent like urgent requests for personal information or suspicious links."
13365,1,True,Medium,"The email uses a highly technical and specific subject matter (linguistics dissertation) which is unusual for generic phishing attempts. However, the sender's email address (info@garland.com) is suspicious. While Garland Publishing is a real entity, phishing often uses slightly altered or spoofed email addresses. The unusual formatting and excessive detail are also red flags, suggesting an attempt to overwhelm the recipient and disguise malicious intent. The specific details are likely scraped from publicly available information to appear legitimate."
5968,1,False,Low,"While the email contains a URL, it appears to be a legitimate link to the University of Huelva's website. The language and content are consistent with an academic announcement. The email requests forwarding, which is common in academic circles.  The email address 'montse@uhu.es' appears to be associated with the University of Huelva.  However, always verify links and contact information through official university channels before submitting any materials."
12599,0,True,High,"The email uses urgent language ('DO IT NOW'), promises unrealistic benefits ('Everyone Approved', 'NO CREDIT CHECKS'), and lacks any identifying information about a legitimate company. The short, abrupt message and unusual numbering ('189') are also red flags."
4983,0,True,Medium,"The email promises unrealistically high returns (10-30% monthly) in Forex trading, uses vague language ('properly positioned'), and contains a generic 'remove' request with unusual phrasing ('Remove acct'). The lack of a clear sender and the urgency to 'Click Here' are also red flags."
1467,1,False,Low,"The email appears to be a philosophical or humorous forward, not a phishing attempt. It lacks typical phishing characteristics like urgent requests, suspicious links, or impersonation."
16147,0,True,High,"The email offers suspiciously low prices for bulk email services and targeted lists, includes a 'free' offer to pressure action, and provides a Yahoo email address and phone number which are not typical for legitimate businesses. The inclusion of 'sending tools' on a CD is a red flag for malware distribution. The footer appears to be an attempt to mask the true sender."
3774,1,True,Medium,"The email's unusual subject line, archaic date (March 9, 1995), and highly specific, academic content (linguistics workshop) are suspicious. It's unlikely a legitimate organization would send an email with this format and date. The lack of sender information and potential for impersonation of academic institutions raises concerns."
2743,0,True,High,"Multiple red flags: unusual sender name ('rosanne sargent'), generic greeting ('dear customer'), unprofessional language ('you are important to me!', 'cheapsoft'), suspicious domain ('delphinium.moziyu.com'), and a sense of urgency/enticement (discount, updated software store). The domain is highly indicative of phishing."
4741,1,True,Medium,"The email uses a sense of urgency ('need cash/term traders'), references a specific person ('Suresh') to pressure action, and includes an unusual phone number (+44) suggesting a potential impersonation or external origin. The 'FW:' prefix and dated content also raise suspicion."
16272,1,True,High,"The email contains direct links to RPM packages hosted on an external, unfamiliar domain (dudex.net). The technical discussion and seemingly benign content are a tactic to disguise a potential malware distribution. The 'rebuild' suggestion is a common tactic to encourage execution of potentially malicious code. The unusual and lengthy technical discussion is also a red flag, designed to appear legitimate while obscuring the malicious intent. The inclusion of a build list link (freshrpms.net) is a distraction and may be unrelated to the malicious content."
14242,1,ERROR,ERROR,Failed after max retries
2325,1,False,Low,"The email appears to be a technical discussion on an RPM mailing list. It includes a signature with contact information and a link to the mailing list archive, which are common in legitimate technical communications. While the technical jargon might be confusing to some, it doesn't exhibit typical phishing characteristics like urgent requests, suspicious links, or generic greetings."
7479,0,True,High,"The email contains numerous nonsensical words and phrases ('v and more hello', 'v tzigane a u persuasiveness', 'varicoloured tical shop', etc.) which are a strong indicator of a phishing attempt designed to evade spam filters and confuse recipients. The unusual phrasing and bizarre wording are highly suspicious and suggest malicious intent."
17581,1,True,Medium,"Unusual location code ('EB 5 C', '2 AC, 12th floor') and generic language ('AEP benefit meetings') are suspicious. The email lacks sender verification and specific details, suggesting a broad, potentially malicious distribution."
