Email,Label,is_phishing_verdict,risk_level,explanation
1869,1,False,Low,"Simple, direct message about a technical issue with an email attachment from a known colleague (Stuart) to another known person (Vince), lacks typical phishing markers like urgency, suspicious links, or requests for sensitive information."
437,1,False,Low,"The email is a legitimate informational listing of academic books (semantics, focus structure) published by Cambridge University Press. It contains verifiable details such as ISBNs, publisher names, and standard ordering URLs for official publishers ('www.cup.org'). The text lacks generic greetings, urgent demands, fabricated financial incentives, or requests for sensitive personal information."
1875,1,False,Low,"This is an internal email chain from Enron employees discussing a consulting agreement. It contains legitimate business communication patterns (forwarding messages between colleagues like 'Bonnie Nelson', 'Stinson Gibner'), references to specific company entities and locations ('Houston', 'ECT'), and requests internal review of an attachment rather than external links or sensitive information collection."
10858,0,True,High,"The email exhibits multiple indicators of a phishing attempt: it contains numerous spelling and grammatical errors (e.g., 'softabs b', 'ci-ialis', 'guaaraantees', 'haarder'), makes unrealistic health claims (guaranteed 36 hours lasting, no side effects), uses a suspicious URL with a malicious domain name ('gallanted.com') that does not match legitimate pharmacy or pharmaceutical services, and attempts to direct users to click on a specific link without context."
269,1,False,Low,"This is a raw system error message from a server log or command output, indicating a missing file or directory, not an email containing deceptive content."
3016,1,False,Low,"This appears to be a legitimate internal email thread between business personnel discussing project costs and travel plans. It contains specific names (John Lavorato), dates, and project details without any phishing characteristics."
1247,0,True,High,"Spam/phishing attempt using severe garbled text and character encoding errors ('ftäb', 'disolvê', 'häf', 'béfore'). The message appears to be a malicious URL redirection disguised as health or wellness content. It lacks legitimate sender identification and contains suspicious requests for user engagement through an unverified link."
9962,0,False,Low,"The email appears to be a legitimate marketing outreach from a web indexing service. It contains standard formatting like 'To remove see below' and provides a specific removal number with an extension (X1377). There are no obvious social engineering techniques such as urgency, fabricated authority, or requests for sensitive information."
10623,1,True,Medium,"Suspicious use of an email format designed to mimic legitimate corporate application requests (specifically 'security resource line item'), includes a shortened internal-looking reference code that lacks context for verification, and directs the user to click a link that may lead to credential harvesting without providing clear sender identity or official branding."
2437,0,True,High,"Contains fabricated stock price projections ('$0.42 in 5 days'), uses suspicious URL encoding and invalid characters (e.g., 'vcuo isduf . com', 'forward | ooking statements'), lacks legitimate sender identification, includes disclaimers typical of spam/fake alerts to create false legitimacy while promoting investment opportunities with unrealistic growth claims."
2041,0,True,High,"Malicious intent detected. The email attempts to promote illegal pharmaceutical sales (Viagra) and contains a deceptive 'money back guarantee' claim common in scams. Additionally, it includes a nonsensical closing statement ('by perseverance the snail reached the ark') unrelated to the subject matter, which indicates automated or spam-driven generation of content rather than legitimate communication."
1330,1,False,Low,"The email body is empty and lacks any content to analyze for malicious indicators. Without text or links, there are no phishing attributes present, making it benign but inconclusive without further data."
584,1,False,Low,"This email is a legitimate business correspondence between corporate employees (Enron) discussing project deliverables for a business transaction. It contains realistic details about internal processes, specific personnel names, and follows standard professional email formatting without any suspicious indicators like urgency, fabricated threats, or requests for sensitive information."
3062,0,False,Medium,"The email contains numerous intentional typos and misspellings throughout the text (e.g., 'worid' instead of 'world', 'technoiogy' instead of 'technology', 'symbo | : pgpu . pk' instead of 'symbol: PGPU.PK', 'pi | nace' instead of 'Pinnacle'). It mimics an investment press release but lacks legitimate corporate structure, contains a suspicious Yahoo email address for subscription cancellation, and presents financial advice without clear regulatory compliance. The presence of systematic spelling errors suggests possible spam or low-effort social engineering rather than official phishing."
1174,1,False,Low,"This is a legitimate technical bug report sent to an email list (Exmh-workers). It describes a specific issue with email folder management behavior, includes a verifiable mailing list signature block with official Red Hat contact info, and lacks any suspicious requests for personal data or malicious links."
9486,0,True,High,"This email exhibits multiple classic phishing indicators: misspelled 'officiai information' and 'dear valued hsbc bank plc customer', creation of false urgency via a fake security review claim, use of a suspicious URL ('http://hsbcbankhomepage.com/'), and requests for sensitive account information through a malicious link."
