Email,Label,is_phishing_verdict,risk_level,explanation
1869,1,True,High,"This email exhibits multiple strong indicators of phishing. It uses a generic subject line ('term paper stuart') which is vague and lacks context. The sender name 'vince kaminski' is not a known entity and appears to be a random name. The content 'i cannot open your attachment' is a common social engineering tactic used to trick recipients into opening potentially malicious attachments by creating a false sense of urgency or technical problem. The email lacks any verifiable sender information, proper signature, or specific details about the attachment or the recipient. It attempts to manipulate the recipient into taking action (opening the attachment) under the guise of a technical issue, which is a classic phishing pattern."
437,1,False,Low,"This email appears to be a legitimate book listing or catalog entry from Cambridge University Press. It contains specific, verifiable details such as ISBN numbers, publisher information, and detailed table of contents for two academic books. The URL provided (http://www.cup.org/order.html) is a standard, official domain for Cambridge University Press. The content is purely informational and lacks any social engineering tactics, fabricated urgency, requests for sensitive information, or suspicious links. The formatting and content are consistent with a legitimate publisher's promotional or informational email."
1875,1,False,Low,"This email appears to be a legitimate internal corporate communication from Enron (a real company that existed in 2001). It contains specific internal references (Henwood engagement, Enron Development, Houston office codes), specific names (Bonnie Nelson, Stinson Gibner, Bruce Lundstrom), and discusses a specific business task (reviewing a consulting agreement). The email includes a clear chain of forwarding with timestamps and addresses matching the context. There are no suspicious links, requests for credentials, fabricated urgency, or social engineering tactics. The tone is professional and consistent with internal business correspondence. The mention of 'Enron policy' is a standard corporate reference, not a manipulation tactic. The email structure (forwarded message, specific subject line, clear call to action) is typical of legitimate enterprise email systems."
10858,0,True,High,"This email exhibits multiple strong indicators of phishing. It uses a generic, high-pressure sales pitch ('highly recommended', 'better than', 'guarantees') with unrealistic claims ('no side effects at all', 'boost and increase sexual performance'). The email contains numerous spelling and grammatical errors ('softabs', 'ci-ialis', 'guaaraantees', 'haarder', 'click heree', 'out of mailing list'). It directs the user to a suspicious, unofficial domain ('gallanted.com') via two distinct links, which is a common tactic to harvest credentials or deliver malware. The price point ('$3.99 per tabs') is suspiciously low for pharmaceuticals. The email attempts to bypass skepticism by using false authority ('proven and certified by experts and doctors') and creates a sense of urgency through the 'guarantee' language. These elements combined constitute a classic spam/phishing attempt designed to harvest user data or promote a fraudulent product."
269,1,False,Low,"This email appears to be a system error report or log output rather than a standard email communication. It contains a file path (/home/yyyy/lib/spamtrap.sh) and a command execution error (No such file or directory) related to spamassassin. There are no social engineering elements, no requests for credentials, no fabricated urgency, and no suspicious links. The content is purely technical and informational, consistent with an automated system notification or a copy-paste of a server log. It lacks the characteristics of a phishing attempt such as generic greetings, threats, or manipulation tactics."
3016,1,False,Low,"This email appears to be a legitimate internal email thread, likely from a project management or scheduling context. It references specific names (Sandra, Grigsby, Lucci, Theressa Staab) and specific metrics (200 k, 100 k, 325 k) which suggests a real-world business discussion about workloads or quotas. The email is a reply ('re:') to a previous message from 'John Lavorato' dated January 21, 2002, indicating an established communication channel. It lacks generic greetings, fabricated urgency, requests for sensitive information, or suspicious links. The content is specific and contextual, consistent with internal team coordination."
1247,0,True,High,"The email contains severe spelling and grammatical errors ('disolvê', 'hälf', 'toungé', 'bêfore', 'intércourse', 'nothkss') which are inconsistent with professional communication. It uses a generic 'learn more here' call to action without providing a legitimate, verifiable URL or sender identity. The content is sexually suggestive and lacks any context, making it a classic 'spam/phishing' attempt designed to bypass filters or harvest data through curiosity. The use of special characters and non-standard formatting further indicates a lack of legitimacy."
9962,0,True,High,"This email exhibits multiple classic indicators of a phishing attempt. It uses a 'too good to be true' offer (submitting to 400+ search engines for $29.95/month) to create artificial urgency and greed. The sender uses a generic 'To remove see below' instruction which is a common tactic to bypass recipient skepticism. The email lacks a verifiable sender identity, uses a generic name (Brian Waters), and includes a toll-free number that is likely a vanity number used for spam. The request to 'call our toll free number' is a social engineering tactic to harvest personal information or payment details. The email also contains a 'To be removed' instruction which is often used to create a false sense of legitimacy while attempting to harvest contact information. The email lacks any verifiable corporate branding or specific details that would confirm the sender's identity."
10623,1,False,Low,"This email appears to be a legitimate, automated internal IT or ticketing system notification. It includes a highly specific, standard-formatted reference tracking code ('kker - 4 r 3 klb') and uses dry, administrative language. It does not threaten negative consequences or create artificial urgency. The instruction to click a 'notes document link' is standard operational practice for legacy enterprise environments (like Lotus Notes)."
2437,0,True,High,"This email exhibits multiple strong indicators of phishing and social engineering. First, it uses a generic 'company profile' subject line to mask its true intent. Second, it contains highly unrealistic financial projections (price jumping from $0.175 to $0.55 in 15 days) which is a classic 'too good to be true' tactic used to lure victims. Third, it includes a suspicious, non-standard URL ('aol 978987 sdfuoisduf . com / optl / rm . html') that appears to be a misspelled or obfuscated link designed to bypass spam filters or trick users into clicking. Fourth, the email contains numerous spelling and grammatical errors ('gioba | reach', 'deveiopment', 'reiease', 'confiict', 'reiiance', 'invoiving', 'materia | | y', 'fee |', 'piaced', 'is t') which are common in spam/phishing emails. Fifth, it uses urgency and fear tactics by mentioning 'breaking news' and 'watch out the stock go crazy'. Finally, the disclaimer text is overly verbose and contains formatting inconsistencies (pipes '|' used instead of spaces), which is typical of copy-pasted spam content. The combination of unrealistic financial promises, suspicious links, and poor formatting strongly indicates a phishing attempt."
2041,0,True,High,"This email exhibits multiple strong indicators of phishing. It uses a generic, low-effort greeting ('a quick, cheap and convenient way to buy viagra') which is a common tactic to grab attention. It makes an unrealistic claim ('we are the only online pharmacy offering 100% satisfaction money back guarantee') to create false authority and urgency. The content is nonsensical and unrelated to the subject matter ('by perseverance the snail reached the ark'), suggesting it was generated by a bot or copy-pasted without context. It lacks any sender identity, signature, or verifiable contact information, which is a critical red flag for legitimate communication. The email attempts to manipulate the recipient by offering a product (Viagra) without providing any legitimate context or verification, which is a classic social engineering tactic to harvest credentials or encourage clicking on malicious links (though none are present, the intent is clear). The combination of these factors—unrealistic offers, lack of sender identity, and nonsensical content—meets the criteria for a phishing attempt."
1330,1,True,High,"The email content is completely empty. An empty email lacks any verifiable sender information, content, links, or attachments to analyze. However, the mere existence of an empty email in a security context is highly anomalous and suspicious. Legitimate emails always contain some text or data. An empty email could indicate a failed transmission, a test vector, or a sophisticated social engineering attempt designed to bypass automated filters that expect content. Under the ZERO TRUST POLICY, any anomaly or deviation from standard email behavior must be flagged as potentially malicious. Since there is no content to verify legitimacy, and the email violates the fundamental expectation of communication, it defaults to a high-risk classification."
584,1,False,Low,"This email appears to be a legitimate internal business communication between employees of Enron (Brian Redmond and Sally Beck). It references specific internal entities (HPL, AEP, Enron, legal teams), specific individuals (Anne Koehler, Bob Hall, Steve Jackson), and specific business contexts (energy operations, sale of HPL, transition coordination). The email discusses operational details, meeting schedules, and document formats in a manner consistent with corporate internal correspondence. There are no suspicious links, requests for sensitive information, fabricated urgency, or social engineering tactics. The tone is professional and collaborative, discussing ongoing business processes and project management. The email includes a standard signature block with company affiliation and no indicators of phishing."
3062,0,True,High,"This email exhibits multiple strong indicators of a phishing attempt disguised as a legitimate financial press release. First, the sender domain 'pinnaciegroup.com' is suspicious and does not match the company name 'Pinnacle Group Limited' mentioned in the text, which is a common tactic to evade domain reputation checks. Second, the email contains numerous spelling and grammatical errors ('eading', 'technoiogy', 'worid', 'pinnacie', 'foliowing', 're - negotiations', 'hoid', 'profie', 'pinksheets', 'beiieve', 'pi ease', 'foi low', 'empioyees', 'genera |', 'licensed', 'financia |', 'cance |', 'mai |', 'al |', 'pubiication', '2 oo 5', 'al | rights'), suggesting it was not written by a professional. Third, the email uses aggressive financial manipulation tactics, such as offering specific target prices ('$2.25', '$5.25') and urging the reader to 'follow this one trade tuesday', which is a classic 'too good to be true' investment lure. Fourth, the email includes a suspicious link to 'aerofoammetals.com' which is not a standard corporate domain for a press release. Finally, the email lacks a proper corporate signature block and uses a generic 'no morenewsletters' email address, which is inconsistent with a legitimate financial institution. The combination of these factors indicates a high-risk phishing attempt designed to harvest credentials or promote a fraudulent investment scheme."
