Email,Label,is_phishing_verdict,risk_level,explanation
1869,1,True,High,"The email is extremely short, lacks a clear sender identity, and contains no signature block. The phrase 'term paper stuart' appears to be a greeting or subject reference, but 'vince kaminski' is likely the sender, with no contact details or verification. The request to open an attachment is a common social engineering tactic used to deliver malware or phishing payloads. The lack of context, sender verification, and the direct request to open an attachment are strong indicators of a potential phishing attempt."
437,1,False,Low,"This email appears to be a legitimate book listing or advertisement from Cambridge University Press. It contains detailed bibliographic information including ISBNs, page counts, publisher details, and pricing for two academic books. The email includes a standard order information URL (www.cup.org/order.html) which is a legitimate domain for Cambridge University Press. There are no signs of social engineering, urgency, fabricated offers, or requests for sensitive information. The content is consistent with an automated newsletter or catalog sent to researchers or academics in the field of linguistics."
1875,1,False,Low,"This email appears to be a legitimate internal corporate communication from Enron (dated 01/19/2001). It follows standard internal email formatting with a clear sender (Bonnie Nelson), recipient (Stinson Gibner), and subject line relevant to a business engagement. The email references an attached contract and asks for internal review before proceeding. There are no suspicious elements such as fabricated urgency, requests for credentials, external links to suspicious domains, or grammatical errors typical of phishing. The email includes standard internal headers and references to internal entities (Enron Development, Houston Office). While it contains a URL in the signature, it appears to be a standard internal system reference rather than a malicious link. The content is consistent with a normal business workflow."
10858,0,True,High,"The email exhibits multiple strong indicators of phishing. It contains severe spelling and grammatical errors ('softabs', 'ci-ialis', 'guaaraantees', 'haarder', 'cllick', 'out of mai - lling lisst'). It uses a generic, low-quality URL structure ('gallanted.com') that appears to be a drop site for malicious traffic. The content makes unrealistic health claims ('guarantees 36 hours lasting', 'no side effects at all') and uses a direct call to action ('click here'). It lacks any legitimate sender identity or contact information, relying instead on a suspicious URL to harvest credentials or redirect the user."
269,1,True,High,"The email content is a raw error message from a Linux system, specifically a shell script execution failure ('/home/yyyy/lib/spamtrap.sh') and a missing file error ('No such file or directory'). It lacks any sender information, recipient details, or social engineering elements. However, under a ZERO TRUST POLICY, any email that appears to be a system error message without clear context or sender identity is flagged as suspicious because it could be a spoofed error message used to trick a user into thinking their system is compromised or needs action. The absence of a legitimate sender block and the technical nature of the message make it ambiguous and potentially a social engineering attempt to harvest credentials or trigger a response."
3016,1,False,Low,"This email appears to be a legitimate internal corporate email chain. It contains a standard 'original message' header indicating it is a reply to a previous thread. The content discusses internal personnel assignments (Brawner, Davies, Whitt, Lucci, Theresa Staab) and travel plans to NY, which is typical for internal team coordination. There are no requests for sensitive information, no suspicious links, no fabricated urgency, and no social engineering tactics. The email follows standard internal communication patterns with a clear subject line and recipient list."
1247,0,True,High,"The email contains severe spelling and grammatical errors ('cla ; _ lis so', 'ftäb', 'disolvê', 'hälf', 'toungé', 'bêfore', 'intércourse', 'nothkss'). The content appears to be spam or phishing disguised as health advice, using a 'click here' tactic to direct users to a suspicious URL. The lack of a proper sender signature, the use of special characters to bypass filters, and the generic 'learn more here' call to action are strong indicators of a phishing attempt designed to harvest credentials or redirect to malicious sites."
9962,0,True,High,"This email exhibits multiple classic phishing indicators. It uses a 'too good to be true' offer (submitting to 400+ search engines for $29.95/month) to lure the recipient. The sender uses a generic 'To remove see below' opening, which is a common tactic to bypass initial scrutiny. The email lacks a proper email address or sender domain, relying instead on a toll-free number, which is a common characteristic of spam/phishing. The request to 'call our toll free number' is a social engineering attempt to harvest personal information or payment details. The lack of a verifiable sender identity and the use of a generic name (Brian Waters) without a company signature further increases suspicion."
10623,1,True,High,"The email exhibits multiple strong indicators of phishing. It uses a 'security resource line item request' pretext to attempt to grant unauthorized access. The request for a 'notes document link' is a common social engineering tactic used to harvest credentials or redirect users to malicious sites. The lack of a proper sender domain, the use of a generic subject line, and the urgency implied by the request to 'grant access' are classic phishing markers. The email attempts to bypass standard security procedures by asking the recipient to click a link to view a request, which is a common pattern in credential harvesting attacks."
2437,0,True,High,"This email exhibits multiple classic phishing indicators. First, the sender domain and content are inconsistent: the email claims to be from 'Emerging Equity Tapia' but the content is about 'Vocalscape Inc' (VCSC), a specific stock, which is a common tactic to confuse recipients. Second, the email contains highly specific but suspicious financial projections (e.g., 'projected speculative price in next 5 days: $0.42') which is typical of pump-and-dump schemes or investment scams. Third, the email includes a suspicious unsubscribe link with a nonsensical domain ('aol 978987 sdfuoisduf . com') which is a clear attempt to harvest credentials or redirect the user. Fourth, the email contains numerous spelling and grammatical errors (e.g., 'gioba | reach', 'deveiopment', 'confiict', 'reiease', 'witer', 'piaced', 'i s t') which suggests it was not professionally written. Fifth, the email uses urgency and fear tactics ('watch out the stock go crazy next week') to manipulate the reader. Finally, the email contains a disclaimer about 'forward-looking statements' which is often used in legitimate financial communications but is also frequently copied in phishing emails to appear authoritative while hiding the true intent. The combination of these factors indicates a high-risk phishing attempt."
