Email,Label,is_phishing_verdict,risk_level,explanation
1869,1,False,Low,"The email appears to be a routine, personal communication between two individuals. The subject line is not suspicious, nor are the sender's name and email address. There is no attempt to create urgency or manipulate the recipient into taking action. The attachment issue is also handled in a straightforward manner, without any attempts to harvest credentials or bypass standard procedures."
437,1,False,Low,"The email appears to be a legitimate academic or research-related communication. It contains specific details about book titles, authors, and publishers, which are typical of scholarly exchanges. The language is formal and technical, indicating a professional or academic context. There are no obvious red flags such as urgent requests, generic greetings, or suspicious URLs."
1875,1,False,Low,"The email appears to be a legitimate internal communication from Enron Development. It contains specific details about a contract, mentions company policies and procedures, and includes attachments with clear labels (clean version and one marked to show changes). The tone is professional and the language used is consistent with standard corporate communication. There are no obvious red flags such as generic greetings, urgent requests for sensitive information, or suspicious links."
10858,0,True,High,"This email is a clear phishing attempt. It uses a generic greeting, contains multiple spelling and grammatical errors ('guaaraantees', 'se - xual performance', 'heree'), offers unrealistic benefits for a medication ('36 hours lasting', 'no side effects at all'), and includes an unusual claim of certification by experts and doctors. The email also tries to create urgency with the phrase 'only $ 3 . 99 per tabs'. Furthermore, it contains a suspicious URL that is not related to any legitimate business or organization."
269,1,False,Low,"The email appears to be a legitimate error message from a Linux system. The content is technical, specific, and lacks any social engineering tactics or suspicious URLs. The tone is formal and informative, indicating an automated process rather than a phishing attempt."
3016,1,False,Low,"The email appears to be a legitimate, internal company communication. It contains specific names, job titles, and project details that are not publicly available. The tone is professional and lacks any sense of urgency or manipulation. The email also includes standard business jargon ('done at 100 k and 100 k') that is typical in corporate settings. While the email has some minor formatting issues (e.g., multiple dashes), it does not contain any suspicious links, requests for sensitive information, or unrealistic offers."
1247,0,True,High,"This email contains multiple red flags. The subject line is nonsensical, with misspellings ('cla ; _ lis so') and no clear indication of what the email is about. The text itself is also filled with errors ('disolvê', 'hälf tab under toungé'). The email claims to offer 'incredible daily results' but provides no context or explanation. It then directs the reader to a suspicious URL ('nothkss') that may be trying to harvest credentials or install malware. All of these indicators suggest a phishing attempt."
9962,0,True,High,"The email contains a generic greeting, lacks any specific details about the company or services offered. The offer is too good to be true ('submit your site twice a month to over 400 search engines and directories for only $29.95 per month'). The email also includes an unusual request for progress reports and a toll-free number. Additionally, it contains a 'To be removed' instruction with a phone number, which is not typical in legitimate business communications. All of these are strong indicators of a phishing attempt."
10623,1,False,Low,"Appears to be a legitimate, automated internal IT or ticketing system notification. It includes a highly specific, standard-formatted reference tracking code ('kker - 4 r 3 klb') and uses dry, administrative language. It does not threaten negative consequences or create artificial urgency. The instruction to click a 'notes document link' is standard operational practice for legacy enterprise environments (like Lotus Notes)."
2437,0,False,Low,"The email appears to be a legitimate company profile update, providing information about Vocalscape Inc.'s products and services. The tone is professional, and the language used is consistent with typical corporate communications. There are no obvious red flags or suspicious elements, such as generic greetings, urgent requests, or unusual links. The inclusion of disclaimers regarding forward-looking statements and potential conflicts of interest adds credibility to the email. While the email's length and complexity may be off-putting, it is not uncommon for company profiles to provide detailed information about their products and services."
2041,0,True,High,"The email contains a generic greeting, lacks any specific context or details about the sender or recipient. The subject line is unrelated to the content of the email. The text includes philosophical quotes and phrases that do not provide any useful information. The email does not contain any suspicious links, requests for sensitive information, or unrealistic offers. However, it attempts to manipulate the reader by using a quote from the Bible and making a vague reference to 'true philosophy'. This is an attempt at social engineering."
1330,1,True,High,"The email is blank, which raises immediate suspicions. There are no contextual clues, specific details, or verifiable information to establish credibility. The lack of any content makes it difficult to determine the sender's intentions or purpose. This unusual behavior is a strong indicator of phishing."
584,1,False,Low,"This email appears to be a legitimate, internal corporate communication. It contains specific details about a business transaction (HPL sale) and references multiple individuals by name. The tone is professional and formal, with no attempts to create urgency or manipulate the recipient. The language used is technical but not overly complex, suggesting that it is intended for an audience familiar with the subject matter. There are no suspicious links, attachments, or requests for sensitive information. The email also includes a clear call to action (attending a meeting) and provides context for the discussion. Overall, this email lacks any indicators of phishing and appears to be a genuine communication."
3062,0,False,Low,"The email appears to be a legitimate investment newsletter or press release. It includes specific company information, financial data, and market analysis. The tone is professional, and the language is formal. There are no obvious red flags such as urgent requests for action, generic greetings, or suspicious links. The email also provides disclaimers about not being personalized investment advice and prohibiting employees from having a financial interest in recommended securities."
1174,1,False,Low,"The email appears to be a legitimate, technical discussion about an issue with folder navigation in Exmh. The language is formal and specific, indicating a technical problem rather than a social engineering attempt. There are no suspicious links, generic greetings, or manipulation tactics. The tone is neutral and focused on the technical issue at hand."
9486,0,True,High,"The email uses a generic greeting ('dear valued hsbc bank plc customer !') and contains multiple red flags. The 'official information' claim is too good to be true, as banks typically communicate sensitive information through secure channels or in-person. The request to visit the website by following a link is suspicious, especially since it's not clear what specific action is required. Additionally, the email creates artificial urgency ('period review of our member accounts') and uses vague language ('reduce the instance of fraud'). All these indicators suggest that this email is attempting to manipulate the recipient into performing an unintended action."
11559,0,True,High,"This email uses sensational language to promote a product, claiming guaranteed results. The subject line is attention-grabbing and the email includes multiple exclamation marks, which are common tactics used in phishing attempts. Additionally, the email contains an unexpected link ('click here') that may lead to a malicious site. Furthermore, the email's tone is overly promotional and lacks any technical or contextual information about the product. All of these indicators suggest that this email is likely a phishing attempt."
5567,0,True,High,"This email contains multiple red flags. The subject line is attention-grabbing and sensational, attempting to entice the recipient with explicit content. The email itself is filled with grammatical errors ('more then', 'dowlnoad'), uses a generic greeting, and includes an unusual request for the recipient to participate in a competition. The URL provided is suspicious, as it contains multiple hyphens and appears to be a randomly generated string. Furthermore, the email's tone and content are inconsistent with any legitimate business or organization."
14831,1,False,Low,"This email appears to be a genuine discussion thread from an online forum. It contains a quote from Mike Masnick, followed by a personal opinion and a reference to a specific website (myvzw.net). The tone is informal and conversational, typical of online discussions. There are no suspicious links, urgent requests, or attempts to manipulate the recipient. The email also includes a signature block with a URL to an online mailing list administrative link, which is standard practice for online forums."
14358,1,False,Low,"The email appears to be a legitimate, technical discussion about a shader trick from Wolfgang Engel's ShaderX book. It lacks any suspicious links, generic greetings, or manipulation tactics. The URL provided is a standard, safe link to an online resource. The tone and content are consistent with a legitimate technical discussion."
14795,0,True,High,"This email is a classic example of a 'bait-and-switch' phishing attempt. It uses sensational language ('Oil Change', 'UNBEATABLE software suite') to grab the recipient's attention, and then attempts to create a false sense of urgency by claiming that the offer will expire soon. The email also includes multiple red flags such as generic greetings, unrealistic offers (99% off!), and an attempt to harvest sensitive information (email address). Furthermore, the URL is not provided, which is unusual for a legitimate software company. Finally, the email's tone and language are overly promotional and lack any technical or professional credibility."
1973,1,False,Low,"The email appears to be a legitimate, academic conference announcement. It includes specific details about the event, speakers, and organizers. The language is formal and professional, without any urgent or threatening tone. There are no suspicious links, attachments, or requests for sensitive information."
