Email,Label,is_phishing_verdict,risk_level,explanation
1869,1,True,High,"The email uses a generic greeting 'term paper stuart', combined with a shortened, unusual name 'vince kaminski' and a claim about an unopenable attachment. This is a classic phishing tactic to lure the recipient into clicking a malicious link or opening a harmful file."
437,1,True,High,"This email exhibits multiple strong phishing indicators. The content references two books by Cambridge University Press with ISBNs and order links (http://www.cup.org/order.html). This is a classic tactic to direct recipients to a fake website designed to steal credentials or install malware. The lengthy, technical descriptions of the books and their contents add to the credibility, making it more convincing.  The inclusion of multiple order links is also a red flag. The subject matter, related to linguistics and natural language processing, is a common target for phishing campaigns aiming at researchers or academics."
1875,1,ERROR,ERROR,Failed after max retries
10858,0,True,High,"Numerous red flags including generic greetings, spelling errors ('ialis', 'viiagrra', 'cllick'), unusual capitalization, promises of unrealistic results ('36 hours lasting', 'haarder e - rectiions'), a ridiculously low price ($3.99), and a suspicious URL shortening and a domain name ('gallanted.com') that doesn't align with legitimate pharmaceutical companies."
269,1,True,High,"This email contains a suspicious command execution related to spam filtering software (SpamAssassin), combined with generic placeholders (yyyy).  The 'spamtrap.sh' and 'ftp' references, coupled with the attempted execution of a script, are strong indicators of a phishing attempt designed to install malware or steal credentials. The lack of context and use of a likely-fake filename/directory is a major red flag."
3016,1,True,High,"This email contains several strong indicators of phishing. It uses a generic subject line with numerical amounts referencing potentially fictitious individuals (Sandra Grigsby, Theresa Staab), includes multiple recipients with company names, and refers to a 'job offer' - a common tactic for scams requesting financial information or credentials. The dated timestamp (January 21, 2002) further adds to the suspicious nature, as it’s highly unlikely a current operation would use such an old date."
1247,0,True,High,"This email contains a high volume of seemingly random characters (cla ; _ lis so : ftäb ' s disolvê hälf tab under toungé 5 mins bêfore intércourse . . .), suggesting a deliberate attempt to obfuscate the message and appear as spam. The nonsensical phrasing coupled with the sexually suggestive content is a strong indicator of phishing, likely designed to trick recipients into clicking a malicious link."
9962,0,True,High,"This email exhibits multiple classic phishing indicators: a generic greeting, an unsolicited offer with a low price, a request for contact information (toll-free number), a sense of urgency ('fast lane'), and a second phone number provided for removal – all designed to lure the recipient into a scam."
10623,1,True,High,"The email contains multiple red flags indicative of phishing: urgent language ('please grant access'), a nonsensical request identifier ('kker - 4 r 3 klb'), a generic security claim, and a deceptive call to action to click a link (likely leading to a fake login page). The use of unusual characters and abbreviations is also a strong indicator."
2437,0,True,High,"This email exhibits multiple strong phishing indicators. It uses sensational language ('stock go crazy,' 'breaking news') and unrealistic price projections ($0.42 and $0.55 within 5-15 days) to entice recipients. The inclusion of a Yahoo Finance link is a common tactic.  Critically, the email attempts to generate urgency and financial gain. Furthermore, it contains disclaimers that are overly complex and used to obfuscate the source’s actual intentions, and also claims to have a conflict of interest - owning shares and aiming to profit from their sale. The presence of phrases like 'forward looking statements' used in a deceptive way, combined with a call to action to 'check out the breaking news,' is a classic phishing technique. The request to 'have in mind' and the final instruction to 'go here' is intended to direct the recipient to a malicious website. The payment of $49,000 from a third party also adds to the suspicious nature."
2041,0,True,High,"The email contains several strong phishing indicators: overly sensationalized claims ('quick, cheap, convenient way to buy viagra'), a dubious money-back guarantee, a nonsensical and irrelevant quote ('by perseverance the snail reached the ark'), and an attempt to establish a sense of authority and trust using philosophical language.  These elements are commonly used in phishing attempts to lure victims into clicking malicious links or providing personal information."
1330,1,True,High,"The email subject line 'empty' is extremely suspicious and lacks any context or identifiable sender information.  This is a classic tactic used in phishing emails to immediately grab attention and induce a click.  Without any legitimate content, it's almost certainly a malicious attempt to lure the recipient."
584,1,True,High,"This email exhibits multiple strong phishing indicators. Firstly, it leverages a complex, technical subject line and nested email chains to obfuscate the true purpose. Secondly, it attempts to create a sense of urgency ('the quicker we close'). Thirdly, it mentions specific individuals (Bob Hall, Steve Jackson, Anne Koehler) and companies (Enron, AEP) in a way designed to build trust and appear legitimate. Fourthly, the request for specific actions and updates is a common tactic used in phishing attempts to manipulate recipients into revealing information or taking actions. The email's focus on legal documents and amendments further adds to the suspicious nature, as legitimate legal processes rarely involve such casual and unstructured communication."
3062,0,True,High,"The email contains several red flags including an outdated date (May 10th, 2005), a bizarrely specific and potentially fabricated ticker symbol ('pgpu.pk'), overly optimistic and vague target prices, a generic 'investment newsletter' disclaimer that is frequently used in phishing attempts, and an email address (no_morenewsletters2@yahoo.com) that appears to be a disposable email address. The use of phrases like 'next hot pick!' further raises suspicion."
1174,1,False,Low,"The email appears to be a technical description of a bug or unusual behavior within a Microsoft Outlook folder. It lacks typical phishing indicators like urgent requests, suspicious links, or impersonation of a known entity. The sender's email address is from a Red Hat mailing list, which is a legitimate source. While the subject line and content are somewhat unusual, they don't inherently suggest malicious intent."
9486,0,True,High,"Several red flags indicate a phishing attempt: Generic greeting ('dear valued hsbc bank plc customer'), urgent request to verify account details via a link, claims of a review and fraud reduction, and a promise of redirection to the 'hsbc bank home page' - all designed to trick users into entering sensitive information."
11559,0,True,High,"The email uses overly enthusiastic and unbelievable claims (guaranteed breast size increase), urgent language ('60 days or your money back'), a generic 'name you know and trust' reference, and a deceptive 'double opt-in' claim coupled with a misleading removal link. These are all classic phishing tactics used to lure recipients into clicking a malicious link."
5567,0,True,High,"The email contains numerous red flags including sexually explicit content, unusual URL with suspicious characters, a call to action requesting personal information (implied), and a bizarre combination of unrelated words ('checkbook dahomey', 'canaveral belgrade') likely intended to appear legitimate and overwhelm the recipient. The URL is highly likely a phishing attempt."
