Email,Label,is_phishing_verdict,risk_level,explanation
1869,1,True,Medium,"The email is brief and seemingly innocuous, stating a simple technical issue (inability to open an attachment). However, the lack of context, the use of a first name ('stuart'), and the directness of the message raise suspicion. It's a social engineering attempt to elicit a reply and potentially establish communication or a pretext for a later, more malicious request. The simplicity makes it hard to determine intent directly, but the unusual nature warrants caution. A legitimate sender would likely include more details or context."
437,1,False,Low,"The email appears to be a promotional excerpt or advertisement for academic books related to linguistics and computational processing of focus and language. It lacks any urgent requests, unusual formatting, or demands for personal information. The provided links point to the Cambridge University Press website (cup.org), a legitimate publisher. While the lengthy text is unusual for a typical email, it aligns with a marketing or catalog format. There are no immediate red flags suggesting malicious intent. The tone is professional and informational. Although the length might trigger spam filters for some users, it doesn't inherently indicate phishing."
1875,1,True,Medium,"The email presents itself as a communication chain regarding a contract for a 'henwood engagement' within Enron. While seemingly innocuous, several factors warrant caution. The phrasing 'otherwise, we may be in violation of enron policy' introduces a subtle sense of urgency and potential negative consequence if the recipient doesn't act promptly, a common social engineering tactic. The request to review and approve a contract before traveling, while potentially legitimate, could also be used to pressure the recipient into hasty actions without proper verification. The email chain includes multiple recipients (Stinson, Bruce, Lauren), which could be an attempt to create an impression of legitimacy. However, the subject line, timestamps, and multiple forwards don't automatically equate to safety; phishers often mimic communication patterns. Despite the Enron context, the email is not inherently malicious in its content or structure. Given the subtle urgency and the potential for manipulation through the policy violation threat, it's prudent to err on the side of caution."
10858,0,True,High,"The email promotes a product (sexual enhancement pills) with exaggerated claims ('36 hours lasting', 'no side effects', 'boost and increase sexual performance'). It directly compares the product to well-known brands (Viagra, Cialis) to create a false sense of legitimacy. The URLs are highly suspicious, featuring unusual characters and a domain ('gallanted.com') that is unlikely to be associated with legitimate pharmaceutical companies. The aggressive marketing language and promises are red flags. The phrasing 'click heree' is also a common tactic used in phishing attempts to bypass recipient scrutiny."
269,1,True,High,"The email's content, consisting solely of an error message related to a 'spamtrap.sh' script and referencing paths like '/home/yyyy' and '/ftp/spamassassin/spamassassin', is highly unusual for legitimate communication. This is likely a deliberately obfuscated attempt to appear technical and possibly trick the recipient into clicking a link or executing a script (though no link is present in this snippet). The error itself may be fabricated or misleading. The fact that it’s just a raw error message, without any context or sender information, is suspicious. It lacks any normal email etiquette or a clear purpose. The paths /home/yyyy suggest a user account 'yyyy' which is not common in corporate environments. While the email lacks an explicit malicious link, the presentation of a technical error can be used to socially engineer a response or action. I default to 'true' due to the anomalous content."
3016,1,False,Low,"The email appears to be an internal communication regarding compensation and potential travel arrangements. It uses informal language ('@' as a separator) and refers to specific individuals and amounts, suggesting it's part of a legitimate business discussion. While the tone is casual, this is not inherently malicious. There are no overt requests for sensitive information or suspicious links. The age of the email (2002) also reduces any modern phishing risks, as email security practices have changed significantly since then. The references to specific personnel and amounts further point towards a legitimate internal discussion."
1247,0,True,High,"The email contains numerous unconventional characters and deliberate misspellings (e.g., 'lis', 'ftäb', 'disolvê', 'hälf', 'toungé', 'intércourse', 'nothkss'). This is a clear attempt to evade spam filters and/or appear unusual to trick recipients. The subject matter, seemingly referencing a drug or supplement, is unusual for standard corporate communication. The abrupt ending ('learn more here nothkss') and the lack of a proper sender or context raise significant suspicion. This email exhibits characteristics of a social engineering tactic intended to lure the recipient to a malicious website or extract information through curiosity or concern."
9962,0,True,Medium,"The email uses a common tactic of unsolicited offers for search engine submission. While not overtly malicious, the unsolicited nature, the promise of rapid results ('fast lane'), and the request to call a toll-free number are all potential red flags. The inclusion of a separate number to be removed from the list raises suspicion, potentially to track responses and gauge effectiveness of the scam. The lack of verifiable company information and generic language further contributes to concern. Despite the seemingly low risk, the email attempts to solicit business via an unsolicited communication, which is a common phishing tactic. The inclusion of a 'removal' phone number is highly suspicious. Therefore, while not a blatant phishing attempt, the email exhibits several concerning characteristics."
10623,1,True,High,"The email uses vague and technical-sounding language ('security resource line item request', 'notes document link') to appear legitimate, but lacks context and a clear sender identity. The phrasing 'please grant access' is a common tactic in phishing emails attempting to bypass standard authorization procedures. The seemingly random alphanumeric identifier (kker - 4 r 3 klb) is a red flag, as legitimate systems typically use more structured identifiers. The instruction to 'click your left mouse button' is unusual and could be an attempt to trick users into performing an action without thinking. Given the lack of sender information and unusual language, the email is highly suspicious."
2437,0,True,High,"The email exhibits numerous red flags characteristic of a pump-and-dump scheme and unsolicited investment promotion, strongly suggesting a phishing/scam attempt. Here's a breakdown:

1. **Unsolicited & Urgent:** The email is unsolicited, promoting a specific stock (VCSC) and creating a sense of urgency to act quickly (""watch out the stock go crazy next week"").
2. **Hyperbolic Claims & Speculative Pricing:** It makes extravagant claims about the company's potential (""revolutionizing the telecommunications industry"") and provides unrealistic speculative price projections. The projected price increases are far beyond normal market fluctuations.
3. **Poor Grammar & Typos:** Numerous grammatical errors and typos are present throughout the email (e.g., ""tapia"", ""vcsc"", ""revoiutionizing"", ""affordabie"", ""gioba |"", ""specuiative"", ""sei | "", ""chailenging"").  This is common in phishing attempts and often indicates a lack of professionalism.
4. **Disclaimer Overload:** While the extensive legal disclaimers attempt to provide legitimacy, their sheer volume and complexity are often a tactic to overwhelm recipients and obscure the true nature of the promotion.  The disclaimers attempt to absolve the sender of responsibility, a common tactic in dubious investment schemes.
5. **Conflict of Interest Disclosure:** The disclosure of holding shares and the intent to profit from their liquidation is a critical warning sign, indicating a clear conflict of interest.  Legitimate investment firms usually disclose holdings transparently, but this is coupled with aggressive promotional language, creating suspicion.
6. **Suspicious Link:** The link to unsubscribe ( `- aol 978987 sdfuoisduf . com / optl / rm . html - `) is highly suspicious. The domain name is not standard and likely redirects to a malicious site or is designed to harvest information.
7. **Overall Tone:** The email uses overly promotional language and aggressive sales tactics, attempting to manipulate the recipient into making a quick investment decision.

The combination of these factors strongly indicates this is a phishing/scam email designed to lure recipients into an investment scheme."
