Email,Label,is_phishing_verdict,risk_level,explanation
1869,1,False,Low,"The email is a short, simple message stating an attachment cannot be opened. There are no fabricated identities (though names appear to belong to real individuals), no requests for sensitive information, no urgent financial demands, and no suspicious URLs. The lack of formal formatting does not inherently indicate malicious intent. Without clear phishing indicators such as credential harvesting attempts or deceptive links, this is classified as safe."
437,1,False,Low,"This email appears to be an automated catalog or promotional listing from Cambridge University Press (CUP), likely sent via their 'Semantics' mailing list. The content is highly specific, detailing two academic publications with accurate ISBNs, prices, physical dimensions, and table of contents that matches real books on focus structure in linguistics. It includes the publisher's verified domain ('www.cup.org/order.html'). While the URL contains a typo (likely 'order' instead of 'cups' or similar), it still directs to a legitimate CUP site structure rather than a phishing domain. There are no requests for personal information, urgent financial demands, or fabricated urgency. The content is purely informational, cataloging book details."
1875,1,False,Low,"This email is a legitimate internal corporate communication between employees (Sandeep, Bonnie Nelson, Stinson Gibner) at Enron Development. It features proper professional formatting with specific subject lines, clear references to previous threads, and standard internal addresses including CC lists. There are no indicators of credential harvesting, urgent financial requests outside normal business scope, or suspicious external URLs. The content relates to a routine contractual review process, and the attached document description is consistent with typical business workflows. The language is professional and coherent."
10858,0,True,High,"The email exhibits multiple strong indicators of phishing. First, it contains severe spelling and grammatical errors ('haarder e - rectiions', 'click heree', 'out of mai - lling lisst'). Second, it promotes a product (softabs b 48 bsb) that appears to be an unapproved supplement making false medical claims (guaranteeing lasting effects, no side effects). Third, the pricing ($3.99) is suspiciously low for legitimate pharmaceuticals. Fourth, the provided URLs use a suspicious domain ('gallanted.com') and contain obfuscated parameters ('ronn o - ut', 'ronn u 8 bld'). Fifth, there is no sender address or return path visible in the body text. These elements combine to create a classic deceptive pattern designed to harvest credentials or redirect users."
269,1,False,Low,"This is a raw server error message from the Linux shell (bash) regarding a missing script or directory in an Apache configuration. It contains no social engineering elements, no URLs, and does not attempt to interact with a human user. It is an internal system diagnostic, not a phishing attempt."
3016,1,False,Low,"This is an email reply (indicated by 're: i meant...') between recognized individuals within a business context. It discusses internal financial matters (salaries/k per employee) and travel plans (going to NY). The syntax includes standard email headers ('from', 'to', 'subject') and appears to be from an internal mailing list or group communication. There is no request for credentials, links to external sites, urgency, threats, or fabricated urgency. While the grammar contains typos like 'i meant' instead of 'I meant' and '@' symbols, these are common in informal internal communication and do not indicate malicious intent."
1247,0,True,Medium,"The email text is extremely broken with numerous spelling errors (e.g., 'tis', 'disolvê', 'hälf', 'toungé', 'bêfore', 'inte'course', 'nothkss'). However, unlike the classic example of a high-risk phishing email with urgent financial requests or credential harvesting, this appears to be spam or junk mail related to adult content ('5 mins before intercourse') disguised as an ad ('incredible daily results'). While the grammar is poor, it does not explicitly contain URLs (the word 'here' is text, not a hyperlink) or direct requests for credentials. According to the critical rule to default to Safe if ambiguous, and noting the lack of clear malicious intent like data harvesting, this is flagged as low risk but potentially spam."
9962,0,True,Medium,"The email displays classic characteristics of a phishing attempt: it uses a generic 'mass marketing' approach ('I work with a company that submits web sites to search engines and saw your listing on the internet'), makes a specific but unrealistic promise ('fast lane', 'twice a month'), and includes a suspiciously low price point ($29.95/month). While there are some red flags, such as an unverified contact number, the email does contain verifiable contact information (Brian Waters) and a specific removal instruction number (888-800-6339 X1377), which mitigates it slightly from being high-risk. However, the lack of a company name or logo, the generic greeting ('Sincerely, Brian Waters'), and the request to be redirected to an action-based call rather than a legitimate business email suggests this is a spam/phishing email intended to harvest data or build a database. The risk is categorized as Medium because it mimics a legitimate service (SEO) but lacks verifiable corporate structure."
10623,1,False,Medium,"The email displays a request for access with a specific reference number (kker - 4 r 3 klb) and mentions an application for security resources. The language is somewhat robotic but lacks severe grammatical errors. It instructs the user to click a 'notes document link', but no actual URL is provided in the text itself, which is common in phishing attempts where the malicious link is embedded in HTML rather than plain text. However, without a suspicious URL or urgent/financial demand (other than a vague access request), this appears more like an internal organizational notification rather than an external phishing attempt targeting credentials."
2437,0,True,High,"This email displays multiple indicators of phishing, specifically a 'pig butchering' or investment scam. Key red flags include: generic and suspicious URLs ('aol 978987 sdfuoisduf . com'), nonsensical stock symbol presentation (vcsc), misleading financial projections ('crazy next week', 'speculative price in next 5 days'), lack of official company verification, and aggressive sales tactics promising rapid returns. The email also contains intentional typos and formatting inconsistencies typical of low-quality phishing attempts."
2041,0,True,High,"This email contains strong phishing indicators. It uses a classic deceptive tactic: combining an unrelated quote from Bertrand Russell (about true philosophy) with a blatant advertisement for illegal pharmaceuticals ('viagra'). This juxtaposition is often used in low-effort spam/phishing campaigns to appear less suspicious. The message lacks proper sender identification, professional formatting, or contact details, and makes an aggressive sales claim about being the 'only' online pharmacy offering specific guarantees. It attempts to bypass security filters using obfuscated or irrelevant text to mask its intent."
1330,1,False,Low,"The input provided was an empty string ('empty'), containing no content to analyze. Without any email text, sender information, links, or metadata, no phishing indicators can be identified. Therefore, the risk level is minimal as there is no threat present in the data itself."
