Email,Label,is_phishing_verdict,risk_level,explanation
15923,1,False,Low,"[Vote: 0 Phish / 3 Safe] This email appears to be a legitimate, automated scheduling system notification. It includes specific dates ('12/29/01') and times ('9'), along with technical details about parsing files and log messages. The language is formal and lacks any artificial urgency or requests for sensitive information. While the email contains some repetitive text, it does not contain any suspicious links, unusual requests, or unrealistic offers. The tone and content are consistent with a legitimate scheduling system notification."
17749,1,False,Low,"[Vote: 0 Phish / 3 Safe] This email appears to be a legitimate, internal corporate communication. The tone is professional, and the language used is consistent with standard business correspondence. The email includes specific details about an updated company structure, which suggests that it is part of a routine workflow rather than a phishing attempt. Marcelo Parra's signature block provides verifiable contact information, including his email address (marcelo.parra@enron.com). There are no obvious red flags or suspicious elements."
11199,1,False,Low,"[Vote: 0 Phish / 3 Safe] This email appears to be a legitimate academic or professional conference invitation. It includes specific details about the event, such as date, location, and topics of discussion. The language used is formal and technical, which is consistent with the topic of linguistic analysis. There are no obvious red flags like urgent requests for sensitive information, suspicious links, or attempts to harvest credentials. The email also includes a clear call to action (submitting a paper) and provides relevant contact information. Overall, this email does not exhibit any characteristics typical of phishing emails."
7660,0,True,High,"[Vote: 3 Phish / 0 Safe] This email contains no obvious malicious links, but it has an unusual number of random words and phrases scattered throughout the text. This could be a form of social engineering, attempting to overwhelm the recipient with sheer volume of information. Additionally, the subject line is overly promotional and sensationalized, which is another red flag."
12737,1,False,Low,"[Vote: 0 Phish / 3 Safe] This email appears to be a legitimate discussion between two individuals (Mike Burger and Justin Shore) about configuring SpamAssassin, an open-source spam filtering system. The tone is technical and conversational, with no attempts to create urgency or manipulate the recipient into taking action. The email includes specific details about configuration options and their effects, which suggests that it is a genuine discussion between experts in the field."
190,0,True,High,"[Vote: 3 Phish / 0 Safe] This email is a classic example of an advance fee scam. It claims to be from the son of former President Mobutu Sese Seko, who has inherited a large sum of money and wants to invest it abroad. The email asks for the recipient's assistance in receiving the money and promises a share of the profit. However, there are several red flags that indicate this is a phishing attempt. Firstly, the email contains multiple spelling and grammar errors, which is unusual for an official or business communication. Secondly, the story is too good to be true - it's unlikely that someone would inherit such a large sum of money without any effort on their part. Thirdly, the email asks for personal information (telephone and fax numbers) and promises a share of the profit, which is another common tactic used by phishers. Finally, the tone of the email is overly formal and lacks any specific details about the investment opportunity or the recipient's role in it."
11308,1,False,Low,"[Vote: 0 Phish / 3 Safe] This email appears to be a legitimate, internal academic or research-related communication. It contains specific details about book reviews and authors, uses standard formatting for citations, and includes no suspicious links or requests for sensitive information. The tone is professional, and the language is formal. Although it may contain some minor errors in formatting or grammar, there are no strong indicators of phishing."
13809,1,False,Low,"[Vote: 1 Phish / 2 Safe] The email appears to be a standard, automated transactional message. It contains a specific reference number ('meter 6387'), a date range ('dec 00'), and a deal ID ('565701'). The tone is formal and lacks any artificial urgency or requests for sensitive information. The language used is professional and free of social engineering tactics. While the email may not be explicitly related to a specific context, it does not contain any suspicious links, unusual requests, or attempts to harvest credentials. This suggests that the email is likely part of an internal workflow or a routine business transaction."
12409,1,False,Low,"[Vote: 0 Phish / 3 Safe] This email appears to be a genuine academic discussion on linguistics, with specific references to scholarly papers. The tone is formal and technical, with no signs of social engineering or manipulation. The email includes proper names, dates, and citations, which are typical characteristics of academic correspondence. There are no suspicious links, requests for sensitive information, or unrealistic offers."
11526,0,True,High,"[Vote: 3 Phish / 0 Safe] The email contains an unusual, attention-grabbing subject line ('this 6 . 3 megapixel canon dig cam could yours ! >') with no clear context or purpose. This is a classic social engineering tactic to pique the recipient's curiosity and create an emotional response. The lack of standard corporate communication formatting, specific contact information, and any technical details makes it suspicious. Additionally, the email does not provide any credible reason why someone would be offering a high-end camera for free."
