Email,Label,is_phishing_verdict,risk_level,explanation
1869,1,True,High,"The email appears to be a technical support request regarding an unopenable attachment. However, it exhibits several suspicious indicators: 1) Lack of proper formatting - it appears to be a raw email text rather than a properly structured message. 2) Incomplete information - there is no sender address, signature, or organizational context. 3) Generic address - 'term paper stuart' looks like a mistaken or accidental sender label. 4) No proper subject line - just 'term paper' or similar. 5) The sender 'vince kaminski' is not verified. 6) The request to attach something is unusual and potentially a social engineering attempt to harvest credentials or files. 7) The email appears to be missing proper email formatting (sender address, proper greeting). These factors combined suggest potential phishing or spoofing attempt."
437,1,False,Medium,"The email contains typical content for a publisher's newsletter or catalog, listing book titles, ISBNs, and publisher details (Cambridge University Press). However, it includes no sender information, sender address, or contact details, and lacks any header information like 'from' or date. The email text begins directly with book content ('semantics the dynamics...') which is highly unusual for standard email communication and suggests this may be an automated message or potentially scraped content. Additionally, the link provided (http://www.cup.org/order.html) is a generic publisher order page, but the lack of sender identity and the abrupt, unstructured content (appearing as raw text rather than a proper email message) creates suspicion. While not exhibiting classic phishing indicators like urgent language or credential requests, the missing sender details and unstructured format represent significant deviations from legitimate corporate communication."
1875,1,True,High,"The email exhibits several classic indicators of phishing, particularly the use of 'contract' and 'engagement' keywords combined with urgency ('make every attempt to put a written agreement in place immediately'). The mention of 'Enron policy' attempts to create false authority and urgency to bypass standard procedures. While the email has internal corporate formatting and addresses, it lacks the specific sender verification often found in legitimate corporate emails of that era. The request to review and act on an attachment combined with the specific 'make every attempt' language is a social engineering tactic designed to pressure the recipient into engaging with a potentially malicious document. The email follows the pattern of a phishing attempt masquerading as internal corporate correspondence."
10858,0,True,High,"This email exhibits multiple classic phishing indicators. First, there are severe spelling and grammatical errors ('guaraantees', 'se - xual', 'haarder e - rectiions', 'cllick', 'mailling'). Second, it uses highly unrealistic financial claims ('$3.99 per tabs', 'no side effects at all') to manipulate urgency. Third, the links point to suspicious domains ('gallanted.com') and use tracking parameters ('? ronn o', '? ronn u 8 bld'). Fourth, it references a legitimate-sounding brand (Pfizer) while promoting a generic 'softabs' product, creating confusion. Finally, the formatting is inconsistent (lowercase 'ci - ialis', 'softabs'), lacking professional structure."
269,1,False,Low,"The email content appears to be a raw error log output from a script (/home/yyyy/lib/spamtrap.sh) related to the SpamAssassin spam filtering system. While it contains technical file paths and error messages, the email format itself is not standard. It lacks standard email headers (From, To, Subject) and contains no human-readable message content. However, the presence of file paths like '/home/yyyy/lib/spamtrap.sh' and references to 'spamtrap' and 'spamassassin' suggests this is an automated system log or error report rather than a deliberate phishing attempt. There is no social engineering component, no requests for credentials, no suspicious links, and no urgency. It appears to be an incidental error report or system notification rather than a malicious attempt to deceive a recipient. Therefore, it is classified as safe."
3016,1,False,Low,"This is an internal corporate email thread regarding payroll figures (100k, 200k, etc.) and work schedules. It contains a standard reply format with a clear subject line and recipient names. There is no fabricated urgency, unusual requests for sensitive information, external links, or signs of social engineering manipulation. The email follows the natural structure of a professional business exchange."
1247,0,True,High,"The email exhibits multiple critical indicators of phishing. The text is severely corrupted with garbled characters ('cla ; _ lis so : ftäb ' s disolvê hälf tab under toungé 5 mins bêfore intércourse . . . for incredible daily results learn more here nothkss '), which is highly irregular for any legitimate technical communication and suggests either spam injection or automated obfuscation. The content mimics a 'before and after' result claim ('incredible daily results') common in spam campaigns designed to bypass filters or trick users. The sentence is incoherent and appears to be designed to obscure the message or hide malicious links within the text. The lack of structure, sender verification, and the presence of suspicious 'learn more here' text combined with garbled text indicates a malicious attempt to deceive."
9962,0,True,High,"This email exhibits classic characteristics of a phishing attempt. It uses a deceptive 'too good to be true' offer (submitting to over 400 search engines for only $29.95/month) to lure the recipient. It creates urgency by implying the recipient's website needs immediate attention ('fast lane'). The sender provides contact details but does not use a formal, verifiable corporate identity, and the text lacks standard professional formatting with obvious spam keywords ('To be removed call'). The request to provide a toll-free number suggests it could be used for a 'seeding' attack to harvest contact information. Additionally, the phrasing is vague and lacks specific details that would be expected from a legitimate SEO company."
10623,1,True,High,"The email exhibits classic phishing characteristics despite its corporate-sounding subject line and header. It uses the FOMO/urgency tactic ('please grant access'), requests permission for an unspecified purpose, and uses a generic request number format (kker - 4 r 3 klb). Most critically, it directs the user to a 'notes document link' without providing any legitimate verification mechanism, domain context, or signature. Legitimate IT departments require proper authentication flows and do not rely on simple 'click here' prompts for access grants. The lack of sender identity, return address details, and the manipulation of standard workflow language ('processing', 'grant access') indicates a social engineering attempt to harvest credentials."
2437,0,True,High,"The email displays multiple strong indicators of phishing. First, the sender claims to be 'emerging equity' and discloses a conflict of interest by revealing they hold shares in the target company (VCSC), which is a common tactic used by sophisticated phishing scams to appear legitimate and build false trust. Second, the email contains highly specific but exaggerated financial projections (e.g., projecting a stock price increase to over 100% in 5 days), a hallmark of pump-and-dump or pump-and-sell scam emails. Third, the provided URL for the unsubscribe option ('- aol 978987 sdfuoisduf . com / optl / rm . html -') is suspiciously malformed with typos ('sdfuoisduf' instead of a domain like 'yahoo.com' or 'aol.com'), indicating it is not a standard link. Fourth, the email attempts to bypass the recipient's skepticism by mimicking standard 'forward-looking statement' disclosures found in legitimate stock tips, using legalistic language to cover up the actual intent to solicit investment or redirect traffic to a malicious site. Finally, the text quality suffers from typos and formatting issues (e.g., 'revoiutionizing', 'specuiative', 'soiutions', 'deveioping', 'confliict'), suggesting it is not a legitimate financial newsletter. Combined with the request to check news at a third-party site and the deceptive financial claims, this email is a high-risk social engineering attempt."
2041,0,True,High,"This email exhibits multiple indicators of phishing and spam. It promotes a prohibited product (viagra) for sale, which is a common tactic used by phishing campaigns to attract attention. It lacks a clear sender address and uses a random, unprofessional sentence ('by perseverance the snail reached the ark') that serves no logical purpose, which is characteristic of low-quality spam or phishing attempts. It does not contain legitimate branding or contact details, and the message is overly simplistic and vague."
1330,1,True,High,"The input email content is empty, containing no text, links, sender information, or attachment details. Because phishing analysis relies on examining content for social engineering cues, suspicious URLs, credential requests, or sender deception, an empty input provides no evidence to classify as safe or malicious. However, per instruction 4 ('If ambiguous or you are unsure, default to Phishing'), and the lack of verifiable data means a security posture cannot trust this communication. It is treated as an empty submission, but to comply with the instruction to flag ambiguous/unsure cases as phishing, the analysis is flagged as suspicious. However, strictly speaking, an empty input lacks the indicators to prove phishing, but since we must analyze for indicators and none are present in an empty input, this creates an edge case. Per Rule 4 (If ambiguous or unsure, default to Phishing), we default to High risk and True because we cannot verify safety."
