Email,Label,is_phishing_verdict,risk_level,explanation
1869,1,False,Low,"The email is a very brief message requesting assistance with an attachment. There are no obvious red flags such as urgent requests, unusual URLs, or threats. The sender is simply asking for help with a technical issue. The lack of context and the informal tone could be a minor indicator of potential malicious intent, but without further investigation, it’s most likely a legitimate request for assistance. The subject line 'term paper stuart' is vague and could be associated with legitimate academic correspondence, though it warrants further scrutiny if the recipient doesn't know Stuart or isn't involved in a term paper."
437,1,False,Low,"The email appears to be a legitimate academic publication listing and order information. It contains details about a book titled 'The Dynamics of Focus Structure' by Nomi Erteschik-Shir, including ISBNs, publisher, price, and a table of contents. The URLs provided, 'http://www.cup.org/order.html', are the official website for Cambridge University Press, a reputable academic publisher. There are no urgent requests, suspicious links, or indications of credential harvesting. The grammar and formatting are standard for academic publications. The multiple mentions of the same URL are also typical for providing ordering details."
1875,1,True,Medium,"The email exhibits several concerning characteristics suggesting potential phishing activity. Firstly, the sender uses a somewhat informal tone with multiple 'please' and 'thanks' requests, which is atypical of formal corporate communications. Secondly, the email references 'Enron policy' and 'Henwood engagement,' potentially attempting to leverage the notoriety of Enron to create a sense of urgency and authority. The request for immediate review and travel to Houston adds to this urgency. Thirdly, the inclusion of multiple attachments (a revised agreement and clean/change-marked versions) is a common tactic used to overwhelm the recipient and increase the likelihood of them clicking a malicious link within one of the attachments. While there's no explicit demand for sensitive information or a clearly malicious URL, the combination of urgency, unusual phrasing, and reference to a controversial company raises a significant risk. The email lacks a standard professional signature block."
10858,0,True,High,"The email employs several red flags indicative of a phishing attempt. It uses overly enthusiastic and hyperbolic claims about a product ('ci-ialis softabs') making unsubstantiated promises regarding sexual performance and comparing itself favorably to established brands like Pfizer. The pricing ($3.99 per tab) is extremely low, suggesting a scam. The URLs (`gallanted.com`) are suspicious and likely unrelated to the product being advertised, and the URL contains obfuscation attempts with characters like 'ronn o - ut of mai - lling lisst' and 'cs / ? ronn u 8 bld'. The grammatical errors ('cllick heree') further suggest a non-legitimate source. The overall tone and content are designed to lure the recipient into clicking a potentially malicious link."
269,1,False,Low,"The email appears to be a technical log snippet related to spam filtering software (SpamAssassin) and a potentially misconfigured system. The path '/home/yyyy/lib/spamtrap.sh' and '/home/yyyy/ftp/spamassassin/spamassassin' are standard locations for such software. The error message 'No such file or directory' suggests a configuration issue, not a malicious attack. There are no urgent requests, suspicious URLs, or indications of credential harvesting. The email doesn't attempt to trick the recipient into doing anything."
3016,1,False,Low,"The email appears to be a transactional record of financial agreements, likely related to a business deal. It contains multiple recipients and references specific monetary amounts and individuals. There are some minor grammatical issues ('200 k', 'thursday morning'), but the content is straightforward and doesn't exhibit any red flags typically associated with phishing attempts, such as urgent requests for information, suspicious links, or unusual language. The subject line and context suggest a legitimate business communication."
1247,0,True,High,"The email is overwhelmingly likely to be a phishing attempt due to a multitude of factors. Firstly, the language is completely nonsensical and appears to be a random collection of characters and misspelled words. This is a classic tactic used by scammers to obfuscate the true nature of the message and create confusion. Secondly, the instruction to 'learn more here' with the term 'notkhss' strongly suggests a link leading to a malicious website designed to steal personal information or install malware. Finally, the extremely unusual and unprofessional phrasing points towards a fraudulent scheme. The overall impression is highly suspicious."
9962,0,True,High,"This email exhibits several classic phishing indicators. The offer of search engine submissions for a low monthly fee ($29.95) is a common tactic used to lure victims. The request for a phone number to 'get your web site in the fast lane' is a clear attempt to gain control of the recipient's domain. The inclusion of a second phone number for removal (888-800-6339 X1377) is a deceptive tactic to make it appear legitimate while potentially collecting contact information. The email lacks a verifiable sender address and uses a generic greeting. The urgency created by 'fast lane' is a common manipulation technique. The overall structure and language are designed to create a sense of opportunity and pressure, hallmarks of phishing scams."
10623,1,True,High,"The email exhibits several red flags indicative of a phishing attempt. Firstly, the language is overly formal and technical (""grant access"", ""security resource line item request""), which is a common tactic to appear legitimate. Secondly, the request for immediate action (""click your left mouse button"") creates a sense of urgency, pushing the recipient to bypass critical thinking. Thirdly, the use of a randomly generated identifier (""kker - 4 r 3 klb"") is suspicious, suggesting a lack of legitimate context. Finally, the link is not provided, making it impossible to assess its actual destination but the structure itself is alarming. The lack of a verifiable sender and the pressure to click a link makes this highly suspicious."
2437,0,True,High,"This email exhibits multiple red flags indicative of a phishing attempt. It heavily relies on speculative investment advice, utilizing phrases like 'breaking news,' 'projected speculative price,' and 'watch out the stock go crazy.' The numerous grammatical errors and unusual phrasing ('forward looking statements,' 'pecuiative price,' 'globa | reach') are consistent with fraudulent communications. The inclusion of a Yahoo Finance link is a tactic to lure the recipient to a malicious website. Furthermore, the email aggressively promotes investment opportunities and pressures the reader to act quickly, a common phishing technique. The disclaimer about potential conflicts of interest is likely a deceptive tactic to build trust while simultaneously highlighting the risk of the investment."
2041,0,True,Medium,"The email promotes the sale of Viagra, a highly sensitive and regulated product. While not directly requesting personal information, the offer of a medication is a common tactic used in phishing scams to lure victims. The content is also nonsensical and uses irrelevant anecdotes to attempt to distract the recipient. The risk level is assessed as Medium due to the suggestive nature of the content and the potential for it to be a lead on a phishing attempt."
1330,1,True,High,"The email contains no content whatsoever. This is a highly suspicious circumstance. Phishing emails almost always contain some form of message, even if it's a deceptive one. The lack of any data suggests a malicious attempt to probe for a recipient, or a deliberate attempt to mislead. While the absence of content *could* be benign, the risk is extremely high given the common characteristics of phishing attacks."
584,1,False,Low,"This email is a lengthy, complex discussion regarding a business transaction (HPL sale) between Enron and AEP. It contains detailed technical and operational information, references to specific individuals and departments, and discusses legal documentation and procedures. There are no immediate red flags like urgent requests for information, suspicious URLs, or unusual language indicative of phishing. The content focuses on a legitimate business process, making it a safe communication."
3062,0,True,High,"This email exhibits multiple characteristics of a phishing attempt. Firstly, the content is overly promotional and sensationalized, using phrases like 'next hot pick!' and urging the recipient to 'follow this one trade Tuesday!' This creates a sense of urgency and potential profit, a common tactic in phishing scams. Secondly, the email contains numerous grammatical and spelling errors ('comerciaiization', 'structura | technoiogy', 'potentia |'). This suggests a lack of professionalism and could be a deliberate attempt to bypass spam filters or disguise the sender. Thirdly, the email promotes a speculative investment opportunity with unrealistic target prices ($2.25, $5.25) without providing substantial financial information or risk assessments. The mention of 'pinnacle acquisition of aerofoam' and a 'binding letter of intent' adds a layer of legitimacy, further increasing the likelihood of it being a fraudulent scheme. Finally, the email includes a suspicious email address ('no_morenewsletters2@yahoo.com') that is likely a disposable address used for spam distribution. The inclusion of disclaimers about not being personalized investment advice adds to the deceptive nature, as it attempts to appear legitimate while still pushing the fraudulent investment opportunity."
1174,1,False,Low,"The email describes a technical observation about a messaging system's behavior. It discusses folder navigation and message highlighting. There are no indications of urgency, financial requests, credential harvesting, or suspicious URLs. The sender's email address is a legitimate Red Hat mailing list address, and the link provided leads to the list's management page. The content is technical and doesn't exhibit typical phishing characteristics."
9486,0,True,High,"This email exhibits several strong indicators of phishing. Firstly, the language is overly formal and uses phrases like 'valued customer' and 'continuing commitment,' which are often used in phishing attempts to build trust. Secondly, it requests a review of the account and a visit to a website, creating a sense of urgency and potential risk. Thirdly, the email lacks a verifiable signature from a known HSBC representative and uses the generic 'hsbc bank plc' instead of the official 'HSBC Bank Pic'. Finally, the request to 'visit our site' followed by a link is a classic phishing tactic to direct the user to a malicious website designed to steal credentials."
11559,0,True,High,"This email exhibits several strong indicators of a phishing attempt. Firstly, the subject matter – promising significant breast enhancement – is highly sensational and designed to attract attention. Secondly, the language is overly enthusiastic and uses marketing buzzwords like 'guaranteed', '100% herbal', and 'proven formula'. Thirdly, the URL provided ('absolutely no side effects!') is likely a deceptive tactic to build trust and trick users into clicking. Fourthly, the claim of a 'double opt-in' subscriber list is a common tactic used by phishers to appear legitimate. The overall urgency and promise of a substantial benefit are hallmarks of phishing scams. The lack of a verifiable sender and the questionable URL strongly suggest malicious intent."
5567,0,True,High,"This email exhibits multiple strong indicators of phishing. The content is overtly sexual and uses sensationalized language to lure the recipient. The URL, 'uxm 5 . info . lediesnight . biz', is highly suspicious and likely a domain designed to mimic a legitimate site. The grammar and spelling are poor, a common tactic in phishing emails. The request for 'checkbook dahomey' and other unusual terms further indicate a fraudulent and disorganized operation. The combination of these factors strongly suggests a malicious intent to potentially distribute malware or harvest personal information."
14831,1,False,Low,"The email discusses a controversial topic (belief in God vs. InfoSpace) and includes a link to a mailing list. The link is provided for a forum discussion, and the content does not contain any urgent requests, financial incentives, or suspicious URLs. The email appears to be a legitimate discussion thread. There are no immediate indicators of phishing activity."
14358,1,False,Low,"The email discusses a shader trick from a technical book and provides a URL to the excerpt. There are no immediate red flags such as urgent requests, financial incentives, or suspicious URLs. The URL, while potentially leading to a technical resource, doesn't exhibit characteristics typically associated with phishing scams. The content is technical and doesn't attempt to manipulate the recipient.  The email appears to be a legitimate sharing of a technical resource."
14795,0,True,High,"This email exhibits several classic phishing characteristics. It uses a sensationalized subject line ('Does Your Computer Need an Oil Change?') and overly enthusiastic marketing language ('UNBEATABLE software suite', 'magnificent deal', 'get it while it's HOT!'). The offer of a bundled software suite at a drastically reduced price ($29.99 instead of $99.95) is a common tactic used in phishing scams to create a sense of urgency and lure victims. While it includes a disclaimer about an opt-in list and IEAC approval, the overall presentation and aggressive marketing heavily suggest a fraudulent intent. The inclusion of a phone number for immediate action further amplifies the urgency. The use of unusual characters like 'Ã¿FFFF99' is also a red flag."
1973,1,False,Low,"This email appears to be a legitimate academic conference invitation. It provides detailed information about the symposium, including the speakers, topics, location, and cost. While the email contains some lengthy text and slightly awkward phrasing, there are no immediate red flags indicative of phishing. The contact information provided (C.C.L., UMIST) is a real academic department, and the email address is a valid university address. The request for reservation through email, fax or post is standard practice for conferences. The inclusion of speaker names and research areas further validates its legitimacy. There are no urgent requests for financial information, suspicious URLs, or unusual language designed to pressure the recipient. The price of £15 for lunch is also a reasonable figure for a conference. Overall, the email's content and structure align with a legitimate academic event invitation."
11491,1,False,Low,"The email appears to be a casual personal update from someone traveling. There are minor grammatical errors, but they don't indicate malicious intent. The URL provided, `http://phonecard.yahoo.com/`, is a legitimate Yahoo! service for purchasing international calling cards. While the email address `wjwjr99@yahoo.com` is a valid Yahoo address, it is not unusual for travelers to use personal email accounts. There's no financial request or attempt to harvest credentials. The content is conversational and lacks urgency, suggesting it's a genuine message."
1234,0,True,High,"The email exhibits several strong indicators of phishing. Firstly, the language is overly romantic and implausible, a common tactic in romance scams. Secondly, the URL 'http://www.yqryjv5iqqc.hellomylove.net' is highly suspicious – it's a random string of characters, has no relation to a legitimate domain, and is likely designed to lead the recipient to a malicious website. Thirdly, the email lacks any context or legitimate sender information, furthering the sense of deception. The overall tone and request are designed to exploit emotional vulnerability."
5345,1,True,Medium,"The email exhibits several concerning aspects that warrant scrutiny. Firstly, it uses a somewhat informal tone ('please follow up as soon as possible') and includes a request for an 'interview.' Secondly, it asks the recipient to contact a Darrin Presto at 509-946-7879. There's no context provided as to who Greg is or why the recipient is being asked to contact Darrin. Finally, the urgency implied ('as soon as possible') is a common tactic used in phishing emails to pressure the recipient into acting quickly without critical thought. However, there’s no immediately obvious malicious link or attempt to harvest credentials. The lack of a verifiable sender and the somewhat vague request suggest a potential scam. It’s unlikely to be a sophisticated phishing attack, but the urgency and lack of context are red flags."
