Email,Label,is_phishing_verdict,risk_level,explanation
15923,1,True,High,"The email contains suspicious characters and formatting, such as the repeated 'start date' and 'hourahead hour' phrases, which are not typical in legitimate emails. Additionally, the log messages at the end of the email appear to be a script or code snippet, rather than actual log data."
17749,1,False,Low,"The email has a legitimate Enron company structure and includes specific details about the sender's identity. The subject line is relevant to the content of the email, and there are no obvious red flags such as urgent requests or generic greetings."
11199,1,False,Low,"The email appears to be a legitimate academic call for papers, with no obvious red flags or suspicious language. The tone is formal and professional, consistent with the topic of an academic conference."
7660,0,True,High,"The email contains several red flags, including an urgent and sensational subject line, a promise of a 'revolutionary new product' with a 100% guarantee, and a suspicious URL that does not appear to be a legitimate company website. Additionally, the email includes a large amount of seemingly random text, which is often used in phishing emails to make them harder to detect."
12737,1,False,Low,"The email appears to be a legitimate discussion about configuring SpamAssassin and MIMEDefang. The language used is technical and specific to the topic, and there are no obvious red flags or attempts to deceive the recipient."
190,0,True,High,"The email contains several red flags, including a generic greeting, an unusual and overly formal tone, a large sum of money being transferred, and a request for assistance with receiving the funds. Additionally, the email claims to be from the son of a former president, which is often used as a tactic in phishing emails."
11308,1,False,Low,"The email appears to be a legitimate academic invitation from the Linguist List. The language and tone are professional, and there is no suspicious behavior or red flags indicating phishing activity."
13809,1,True,High,The email contains a suspicious subject line that is not descriptive and does not contain any relevant information. It also lacks a clear sender name or company name.
12409,1,False,Low,"The email appears to be a genuine academic discussion about a linguistic topic. The language used is formal and technical, and the references provided are real academic sources. There are no obvious red flags or suspicious elements that would indicate phishing activity."
11526,0,True,High,"The email contains suspicious characters and formatting, such as the use of greater-than and less-than symbols (> <), which are often used in phishing emails to try to trick users into clicking on links or opening attachments. Additionally, the subject line is vague and does not provide any context about what the email is about."
576,1,False,Low,"The email subject is empty, which is not a typical characteristic of phishing emails. Additionally, the sender's address and body content are also empty, making it unlikely to be a phishing attempt."
15061,1,True,High,"The email contains several red flags, including an unsolicited investment opportunity, a lack of personalization, and a sense of urgency to invest $50,000. Additionally, the email does not provide any information about the sender's identity or their relationship with the recipient."
17179,0,True,High,"The email contains several red flags, including an unsolicited offer for a weight loss product, the use of sensational language and exaggerated claims, and a suspicious URL that is not well-known or reputable. Additionally, the email does not address the recipient by name, which is unusual for a legitimate company."
2638,1,True,High,"The email contains a suspicious link and lacks proper formatting, which are common indicators of phishing attempts."
7934,0,True,High,"The email contains a mix of random words and phrases, which is a common tactic used by phishing emails to avoid detection. Additionally, the email does not provide any specific information about the products or services being offered, which raises suspicions."
4126,1,False,Low,"The email subject is empty, which is not a typical characteristic of phishing emails. Additionally, the sender's address and body content are also empty, making it unlikely to be a phishing attempt."
2372,0,True,High,"The email contains several red flags, including a generic greeting ('Jane'), an unusual target domain (webmaster@efi.ie), and a lack of personalization. Additionally, the email is trying to sell a product or service without establishing a relationship with the recipient, which is a common tactic used by phishers."
12652,1,False,Low,"The email appears to be a genuine job posting from the University of Southern California (USC), with a clear subject line and a formal tone. The sender's email address is also consistent with USC's domain. However, it's worth noting that the email does not contain any specific details about the applicant's qualifications or experience, which could raise some suspicions."
11904,0,True,High,"The email contains several red flags, including a generic greeting and subject line, poor grammar and spelling, an excessive use of exclamation marks (!), and a suspicious URL. Additionally, the email is trying to create a sense of urgency by mentioning 'top offerings on cart' and 'check our catalog', which are common tactics used by phishing emails."
2270,0,True,High,"The email contains several red flags, including an unusual sender name and email address, a sense of urgency to update account details, and a suspicious download link. Additionally, the email is trying to sell software at a significantly discounted price, which is a common tactic used by phishers."
16883,1,False,Low,"The email appears to be a legitimate academic publication announcement. The language and content are consistent with the topic of linguistics, and there is no suspicious or urgent tone. The request for payment by check or money order is also common in academic settings."
4797,1,False,Low,The email does not contain any obvious phishing indicators such as suspicious links or attachments. The PGP signature and the mention of a company (The Internet Bearer Underwriting Corporation) do not raise any red flags.
14672,1,False,Low,"The email appears to be a legitimate announcement for a workshop at the University of Glasgow. The language and tone are professional, and there is no suspicious or urgent language used."
6723,1,False,Low,The email appears to be a legitimate request from Vince for coordination of a lunch meeting. The language used is professional and the tone is polite. There are no obvious red flags or suspicious indicators that would suggest it's a phishing attempt.
4508,1,False,Low,"The email appears to be a legitimate academic invitation with specific details and contact information. The language used is formal and professional, and the request for submissions includes clear guidelines and deadlines. There are no obvious red flags or suspicious elements that would indicate phishing."
11569,0,True,High,"The email contains several red flags, including a generic greeting and introduction, an excessive amount of text, and a lack of personalization. Additionally, the email is trying to sell services and promote the company's capabilities without establishing a clear connection with the recipient."
12594,1,False,Low,The email does not contain any obvious phishing indicators such as suspicious links or attachments. The sender's email address and website are legitimate and match the information provided in the email signature.
17793,1,False,Low,"The email appears to be a legitimate discussion on the Spamassassin-talk mailing list, with no obvious phishing indicators. The presence of an OpenPGP key and a reference to Jabber, a real-time communications platform, suggests that the email is genuine."
11259,1,False,Low,"The email appears to be a legitimate business communication due to its formal tone and specific details about the coal contract. The sender's name (Ozzie Pagan) is also likely a real person within the company. However, it's always important to verify the authenticity of emails by contacting the sender directly or checking with other trusted sources."
564,1,False,Low,The email does not contain any obvious phishing indicators such as suspicious links or attachments. The content appears to be a genuine discussion about browser preferences.
13904,0,True,High,"The email contains a suspicious link and an unverified phone number. The sender's identity is not verified, and the email lacks personalization."
6771,0,True,High,"The email is using a sense of urgency and scarcity (""pending shipping authorization"") to prompt the recipient into taking action. Additionally, it's asking for confirmation without providing any specific details about the DVD set or the shipping process."
7884,1,False,Low,The email does not contain any obvious phishing indicators such as suspicious links or attachments. The content appears to be a legitimate discussion of ubiquitous computation and its potential applications.
11376,1,False,Low,"The email does not contain any obvious phishing indicators such as suspicious links or attachments. The sender's email addresses appear to be legitimate and the content of the email is technical in nature, discussing smart cards and security."
15816,0,True,High,"The email contains a long list of software products with prices, which is an unusual and potentially suspicious activity. Additionally, the sender's name 'Lori' is not personalized to the recipient, which could be a sign of a mass phishing campaign."
18412,0,True,High,"The email contains several red flags, including the use of a generic greeting ('come on in'), the promise of 'genuine replica watches' which is likely to be a scam, and the inclusion of multiple brands (including Rolex) without any clear indication of legitimacy. Additionally, the URL provided is not a standard format for a website link."
6332,1,True,Medium,"The email contains a mix of legitimate-sounding information (e.g., meter numbers) and suspicious elements (e.g., the sudden introduction of new entities like 'Brandywine' and 'Sitara # 423794'). The tone is also somewhat informal for an official communication, which could be a red flag. Additionally, there is no clear indication of who Lee is or what their relationship is to the recipient."
13564,0,True,High,"The email contains several red flags that indicate it may be a phishing attempt. Firstly, the subject line is attention-grabbing and sensational, which is a common tactic used by scammers to get people to open their emails. Secondly, the email claims that you can 'eat as much as you want' and still lose weight, which sounds too good to be true. This could be an attempt to lure victims into buying a product or service that may not deliver on its promises. Finally, the email includes several typos and grammatical errors, which is unusual for a legitimate company."
10956,1,True,High,"The email contains several red flags, including a generic greeting and subject line, an unusual request for payment by cheque or money order, and a lack of personalization. Additionally, the email includes a lengthy order form that could be used to harvest sensitive information."
18442,1,False,Low,"The email appears to be a legitimate communication from the California Independent System Operator (CAISO) as it includes specific details about the sender's name, job title, and contact information. The attachment is also clearly labeled with a date and purpose. However, there are some minor red flags such as the lack of personalization in the greeting and the use of an older date format (MM/DD/YYYY). Nevertheless, these indicators do not suggest phishing activity."
3614,1,False,Low,"The email appears to be a legitimate business communication about meter activity and gas flow. The language used is professional and the tone is informative, rather than attempting to deceive or manipulate the recipient."
13365,1,False,Low,"The email appears to be a legitimate academic publication announcement from Garland Publishing. The sender's email address is info@garland.com, which matches the domain mentioned in the email. There are no obvious red flags or suspicious phrases that would indicate phishing."
5968,1,False,Low,The email appears to be a legitimate announcement for a new academic journal. The tone is professional and the language used is consistent with an academic setting. There are no obvious red flags or suspicious links.
12599,0,True,High,"The email contains a suspiciously short and vague subject line, as well as an overly promotional tone. Additionally, the lack of any actual content or context makes it likely that this is a phishing attempt."
4983,0,True,High,"The email contains several red flags, including an urgent and sensationalized subject line, a promise of unusually high returns with little effort, and a lack of personalization. Additionally, the email is trying to create a sense of urgency by implying that the recipient has already been exposed to this opportunity in the past."
1467,1,False,Low,The email does not contain any obvious phishing indicators such as suspicious links or attachments. The content appears to be a philosophical discussion about the use of brain parts and is written in a casual tone.
16147,0,True,High,"The email contains a suspiciously low price point for bulk emailing services, which is often a tactic used by phishing emails. Additionally, the email includes a personal phone number and email address (learnmorezz1@yahoo.com) which could be used to initiate further communication or requests for sensitive information."
3774,1,False,Low,"The email appears to be a legitimate academic invitation with a clear subject and speaker information. The language used is formal and professional, which is consistent with the tone of an academic conference."
2743,0,True,High,"The email contains several red flags, including an urgent tone ('expires'), a generic greeting ('dear customer'), and a suspicious URL ('http://delphinium.moziyu.com/12/') that is not related to the company's official website. Additionally, the sender's name and title are vague and do not match the typical format of a legitimate company."
4741,1,True,High,The email contains several red flags: 1) It's an unsolicited message from someone you don't know. 2) The sender is asking for your opinion on a resume and wants to discuss potential financial gains. This could be a classic phishing tactic to get you to reveal sensitive information or click on a malicious link.
16272,1,False,Low,The email appears to be a legitimate discussion on an RPM-List mailing list about ALSA and mixer software. The links provided are to specific RPM packages and the tone of the email is professional and informative.
14242,1,False,Low,"The email appears to be a legitimate internal company communication due to its formal tone, use of specific company names and departments (Enron), and inclusion of employee extensions. The language used is professional and does not contain any obvious red flags or attempts to trick the recipient into divulging sensitive information."
2325,1,False,Low,The email does not contain any obvious phishing indicators such as suspicious links or attachments. The content appears to be a genuine discussion about RPM (Red Hat Package Manager) issues and solutions.
7479,0,True,High,"The email contains a mix of random words and phrases, which is a common tactic used by phishers to make their emails appear more legitimate. Additionally, the email lacks any personalization or relevant information about the recipient's relationship with the sender."
17581,1,False,Low,"The email appears to be a legitimate company communication about benefit meetings. The language and tone are professional, and the details provided (date, time, location, attendees) suggest an internal company event rather than a phishing attempt."
16414,1,False,Low,The email does not contain any obvious phishing indicators such as suspicious links or attachments. The content appears to be a discussion about spamming and the government's role in regulating it.
14557,1,True,High,The email contains a suspicious link (http://us.click.yahoo.com/pt6YBB/NXiEAA/MVfIAA/7gSolB/TM) that is likely to be a phishing attempt. The link is not related to the content of the email and appears to be an advertisement for DVDs.
1426,0,True,High,"The email contains several red flags, including the use of special characters and misspellings in the subject line and body, as well as a lack of personalization. The offer to save 80% or more without a prescription is also suspicious."
3976,0,True,High,"The email contains a suspicious link (http://www.qpas.co.uk/pcclinic.htm) that is not clearly labeled as an internal link or a trusted source. Additionally, the email does not provide any personalization or context about the recipient's relationship with Nationwide PC Repairs and Upgrades."
3605,0,True,High,"The email contains a sensational and exaggerated subject line, which is a common tactic used by phishers to grab attention. Additionally, the email claims that the message can 'alter your life history', which is an unrealistic claim. The email also uses all capital letters in some parts of the sentence, which is another red flag."
963,1,False,Low,"The email does not contain any obvious phishing indicators, such as suspicious links or attachments. The content appears to be a legitimate news article about a pipeline explosion and its impact on the natural gas market."
8332,0,True,High,"The email contains several red flags, including an unusual URL (jkm6.wc.icyigloo.com), a lack of personalization despite claiming to be from a relationship, and a suspicious quote that seems out of place in the context of a pharmacy."
3818,0,True,High,"The email contains a mix of random words and phrases that do not make sense in the context of a legitimate online pharmacy. The use of all capital letters for emphasis is also suspicious. Additionally, the email does not provide any specific information about the medication or the company, which raises further suspicions."
11953,1,False,Low,"The email appears to be a genuine update from an employee about business deals. The language and tone are professional, and the sender's name is mentioned. There are no obvious red flags or suspicious links."
18096,1,False,Low,The email does not contain any obvious phishing indicators such as suspicious links or attachments. The PGP signature is a legitimate encryption method used by the Linux community.
16606,1,False,Low,"The email appears to be a genuine academic discussion about linguistic phenomena in South African English and Australian culture. The tone is informative, and the language used is formal and technical. There are no obvious red flags or suspicious elements that would indicate phishing activity."
12022,0,True,High,"The email contains several phishing indicators, including: 1) The subject line is irrelevant and does not provide any useful information. 2) The sender's name is not provided. 3) The email contains a suspicious link (khttp : / / www . pmedbadbu . info / 92 /). 4) The email contains a lot of random names, which could be used to make the email appear more legitimate."
10141,0,True,Medium,"The email contains a suspicious link (www.genuineloghome.com) and an unusual sales rep code (BSAD24). Additionally, the 'To be removed from our mailing' instruction is not typical of legitimate companies."
7208,1,True,High,"The email contains several red flags. Firstly, the sender's name 'Ray' is not a specific company or organization, which makes it suspicious. Secondly, the email address does not follow the typical format of a legitimate Blackberry email address (e.g., [rick.blackberry.com](mailto:rick.blackberry.com)). Thirdly, the email contains no clear subject line and the body of the email seems to be trying to create a sense of urgency by asking for an immediate meeting. Finally, the email is sent from a generic 'Blackberry wireless handheld' rather than a specific company or organization."
7431,0,True,High,"The email contains several red flags, including the use of urgency ('IMPORTANT INFORMATION'), a generic greeting ('Sincerely,'), and an unusual domain name registration process. Additionally, the 'remove your email address from further promotional mailings' link is not a standard practice for legitimate domain registrars."
8659,0,True,High,"The email contains several red flags, including an urgent and sensationalized subject line, a lack of personalization or specific details about the recipient, and a suspicious link that is not clearly labeled. Additionally, the email asks the recipient to copy and paste the link into their browser, which is a common tactic used by phishers."
18007,0,True,High,"The email contains several red flags, including an urgent tone, a sense of scarcity, and a request for personal information. Additionally, the email is trying to create a false sense of urgency by stating that you need to order within 30 days or miss out on a limited-time offer."
