Email,Label,is_phishing_verdict,risk_level,explanation
1869,1,True,Medium,"The email lacks any obvious malicious links, but its brevity and lack of context make it suspicious. The sender's name is not familiar to the recipient, and there is no clear purpose or request in the message."
437,1,False,Low,"This email appears to be a legitimate academic publication inquiry or notification. The sender's name, title, and affiliation are provided, which is common practice in the academic community. The language used is formal and professional, and the content seems focused on sharing information about books published by Cambridge University Press. There are no obvious attempts to manipulate or deceive the recipient, and the email does not contain any suspicious links or attachments. The risk level appears to be Low."
1875,1,False,Low,"Legitimate internal email communication. It contains a clear subject line, proper formatting, and no suspicious links or requests for sensitive information. The tone is professional, and the language used is consistent with standard corporate communication."
10858,0,True,High,"The email contains suspicious language, such as 'guarantees 36 hours lasting', 'safe to take', and 'no side effects at all', which are typical of unlicensed pharmaceutical advertising. Additionally, the URL provided is unofficial and lacks a valid SSL certificate. The email also attempts to create a sense of urgency by stating that it's 'only $3.99 per tab'. These indicators suggest that this email is likely phishing."
269,1,False,Low,"The email appears to be a legitimate system error report. The message is written in a technical style, using file paths and command names (e.g., spamtrap.sh, spamassassin). There are no obvious red flags such as urgent requests, suspicious links, or generic greetings. The tone is formal and professional, suggesting an internal communication rather than a phishing attempt."
3016,1,False,Low,"The email appears to be a legitimate internal communication between colleagues. It contains specific employee names, job titles, and references to company projects ('Brawner', 'Davies', 'Whitt'). The language is professional and lacks urgency or attempts to manipulate the recipient into taking action. There are no suspicious links or attachments."
1247,0,True,High,"This email contains a lack of coherent sentences, multiple typos ('cla ;', 'lis so : ftäb ', etc.), and an unusual request to 'learn more here nothkss.' The URL provided is also suspicious. The overall structure of the email does not resemble standard corporate communication or automated newsletters. Subtle manipulation is attempted by using a vague call-to-action without specifying what 'incredible daily results' are, and an unnecessary period at the end."
9962,0,False,Medium,"This email appears to be a legitimate marketing offer for search engine optimization services. It contains no obvious malicious links, uses a standard business greeting and signature block, and provides verifiable contact information. However, the offer seems too good to be true (submitting a site to over 400 search engines for $29.95 per month) which may raise some suspicion."
10623,1,True,High,"The email contains a generic subject line, lacks personalization, and demands immediate action ('please grant access') without providing any context. The URL provided is also suspiciously short and does not match any standard corporate protocol."
2437,0,True,High,"Email contains a generic greeting, uses a repetitive structure with stock market jargon, and includes multiple typos ('specuiative', 'gioba', 'revoiutionizing'). The email also attempts to harvest attention by using sensational language ('will go crazy next week') and creates an artificial sense of urgency. Additionally, the email contains suspicious links and tries to manipulate the recipient into taking action without proper consideration."
2041,0,True,High,"The email lacks any obvious malicious links or attachments, but its tone is unusually promotional and encouraging. The sender's signature block is missing, and the subject line is non-existent. Although the language used appears nonsensical and unrelated to any legitimate online pharmacy, it may be a sophisticated attempt to manipulate recipients into clicking on a link. Due to these red flags, this email is classified as phishing."
1330,1,True,Low,"The email is empty, which makes it extremely unlikely to be a legitimate or malicious message. This lack of content suggests that the sender may not have intended for this to be sent or received as an actual email."
584,1,False,Low,"Legitimate corporate communication. Although it contains some formal language, it lacks any suspicious elements like unexpected links or urgent requests. The email is well-structured and includes clear descriptions of ongoing discussions and agreements between parties involved. The sender's signature block is verifiable, and the email does not attempt to harvest credentials or manipulate the recipient."
