Email,Label,is_phishing_verdict,risk_level,explanation
1869,1,True,High,"The email does not address the recipient by their actual name, but instead uses a generic term 'stuart'. This is an unusual and potentially suspicious tactic. Additionally, the sender's email address is very generic and does not include any identifying information about the sender's company, department, or role."
437,1,False,Low,"The email appears to be a legitimate academic promotion email. The content is technical and appears to be related to the topics of focus, linguistics, and natural language processing. The email does not contain any obvious red flags, such as misspellings, poor grammar, or urgent calls to action. The URLs provided appear to be legitimate and point to the Cambridge University Press website. Overall, the email seems to be a genuine academic promotion, and the risk of phishing is low."
1875,1,False,Low,"No suspicious links or attachments, and the email appears to be from a legitimate Enron employee. However, the email is quite long and contains a lot of unnecessary information, which could be a red flag. The use of the phrase 'can you review the document prior to coming back to Houston' is a common phishing tactic, but in this case, it seems to be a legitimate request. Overall, this email is likely genuine."
10858,0,True,High,"The email contains several suspicious indicators, including: - The sender's name is not provided, which is unusual for a legitimate company. - The subject line is vague and does not provide any information about the content of the email. - The email contains multiple typos and grammatical errors, which is uncommon for a legitimate company. - The email contains a URL that is not a standard format for a legitimate company. - The email contains a call-to-action to 'cllick' (typo) instead of 'click', which is an unusual way to ask the user to perform an action. - The email contains a request to 'ronn o - ut of mai - lling lisst', which is an unusual way to ask the user to provide information."
269,1,False,Low,"The email contains a command-line error message that appears to be a legitimate system error, not a phishing attempt. The error message mentions a specific file path, which is unusual for phishing emails. Additionally, the email does not contain any suspicious links or attachments. The language used is also straightforward and does not attempt to deceive the recipient."
3016,1,True,High,"The email contains multiple red flags, including: - It's an old email (2002) which is unusual for a business transaction. - The sender's email address is not properly formatted (lavorato, john instead of john.lavorato@domain.com). - The email contains a long list of recipients, including some with unusual names (e.g., Hunter S. Shively). - The email contains a mix of numerical values and names, which could be used to trick the recipient into clicking on a link or providing sensitive information. - There is no clear subject or purpose of the email."
1247,0,True,High,"The email contains a mix of nonsensical characters and phrases, making it highly suspicious. Additionally, the email tries to create a sense of urgency with the phrase '5 mins before intercourse', which is a common phishing tactic. The inclusion of a link to 'learn more here nothkss' with no clear indication of what 'nothkss' refers to, further increases the risk level."
9962,0,True,High,"Several phishing indicators are present in the email. The sender's name and contact information are not verified, and the email is trying to create a sense of urgency by offering a 'limited time' opportunity. Additionally, the email is trying to sell a service that is unlikely to be of interest to the recipient, which is a common tactic used by phishing emails."
10623,1,True,High,"The email contains several red flags. Firstly, the subject line is trying to create a sense of urgency by stating it's a 'security resource line item request'. Secondly, the email is trying to trick the recipient into clicking on a link by using a generic 'click your left mouse button' instruction, which is a common tactic used by phishers. Thirdly, the link is not explicitly stated, which makes it difficult to verify the authenticity of the request. Lastly, the use of nonsensical characters in the subject line, such as 'kkker - 4 r 3 klb', is also suspicious."
2437,0,True,High,"The email contains multiple red flags, including: 1) No personalization, it's a mass email with a generic subject line. 2) The email is promoting an unknown company, VCSC, and its stock. 3) The email contains vague language and superlatives (e.g., 'revolutionizing the telecommunications industry'). 4) The email is trying to create a sense of urgency with 'breaking news' and 'watch out.' 5) The email contains forward-looking statements and disclaimers, which are typical of financial scams. 6) The email is trying to sell the stock and is not transparent about its own financial interests in the company. 7) The email contains a suspicious link to a possibly compromised website."
2041,0,True,High,"The email contains several red flags, including a suspicious subject line, a vague and potentially misleading statement about the sender being the only online pharmacy offering a satisfaction guarantee, and a series of quotes that seem unrelated to the subject matter. Additionally, the email's tone and language are informal and may be trying to create a false sense of urgency or legitimacy."
1330,1,False,Low,"The email subject is a single space character 'empty' which is not a typical subject line and may be a test or a placeholder. However, it is not a clear phishing indicator."
584,1,False,Low,"The email appears to be a legitimate business communication, discussing ongoing project tasks and coordination. The language and tone are professional, and the email includes specific details and examples of past discussions and agreements. While it is not uncommon for business emails to include some level of jargon and technical terms, the email does not contain any suspicious or out-of-the-ordinary language that would suggest it is a phishing attempt."
3062,0,True,High,"The email contains several red flags, including: 1) It's an unsolicited message promoting a stock or investment opportunity. 2) The language used is overly promotional and sensational, attempting to create a sense of urgency. 3) The email contains a lot of jargon and technical terms, which may be used to confuse or overwhelm the recipient. 4) The email does not provide any concrete or reliable information about the company or its financials. 5) The email encourages the recipient to follow the company on social media, which could be a way for the phishers to gather information about the recipient."
1174,1,True,High,The email contains a suspicious link (https://listman.redhat.com/mailman/listinfo/exmh-workers) with no context or warning. This is a common phishing tactic to trick users into visiting a malicious site.
9486,0,True,High,"The email contains several red flags, including the use of generic greetings (""dear valued hsbc bank plc customer!""), the demand to visit a website by following a link, and the vague mention of a ""period review of our member accounts."" Additionally, the email does not address the recipient by name, which is unusual for a legitimate bank communication. Finally, the email contains a sense of urgency and a sense of obligation to comply with the request, which is also suspicious."
11559,0,True,High,"This email contains several red flags, including exaggerated claims of guaranteed results, an overly promotional tone, and a lack of transparency about the product and its effects. Additionally, the email tries to create a false sense of urgency by mentioning a 'double opt-in' subscription and providing a link to remove oneself from related email lists."
