Email,Label,is_phishing_verdict,risk_level,explanation
15923,1,False,Low,"The content appears to be a system log or error message from a scheduling software (likely Westdesk), not a phishing attempt. It contains technical details like file paths, dates, and error messages about schedule parsing, which are typical of internal system notifications rather than social engineering emails."
17749,1,False,Low,"The email appears to be a legitimate forwarded message from Enron with consistent formatting, valid sender details, and a clear business context regarding corporate structure updates."
11199,1,True,High,"The email contains multiple critical indicators of phishing: a mismatch between the stated date (March 1988) and the submission deadline (September 1997), which is chronologically impossible; the use of a generic 'call for papers' template with no specific recipient personalization; and the presence of a suspicious email address (jan.tenthije@phil.tu-chemnitz.de) that appears to be a legitimate academic domain but is often spoofed in phishing attempts. Additionally, the email lacks proper formatting, contains typos (e.g., 'adressed', 'reflexion', 'verstdndnissicherung'), and includes a generic URL that may not be secure."
7660,0,True,High,"The email exhibits multiple classic phishing indicators: urgent and fear-mongering subject line ('no more red light tickets'), unrealistic promises ('completely invisible to all forms of photo enforcement'), and a suspicious URL with a long, nonsensical string of random words ('babysat dab discretion eavesdropped...') that appears to be a 'typosquatting' or 'keyword stuffing' attempt to evade detection. The lack of a legitimate sender address and the use of a generic 'check here' call to action further confirm this is a phishing attempt."
12737,1,False,Low,"The email is a legitimate technical discussion within the Razor-users mailing list regarding SpamAssassin configuration. It contains standard mailing list formatting, includes a real sender (Justin Shore from Pittsburg State University), and lacks typical phishing indicators such as urgent requests, suspicious links, or requests for credentials."
190,0,True,High,"The email exhibits multiple classic indicators of a phishing scam: it uses a fabricated high-profile identity (son of Mobutu Sese Seko) to create urgency and authority, requests sensitive personal information (phone/fax numbers), asks for upfront payment or assistance fees (10% of $8M), and promises 'risk-free' deals to lower suspicion. The request for private contact details and the demand for immediate response are designed to bypass security protocols and facilitate fraud."
11308,1,False,Low,"The email appears to be a legitimate academic announcement from a linguistics office regarding book reviews. It contains specific details about books, ISBNs, prices, and contact information for a known editor (Andrew Carnie). There are no obvious signs of phishing such as urgent requests, suspicious links, or requests for personal information."
13809,1,False,Low,"The email appears to be a legitimate internal business communication regarding a specific meter deal, with no obvious indicators of phishing such as suspicious sender addresses, urgent language, or requests for sensitive information."
12409,1,False,Low,"The email is a legitimate academic correspondence discussing linguistic research on Hebrew negation, citing specific scholars and papers. It contains no typical phishing indicators such as suspicious links, requests for credentials, or urgent demands."
11526,0,True,High,"The email uses a suspicious subject line with a space before the period, which is a common tactic to bypass spam filters. The content is vague and lacks clear sender information, which is typical of phishing attempts."
576,1,False,Low,"The email content is empty, providing no text, links, or attachments to analyze. Without actual content, no phishing indicators can be detected."
15061,1,True,High,"The email exhibits multiple classic phishing indicators: unsolicited investment offers with specific bond details, use of urgency tactics ('going out to 30 years'), and requests for personal financial information or actions outside normal channels. The sender's name 'Julie' lacks context, and the email contains no sender verification or contact information."
17179,0,True,High,"The email exhibits multiple classic phishing indicators: excessive and unrealistic health claims (e.g., '100% money back guarantee', '300% more weight loss', '76.9% metabolic rate increase'), use of a suspicious URL with a deceptive domain ('baby33.com' instead of a legitimate health brand), lack of sender identity, and urgent/scare tactics common in spam/phishing campaigns."
2638,1,False,Low,"The email content is a casual, informal message about making dinner plans. It lacks typical phishing indicators such as urgent language, suspicious links, requests for sensitive information, or grammatical errors common in phishing attempts."
7934,0,True,High,"The email contains multiple red flags: nonsensical and misspelled words (e.g., 'genierc', 'super viarga', 'cilais'), excessive urgency ('takes affect right away'), suspicious links ('click here'), and a list of unrelated random words that appear to be obfuscation or a 'word salad' tactic often used to bypass filters or distract recipients. The content lacks clear context and professional formatting."
4126,1,False,Low,"The email content is empty, providing no text, links, or attachments to analyze. Without actual content, no phishing indicators can be detected."
2372,0,True,High,"The email exhibits multiple classic phishing indicators: unsolicited bulk email content, suspicious sender address (ftremovals32663_372@yahoo.com), lack of sender identity verification, requests for sensitive information (credit card details, personal data), and use of urgency tactics (""This month only""). The email also contains poor formatting, inconsistent capitalization, and a generic greeting without personalization."
12652,1,True,High,"The email contains multiple red flags: a suspicious email address (mcm@gizmo.usc.edu instead of a standard USC domain), an unusually low salary for a postdoctoral position ($28,000), and a lack of formal job posting details such as a job ID or official university contact information."
