Email,Label,is_phishing_verdict,risk_level,explanation
1869,1,False,Low,"The email appears to be a legitimate request or error notification regarding a term paper submission. While there is no obvious phishing indicators such as suspicious links, malicious attachments, or urgent threats, the sender name 'Vince Kaminski' and mention of 'term paper' suggest academic context. However, it would be wise to verify with the sender via another channel for security."
437,1,False,Low,The content is a legitimate promotional description of two academic books published by Cambridge University Press with valid ISBNs and clear publisher information.
1875,1,False,Low,"The email is an internal reply with consistent sender and recipient details for a known engagement (Henwood). It follows standard business communication patterns regarding contract drafts and includes proper context, attachments, and follow-up questions specific to the project."
10858,0,True,High,"This email exhibits multiple classic phishing indicators: suspicious spelling/grammar (e.g., 'highly', 'guaraantees', 'haarder e-rectiions'), fabricated health claims, a disguised URL structure designed to look legitimate or avoid filtering, and excessive use of all-caps for emphasis."
269,1,False,Low,"This content appears to be a terminal or command-line error message from a legitimate system (likely a Linux server), not an email designed to deceive users. It lacks typical phishing indicators such as suspicious senders, calls to action, urgency, or personal requests."
3016,1,False,Low,"The email is a standard internal business communication with normal subject-line formatting and lacks typical phishing red flags such as sender impersonation, urgent financial requests, suspicious attachments, or malformed URLs."
1247,0,True,High,"Email uses deceptive tactics including garbled text (e.g., 'ftäb', 'disolvê'), irrelevant or nonsensical content ('clá lis so'), and suspicious URL structure suggesting urgency without clear context."
9962,0,True,High,"Suspicious URL or lack thereof, urgent request (""fast lane""), impersonation of legitimate service, generic ""remove from search engine listing"" tactic common in spam/phishing, suspicious toll-free numbers and contact details without proper domain verification."
10623,1,True,High,"The email uses urgency and vague language to pressure the recipient. It contains suspicious elements like 'click your left mouse button' which is unnatural for normal navigation instructions (standard guidance says 'left-click'), and it lacks clear sender identity verification. Additionally, the subject and body mix multiple acronyms and terms without context or proper formatting."
2437,0,True,High,"The email contains multiple indicators of phishing: obvious typos and grammatical errors (e.g., 'gioba | reach', 'deveiopment', 'reieutionizing'), excessive use of forward-looking statements and price projections to induce urgency, a fake or suspicious unsubscribe link designed to bypass filters ('aol 978987 sdfuoisduf . com / optl / rm . html -'), and a large monetary fee ($49 ooo) for a free-seeming newsletter which is a common tactic in investment scams. The content lacks professional formatting, has inconsistent capitalization, and contains obvious misspellings such as 'soiutions' and 'technoiogy', which are typical of spam/phishing attempts."
2041,0,False,Low,"This appears to be a satirical or humorous email using unexpected juxtapositions (Viagra offer followed by philosophical text about snails and philosophy) rather than a clear phishing attempt. However, unsolicited direct offers of prescription medication can raise mild concerns due to potential privacy implications, hence 'Low' risk."
1330,1,False,Low,"The email content is empty; there are no phishing indicators present to analyze. An empty message cannot contain malicious intent, deceptive subject lines, or credential theft attempts."
584,1,False,Low,"The email contains no phishing indicators such as requests for credentials, suspicious URLs, urgency to click links, or impersonation. The content is consistent with legitimate business communication regarding project management and transition plans between entities."
3062,0,True,High,"The email displays classic phishing indicators: typos and OCR-like artifacts (e.g., 'pinnaclegli . com', 'technoiogy', 'foliowing'), suspicious formatting that looks like a generated scam text rather than a legitimate press release, lack of official branding or secure domain, and aggressive investment claims without clear source verification."
1174,1,False,Low,"This text is a bug report/feature request from the Exmh-workers mailing list about email client behavior (reading message indicators). It contains no malicious links, social engineering tactics, or personal requests. The sender details match a known legitimate Red Hat mailing list."
