Email,Label,is_phishing_verdict,risk_level,explanation
1869,1,False,Low,"Appears to be a simple, brief email indicating a technical issue with an attachment. Lacks typical phishing indicators like urgency, requests for information, or suspicious links."
437,1,False,Low,"The email appears to be a product description or catalog excerpt from Cambridge University Press, promoting books related to linguistics and natural language processing. It includes order information linked to the official Cambridge University Press website (cup.org), which is a legitimate domain. The content is technical and lacks typical phishing indicators such as urgent requests or suspicious links."
1875,1,False,Low,"The email appears to be a legitimate internal communication regarding a contract, referencing Enron policy and multiple employees. While the Enron connection might raise some flags due to the company's history, the content suggests a standard business process and lacks typical phishing indicators like urgent requests for sensitive information or suspicious links."
10858,0,True,High,"Promotes pharmaceuticals without proper authorization, uses deceptive comparisons to well-known brands, employs questionable superlatives and guarantees, and links to a suspicious, potentially malicious domain ('gallanted.com')."
269,1,False,Low,"Appears to be a system error message, likely related to a spam filtering script. Lacks elements of a phishing attempt and doesn't solicit information or link to external sites."
3016,1,False,Low,"Internal email discussing financial figures and employment offers, likely pertaining to a business transaction. The content appears legitimate and lacks any phishing indicators like suspicious links or requests for sensitive information."
1247,0,True,High,"The email contains unusual characters and deliberate misspellings ('lis', 'ftäb', 'disolvê', 'hälf', 'toungê', 'intércourse', 'nothkss') intended to evade spam filters while obfuscating the true purpose, strongly suggesting a malicious or fraudulent intent."
9962,0,True,Medium,"Unsolicited commercial email offering search engine submission services. The aggressive sales pitch, vague claims ('fast lane'), and inclusion of a separate number to be removed from the list are common phishing/spam tactics."
10623,1,True,High,"The email uses vague and unusual terminology ('security resource line item request'), lacks a clear sender identity, and prompts immediate action with a suspicious link, all indicative of a phishing attempt."
2437,0,True,High,"The email exhibits numerous characteristics of a pump-and-dump scheme. It contains overly optimistic and speculative price projections, uses sensational language ('go crazy', 'revolutionizing'), lacks verifiable sources beyond a generic Yahoo Finance link, includes a disclaimer attempting to deflect liability, and contains a suspicious unsubscribe link. The disclosure of share holdings and conflict of interest is a deceptive attempt to appear transparent while facilitating a stock manipulation scheme."
2041,0,True,Medium,"Unsolicited email advertising pharmaceuticals, using sensational language ('quick, cheap, convenient'), and incorporating unrelated philosophical quotes to appear legitimate – common phishing tactics."
1330,1,False,Low,"The email content is empty, making it impossible to assess for phishing indicators. An empty email isn't inherently malicious, but could be part of a larger attack."
584,1,False,Low,"The email appears to be a legitimate internal communication regarding a business transition, containing technical details, references to specific individuals and departments (Enron, AEP, Louise, Bob, Steve, Anne, Mary), and a complex workflow. While lengthy, the content aligns with a business context and lacks indicators of urgency, unusual requests, or grammatical errors typically found in phishing attempts. The 'From' and 'To' headers appear consistent with internal email formatting, and the distribution list is extensive and logical within a business scenario."
3062,0,True,High,"The email promotes a stock (PGPU) with unrealistically high target prices and lacks credible sourcing. It exhibits unusual formatting, grammatical errors, and a disclaimer attempting to mask potential illegality, typical of pump-and-dump schemes and unsolicited investment promotions."
1174,1,False,Low,This appears to be a technical discussion on a mailing list (Exmh-workers) regarding a software bug. It contains a verifiable mailing list address and a standard list information link. Lacks any malicious indicators.
9486,0,True,High,"Uses urgent language ('continuing commitment', 'reduce the instance of fraud'), contains grammatical errors ('instance of fraud'), and directs users to an external link likely impersonating HSBC, a common phishing tactic."
11559,0,True,High,"The email promotes an unrealistic product (breast enhancement) with exaggerated claims and promises ('guaranteed to increase', '1 to 3 sizes'), uses sensationalist language, and includes a suspicious link. The 'double opt-in' claim is likely fabricated."
5567,0,True,High,"Contains explicit content and links to a suspicious domain, indicative of a malicious attempt to lure users with inappropriate material and potentially compromise their devices or steal information."
14831,1,False,Low,"Appears to be a forwarded email chain discussion, containing a verifiable mailing list link (fork@xent.com) and lacking any suspicious requests or urgent language."
14358,1,False,Low,"The email appears to be a technical snippet extracted from a published book, contains a URL to a click tracking service (newsisfree.com) which is suspicious on its own, but the content itself isn't malicious and lacks typical phishing indicators like urgent requests or credential harvesting."
14795,0,True,High,"Aggressive marketing language, unrealistic pricing for a software bundle, usage of scare tactics ('Do You Care About Your Computer?'), questionable brand association (claiming to be from the creators of '#1' antivirus software), and inclusion of a fake 'opt-in list' disclaimer are all strong indicators of phishing."
1973,1,False,Low,"The email appears to be an announcement for a historical academic symposium. While the formatting is unusual and repetitive, the content is consistent with an academic conference invitation. Contact information is provided, including a phone number, fax, and email address associated with a university (UMIST), which can be verified. There are no indicators of malicious intent."
11491,1,False,Low,"The email appears to be a personal message with informal language and an explanation for limited communication. While it includes a Yahoo! advertisement, this is common and doesn't inherently indicate malicious intent. The use of a Yahoo email address, although not ideal, isn't automatically a red flag."
1234,0,True,High,"Email uses a highly sentimental and generic tone, contains unusual URL with a suspicious domain name ('yqryjv 5 iqxc . hellomylove . net'), and employs manipulative language to elicit an emotional response, all indicative of a romance scam."
5345,1,False,Low,"Appears to be a legitimate internal communication requesting follow-up on a candidate; lacks typical phishing elements like unusual greetings, urgent requests for personal information, or suspicious links."
4164,1,False,Low,"Legitimate announcement regarding a conference, with a link to a university linguistics department website. The link appears valid and the content is consistent with academic announcements."
17560,0,True,Medium,"Uses sensational language ('INTEREST RATES HAVE JUST BEEN CUT!!!'), lacks verifiable sender information, and directs users to an external domain ('all-savings.com') that may not be legitimate. While an unsubscribe link is present, the urgency and broad claims are concerning."
1223,0,True,High,"The email exhibits multiple phishing indicators: it's a bulk promotional email with a product catalog, includes an unusual sender address (likely spoofed), promotes unrealistic deals, contains outdated date references (August 2004), and attempts to circumvent spam filters with lengthy disclaimers and unusual phrasing. The linked domain 'computron-me.com' is suspicious and likely not legitimate."
14666,1,False,Low,"Appears to be a legitimate, albeit dated, discussion thread within the Irish Linux Users' Group mailing list. Contains a verifiable signature block and standard mailing list administrative links. The unusual formatting and archaic references do not constitute malicious indicators."
1686,1,False,Low,This appears to be an advertisement or catalog excerpt for an academic publication. It includes publisher contact information and a legitimate-looking website address (degruyter.de). The email lacks urgency or requests for personal information.
5036,1,True,High,"The email contains nonsensical repeated phrases ('start date : 12 / 21 / 01 ; hourahead hour : 7') and what appears to be a file path, which is characteristic of a potential data exfiltration attempt or a malicious payload disguised as a system log – likely a phishing tactic to appear legitimate while concealing harmful intent."
13839,1,False,Low,"The email appears to be an internal request chain within a company (likely Enron, given the references to 'ena' and Equistar) regarding a settlement ticket. It's marked as forwarded multiple times, includes specific names and email addresses within the organization, and discusses internal processes. The urgency expressed is consistent with legitimate business operations, not a phishing tactic."
18588,1,False,Low,"While the email discusses a potential corporate takeover, it appears to be reporting news from a legitimate newspaper (The London Telegraph) and cites an analyst from UBS Warburg. There's no immediate request for personal information or unusual urgency, suggesting it's likely a news report rather than a phishing attempt."
17110,1,False,Medium,"The email appears to be an internal report, based on the content and naming conventions. While it lacks standard disclaimers, the detailed technical content and specific contact information suggest it's likely a legitimate document. However, the unusual formatting and dated references ('western issues update 9 - 07 - 2001') raise a slight suspicion."
15062,0,True,High,"The email promotes an unsolicited bulk email service with unrealistically low pricing and promises of massive reach. It utilizes aggressive marketing language ('ORDER NOW!!!', 'Free'), a limited-time offer, and a suspicious unsubscribe link (mailto:trudymail2002@themail.com), all classic phishing/spam indicators. The unusual phone number also raises concern."
9031,0,True,High,"This email exhibits numerous red flags indicative of a pump-and-dump scheme. It promotes a low-priced, obscure stock (EYTL) with overly enthusiastic language, fabricated endorsements from former Motorola and Harris employees, and unsubstantiated claims about groundbreaking technology. The disclaimer attempts to provide legal cover but is typical of such scams. The disclosure of paid compensation and the mention of potential stock sales by the paying party highlights a clear conflict of interest and manipulative intent. The provided unsubscribe link is suspicious."
10149,1,False,Low,"The email appears to be a technical report regarding gas deliveries and pricing, containing industry-specific terminology. While forwarded, the content itself doesn't exhibit typical phishing characteristics like urgent requests or suspicious links."
15763,1,False,Low,"This appears to be an archived newsletter from Lockergnome, a legitimate online publication. While it contains embedded HTML and links, the content itself is a technical newsletter discussing web technologies. The presence of an unsubscribe link and a recognizable sender domain ('@lockergnome.com') further suggest legitimacy. The email's age also indicates it's likely a historical communication rather than an active phishing attempt."
17296,0,True,High,The email contains a link to a suspicious domain (okmpoi.com) likely associated with a scam offering unrealistic services. The random assortment of quotes and unrelated phrases is characteristic of phishing attempts designed to distract and redirect users.
11369,0,True,High,"The email exhibits numerous red flags characteristic of investment scams. These include unrealistic promises of soaring returns, pressure to invest quickly, unusual capitalization and typographical errors throughout the text, a vague and non-credible sender ('Oil and Gas Advisory'), a disclaimer attempting to reduce liability, and a disclosure of paid promotion without transparency about the third party. The language is hyperbolic and designed to induce fear of missing out (FOMO)."
300,1,False,Low,"The email appears to be a legitimate newsletter or update from a conference ('Monte Carlo Rendez-vous'). It references a known company (Guy Carpenter) and provides links to articles on a related website (reactionsnet.com). While the URLs might be long, they don't immediately raise red flags. The inclusion of a textbook advertisement is also typical for industry newsletters."
15421,1,True,High,"The email contains a shortened, obfuscated URL from a suspicious domain (newsisfree.com), potentially concealing a malicious link. The subject matter (accusation of involvement in IRA activities) is sensational and likely intended to lure recipients to click the link."
6789,1,False,Low,"Appears to be a legitimate, technical discussion thread on a public mailing list. Contains a standard signature block with contact information and a verifiable mailing list subscription link. The content relates to software compatibility and usage, without any suspicious requests or urgent language."
4845,1,False,Low,"The email appears to be a legitimate technical discussion on a public mailing list (Spamassassin-talk) and is signed with a PGP signature. It includes a verifiable signature block with contact details and links to a key server, characteristic of authentic communication. The content is a technical question and not a deceptive request."
6737,1,False,Low,"Legitimate email thread on a public mailing list, containing a standard signature block and a verifiable link to the mailing list administration page. The content is a simple inquiry and response."
6251,1,False,Low,"The email appears to be a legitimate request for a preprint related to a technical model. It includes detailed information about the model and author, verifiable contact information for Vincent Kaminski at Enron (though Enron's past history warrants caution), and a clear purpose. The level of detail and technical nature suggest authenticity."
8417,1,False,Low,"Appears to be a legitimate advertisement for academic books, likely sent to a mailing list or distribution list related to linguistics or language acquisition. Contains book details, ISBN, and pricing, which is typical for such announcements. No suspicious links or requests for personal information are present."
