Email,Label,is_phishing_verdict,risk_level,explanation
11535,1,False,Low,"The email contains no obvious phishing indicators such as suspicious links, attachments, or requests for sensitive information. The email is well-structured and provides a clear description of an event (workshop), which makes it unlikely to be a phishing attempt."
7618,0,True,High,"The email contains several red flags, including an urgent tone, an introductory offer, and a request to fax an order form. Additionally, the email is overly promotional and lacks a personal touch, which is unusual for a legitimate marketing email. Finally, the email includes a large number of links and a request to enter personal information, which is a common tactic used by phishing emails."
371,0,True,High,"Multiple red flags detected: 1) The email is an update invoice, which is an unusual subject line for an invoice. 2) The email is trying to sell software programs, which is unrelated to the original purpose of the invoice. 3) The URL 'http://chinatown.tabloidez.com/' is suspicious as it seems to be a made-up domain. 4) The email includes a number of unrelated links to news articles, which is an unusual and potentially malicious tactic. 5) The email's tone and formatting are somewhat unprofessional."
2291,0,True,High,"The email has several red flags, including the unusual copyright notice, the claim that the email address has been 'verified' (which is not a typical practice), the use of a generic greeting ('your e - mail address'), and the suspicious 'remove me' link. Additionally, the tone and language used in the email seem overly formal and professional, which is uncommon for legitimate emails."
18005,0,True,High,"The email contains several red flags, including a generic greeting (""Dear Sir or Madam""), a lack of personalization, and an overemphasis on pricing ($20 an hour) and services (""cutting-edge solutions"" and a long list of technologies). Additionally, the email includes a suspicious link (""CLICK HERE!!!"") and a call to action to provide a phone number. The email's tone is overly promotional and tries to persuade the reader to take action quickly. Overall, the email's characteristics suggest a high risk of phishing."
15062,0,True,High,"The email contains several red flags, including an over-the-top claim of delivering millions of emails per day, a promise of 'free' emails for a limited-time offer, and an urgent call to action to 'ORDER NOW!!!'. Additionally, the email does not provide any specific details about the company, its location, or its services, which is unusual for a legitimate business. Finally, the email includes a 'mailto' link at the end, which could be used to harvest email addresses."
10534,1,False,Low,"This email appears to be a genuine conversation between individuals about a topic, with no obvious red flags or suspicious language. The email contains a discussion about genetic engineering and livestock, which seems to be a legitimate topic of interest. The email also contains a link to a mailing list, but this is a common practice in online communities and does not appear to be suspicious."
310,0,True,High,"The email contains a suspicious subject line and a 'click here' style URL, which are common indicators of phishing attempts."
2041,0,True,High,"The email contains a suspicious subject line and multiple red flags, including: 1) Unusual and unrelated text, 2) Use of a common phrase ('I think we agree...') that is often used in phishing emails, 3) Lack of a clear subject line, and 4) The use of 'we' instead of 'our company name', which is unusual for a legitimate business."
5913,1,True,Medium,"The email contains a high amount of randomness in the recipients, CC's and BCC's, and the subject line. This could be a red flag as it's unusual for an email to contain so many recipients and CC's. Additionally, the email seems to be discussing internal company business, which could be a sign of a phishing attempt to trick the recipient into thinking it's a legitimate company email."
