Email,Label,is_phishing_verdict,risk_level,explanation
1869,1,False,Low,"Legitimate technical issue reported by the sender. The email lacks any suspicious or urgent language, and the attachment issue is not related to sensitive information."
437,1,False,Low,"This email appears to be a legitimate academic publication announcement. It contains a detailed description of two books, their contents, and pricing information. The URLs provided are for the book publisher's website, which is a legitimate domain. The email does not contain any urgent or threatening language, nor does it request sensitive information."
1875,1,False,Low,"Legitimate business communication between Enron employees, using standard formatting and avoiding suspicious language or requests for sensitive information. The email includes a clear subject line, proper signatures, and no attempts to deceive or manipulate the recipient."
10858,0,True,High,"Lures users with false promises of sexual performance enhancement, uses poor grammar and spelling, and directs them to a suspicious domain that may be hosting malware or phishing pages."
269,1,False,Low,"The email appears to be a genuine error message from a Unix-based system, lacking any suspicious links, attachments, or urgent language. The syntax and content suggest a system administrator or developer, further reducing the likelihood of it being a phishing attempt."
3016,1,False,Low,"Legitimate email exchange between colleagues. It contains a clear subject line, specific recipient addresses, and a mix of personal and business topics, which is typical of internal communication."
1247,0,True,High,"Email contains multiple indicators of phishing, including misspelled words and unusual character combinations, a generic greeting, and a suspicious URL ('nothkss'). The email also has a cryptic and unclear purpose, which adds to the overall suspicious nature."
9962,0,True,Medium,"The email uses a generic greeting and lacks any personalized information. The company name is not provided, and the only contact details are a phone number. The offer of submitting a website to search engines and directories for a fee is potentially legitimate, but the lack of transparency and the presence of a 'To be removed' phone number in the email body raise suspicions."
10623,1,True,High,"Suspicious email containing a generic request to grant access, lacks clear context or purpose, and directs the user to a potentially malicious link ('notes document link') without providing any information about the expected contents or benefits."
2437,0,True,High,"The email contains a high level of suspicious language and formatting, including the use of bold and underlined text, as well as the inclusion of multiple links and URLs. Additionally, the email appears to be attempting to entice the recipient to invest in a stock, which is a common tactic used by phishers. The email also contains a disclaimer stating that the sender may own or sell shares in the company, which is a common tactic used by scammers to appear legitimate."
2041,0,True,High,"The email contains a suspicious subject line and URL, and uses a generic greeting. It also offers a '100% satisfaction money back guarantee' which is a common phishing tactic."
1330,1,False,Low,"The email is empty, which is not a typical characteristic of phishing emails. The lack of content makes it difficult to identify any suspicious indicators."
584,1,False,Low,"Legitimate business communication. The email contains a clear subject line, a formal greeting, and a detailed description of a business task. There are no obvious red flags such as spelling errors, urgent requests, or suspicious links. The email is well-structured and professional, indicating a legitimate business communication."
3062,0,False,Low,"The email appears to be a legitimate investment newsletter with a focus on a specific stock acquisition. It contains standard boilerplate language about investment advice and risk warnings. The tone is professional, and there are no obvious red flags such as urgent requests or suspicious URLs. The email is likely part of a subscription service and is not intended to deceive or manipulate the recipient into performing any actions."
1174,1,False,Low,"Legitimate technical discussion about an issue with a software application, Exmh. The email contains a verifiable signature block with standard contact details, lacks any fabricated urgency or requests for sensitive information, and the included URL is a standard, safe mailing list administrative link."
9486,0,True,High,"The email uses a generic greeting and a false sense of urgency to prompt the customer into taking an action. The link provided is not a direct link to the HSBC bank's official website, but rather a redirect to the 'hsbc bank home page', which may not be the actual website. This lack of transparency and the attempt to manipulate the customer's action are significant phishing indicators."
11559,0,True,High,"The email contains an unsolicited, exaggerated offer with a clear intention to sell a product. The use of sensational language ('guaranteed to increase', 'lift and firm'), fake urgency ('60 days or your money back'), and emphasis on personal benefits ('be more self confident', 'be more comfortable in bed') are all indicative of a phishing attempt."
5567,0,True,High,The email contains explicit content and a suspicious URL. The use of excessive punctuation and random words is also a red flag for phishing. The URL itself is likely a scam or malware link.
14831,1,False,Low,"Legitimate email communication between individuals. The tone is conversational, and there is no attempt to deceive or manipulate the recipient. The included URL is for a public mailing list and does not appear to be malicious."
14358,1,False,Low,"Legitimate technical discussion email with no suspicious language, links, or attachments. The tone is informative and non-urgent, and the email contains a verifiable author name and publication reference."
14795,0,True,High,"Classic fake antivirus software offer. The email uses a sensational and misleading subject line, promises an 'unbeatable software suite' at a heavily discounted price, and includes multiple programs that are likely to be useless or even malicious. The email also includes a fake opt-in list and a suspicious 'International Email Abuse Council' approval. The offer is likely designed to trick the recipient into purchasing unnecessary software or divulging sensitive information."
1973,1,False,Low,"Legitimate academic symposium announcement. It contains a clear description of the event, a list of speakers, and contact information. The language is formal and professional, and the tone is informative rather than promotional."
11491,1,False,Low,"Legitimate personal email with no signs of phishing. The sender's lack of phone and computer access at the moment is a plausible excuse, and the included URL is a standard, safe link to a phone card service."
1234,0,True,High,"Email contains highly suspicious language, such as 'my dear', 'lovely and lonely lady', and 'beautiful hero'. The email's purpose is clearly romantic in nature and includes a generic 'save me from this loneliness' request. The URL provided is highly suspicious and likely to be malicious."
5345,1,False,Low,"Legitimate business communication. The email is straightforward and lacks any suspicious indicators, such as urgency or requests for sensitive information. The contact information is provided in a reasonable manner, and the tone is professional."
4164,1,False,Low,"Legitimate conference announcement with a verifiable URL and minimal suspicious indicators. The tone is professional, and the information is publicly available. The URL is a standard, safe domain hosted by the University of Reading."
17560,0,True,High,"The email uses a sensational and misleading subject line to grab attention, contains a prominent call-to-action with a suspicious URL, and lacks any legitimate or verifiable contact information. The tone is overly promotional and encouraging, which is common in phishing scams."
1223,0,True,High,"This email is a classic example of a phishing scam. It contains a generic subject line, uses a mixture of uppercase and lowercase letters, and has a long list of products with prices. The URL provided is not a trusted or official source, and the email is trying to sell products at suspiciously low prices. The email also contains a request to reply with the request '* for export only *' which is an attempt to gather personal information. Additionally, the email is trying to create a sense of urgency by stating that the prices and availability are subject to change without notice."
14666,1,False,Low,"Legitimate technical discussion sent to a public mailing list. It contains a verifiable signature block with standard contact details, lacks any fabricated urgency or requests for sensitive information, and the included URL is a standard, safe mailing list administrative link."
1686,1,False,Low,"Legitimate academic publication announcement. The email contains a detailed description of a book, including its title, authors, and publication information. The included URL is for the publisher's website and appears to be a legitimate link."
5036,1,False,Low,"The email contains technical and scheduling-related information, lacks any suspicious or urgent language, and does not request sensitive information or direct the recipient to a suspicious URL. The formatting and structure of the email appear to be standard and legitimate."
13839,1,False,Low,"The email appears to be a legitimate business communication, with a clear subject and purpose, and includes verifiable sender information. The language and tone are professional, and there are no obvious phishing indicators such as urgent requests for sensitive information or suspicious links. The email's format and structure are also consistent with a typical business communication."
18588,1,False,Low,"Legitimate business news article sharing a quote from an analyst, lacking any suspicious language, requests, or suspicious URLs."
17110,1,False,Low,"This email appears to be a legitimate news report or update from a government agency, Western Issues. It contains a verifiable signature block with standard contact details and lacks any fabricated urgency or requests for sensitive information. The tone and language used are professional and informative, indicating a genuine communication."
15062,0,True,High,"The email contains a generic offer with unrealistic promises of 'millions' of leads and business, uses a high-pressure sales tactic to create a sense of urgency, and includes a 'limited-time offer' to increase the perceived value. Additionally, the email includes a 'free' offer of 200,000 emails sent if an order is placed within 48 hours, which is a common phishing tactic. The email also includes a call to action to 'respond now' and does not provide a clear description of the service being offered, further increasing the risk level."
9031,0,True,High,"The email contains multiple red flags, including a lack of personalized greetings, an overly promotional tone, and a plethora of grammatical errors. The email also contains forward-looking statements that are not supported by any verifiable data, and the publisher of the newsletter is not a registered investment advisor. The email's primary purpose appears to be to generate interest in the stock rather than provide factual information, which is a common tactic used by scammers."
10149,1,False,Low,"Legitimate technical or business report. Contains a large amount of technical data, but lacks any suspicious language or requests for sensitive information. The email appears to be a routine industry report, likely intended for internal use or sharing with colleagues."
15763,1,False,Low,"Legitimate newsletter and community platform with various content, links, and advertisements. No suspicious or deceptive language, and all URLs appear to be legitimate and well-known."
17296,0,True,High,"Email contains a suspicious link ('http://www.okmpoi.com/ss/') with no clear context or purpose, which is a common phishing tactic. The text also appears to be a collection of unrelated quotes and phrases, which is unusual for a legitimate email. The tone of the email is also vague and attention-grabbing, which is another red flag."
11369,0,True,High,"Classic pump-and-dump scheme. Uses sensational language to promote an energy company, claiming it has a 'bonanza of oil and gas reserves' and will 'skyrocket' in value. Includes vague claims of 'massive production' and 'unrecognized bonus for investors.' The email is likely a scam, as it is trying to get readers to buy into the company quickly without providing any concrete information or expert analysis."
300,1,False,Low,"Legitimate news update from a professional organization. It contains a verifiable signature block with standard contact details, lacks any fabricated urgency or requests for sensitive information, and the included URLs are standard, safe links to a company's website and a news portal."
15421,1,False,Low,News article summary with no suspicious links or attachments. The URL appears to be a legitimate news website.
6789,1,False,Low,"Legitimate technical discussion on a public mailing list. The email contains a verifiable signature block with standard contact details, lacks any fabricated urgency or requests for sensitive information, and the included URL is a standard, safe mailing list administrative link."
4845,1,False,Low,"Legitimate email from a well-known spam filtering community (Spamassassin-talk mailing list). The email contains a verifiable signature block with standard contact details, lacks any fabricated urgency or requests for sensitive information, and the included URLs are standard, safe links to the list's website and key server."
