Email,Label,is_phishing_verdict,risk_level,explanation
15923,1,True,High,"The email consists entirely of log messages with repetitive, nonsensical entries. This is a common tactic used in phishing emails to overwhelm and confuse the recipient, mimicking legitimate system logs to appear authentic. The lack of a sender, subject, or any identifiable context is a strong indicator of malicious intent."
17749,1,False,Low,"The email appears to be a legitimate business communication regarding an updated organizational structure. It contains standard business email elements like a subject line, sender details, attachments, and a request for review. There are no obvious phishing indicators such as urgent requests, suspicious links, or unusual language."
11199,1,False,Low,"The email is a legitimate call for papers for a linguistics conference. It contains standard conference information, contact details for organizers, and a relevant URL. There are no suspicious elements or requests for personal information."
7660,0,True,High,"This email is overwhelmingly likely to be a phishing attempt. It contains a massive amount of nonsensical text, likely generated by a random character generator, combined with a suspicious URL ('www.dn-ice-boat.com/gone.php'). The offer of 'no more red light tickets' is a classic scam lure, and the URL is almost certainly a malicious domain designed to steal information. The email exhibits multiple characteristics of phishing scams, including a deceptive subject line, a strange and confusing message body, and a questionable link."
12737,1,False,Low,"This email discusses configuration settings for SpamAssassin, a legitimate open-source email filtering program. It contains technical details and a discussion of its features, with a verifiable signature block and a link to a relevant project's website. There are no indications of malicious intent or requests for sensitive information."
190,0,True,High,"This email exhibits multiple classic phishing indicators: a convoluted story involving a deceased former president, a large sum of money, requests for personal information (percentage charged, phone numbers), and promises of a 'risk-free' deal. The language is overly dramatic and designed to create a sense of urgency and trust. The mention of 'sf.net' and a sponsored link further raise suspicion."
11308,1,False,Low,"The email appears to be a legitimate academic inquiry regarding book reviews. It provides detailed information about the books, contact information for the editor, and specific instructions for requesting a review. There are no suspicious elements or requests for personal information, suggesting it is not a phishing attempt."
13809,1,True,High,The email subject line contains a suspicious reference to a 'deal' and a unique identifier ('# 565701'). This is a common tactic used in phishing emails to create a sense of urgency and trick recipients into clicking on malicious links or providing sensitive information. The lack of a sender name and the vague content suggest a fraudulent attempt to obtain information or initiate a scam.
12409,1,False,Low,"The email is a lengthy academic discussion about Hebrew grammar and negation. It contains references to academic papers and individuals, typical of scholarly communication. There are no requests for personal information, suspicious links, or urgent calls to action, indicating it is not a phishing attempt."
11526,0,True,High,"The email contains a shortened URL with suspicious characters and a generic, unsolicited offer. It lacks a legitimate sender, context, and any verifiable information, strongly indicating a phishing attempt to direct the recipient to a malicious website."
576,1,True,High,"The email content is empty. This is a strong indicator of a phishing attempt, as legitimate emails always contain some form of message. The lack of content suggests a malicious actor is attempting to exploit a system or user without any actual content to deliver."
15061,1,False,Low,"The email presents investment recommendations for municipal bonds, including specific details and ratings. While it lacks a formal sender address and a clear call to action beyond discussing the bonds, the content itself is consistent with a legitimate investment advisory communication. The tone is professional and the information provided, though potentially leading to a further discussion, doesn't exhibit typical phishing characteristics like urgent requests for personal information or suspicious links."
17179,0,True,High,"The email uses sensationalized claims about rapid weight loss, offers unrealistic results (up to 19% total body weight), and contains numerous grammatical errors and unusual phrasing. The URL 'www.baby33.com' is highly suspicious and likely a fraudulent domain designed to steal personal information or install malware."
2638,1,True,High,The email contains a vague and potentially malicious invitation to a restaurant named 'Lagrasta's'. This is a common tactic used in phishing attacks to lure victims into clicking on malicious links or providing personal information. The lack of context and the unusual name raise significant suspicion.
7934,0,True,High,"This email is overwhelmingly likely to be a phishing attempt. It contains a massive amount of nonsensical and unrelated words, likely generated by a random word generator. The inclusion of misspelled product names (Vigara, Super Viagra) and a barrage of unrelated terms is a classic tactic used by scammers to overwhelm and confuse recipients, making them more likely to click on a malicious link (which is likely absent but implied)."
4126,1,True,High,"The email content is empty. This is a strong indicator of a phishing attempt, as legitimate emails always contain some form of message. The lack of content suggests a malicious actor is attempting to exploit a system or user without any actual content to deliver."
2372,0,True,High,"The email exhibits multiple red flags indicative of a phishing scam. It uses an overly promotional tone, offers a potentially valuable (and unrealistic) email list, requests sensitive financial information via fax and an order form, and includes a suspicious email address for removal from the database (ftremovals32663_372@yahoo.com). The formatting is also poor with numerous typos and unusual characters, further suggesting a low-quality scam."
12652,1,False,Low,"The email presents a legitimate academic job posting. It includes a clear description of the position, required qualifications, funding details, and contact information for the university. While the email-address 'mcm@gizmo.usc.edu' is unusual, it is a valid university domain and does not inherently indicate a phishing attempt. The offer of a salary and benefits is consistent with academic positions."
11904,0,True,High,"The email exhibits numerous red flags indicative of a phishing attempt. It contains excessive and nonsensical promotional language, uses poor grammar and spelling, includes irrelevant and unrelated phrases ('gain what you desire', 'lifestyles'), directs to a suspicious and likely fabricated URL, and employs a highly aggressive and unsolicited sales pitch. The overall tone and content are designed to lure the recipient into clicking a malicious link."
2270,0,True,High,"The email contains numerous spelling errors, uses excessive exclamation marks and dollar signs, offers incredibly low prices for software, includes a suspicious email address (zacrek@freedomnet.com), and requests account confirmation – all hallmarks of a phishing scam attempting to lure the recipient into downloading malicious software."
16883,1,False,Low,"This email appears to be a legitimate publication announcement for academic proceedings. It provides details about the volume, authors, pricing, and ordering instructions. There are no obvious phishing indicators such as urgent requests for personal information, suspicious links, or grammatical errors."
4797,1,False,Low,"The email appears to be a lengthy, philosophical discussion about wealth disparity and progress. It contains a verifiable signature block with contact information and a quote from Edward Gibbon. While the content is dense and potentially controversial, there are no typical phishing indicators such as requests for personal information, suspicious links, or urgent calls to action."
14672,1,False,Low,"The email is a legitimate announcement for a workshop. It contains a verifiable URL to the university website, provides details about the event, speakers, and registration information. There are no unusual requests for personal information or suspicious links, and the language is professional and informative."
6723,1,False,Low,"The email appears to be a simple request for coordination regarding a lunch meeting. It lacks any suspicious elements, urgent language, or requests for sensitive information, indicating it is a safe email."
4508,1,False,Low,"The email is a legitimate academic announcement for a symposium. It contains a clear subject, details the event, provides contact information for submissions, and includes relevant details like the location, speakers, and submission guidelines. There are no suspicious elements or requests for personal information, indicating it is not a phishing attempt."
11569,0,True,High,"This email exhibits numerous red flags indicative of a phishing attempt. It contains excessive and poorly formatted text, multiple grammatical errors, an unsolicited offer of a 'pre-qualified degree,' requests for detailed personal and business information, and includes suspicious URLs. The email attempts to create a sense of urgency and opportunity, a common tactic used in phishing scams."
12594,1,False,Low,The email discusses list management and redirects to a legitimate mailing list address (rpm-list@freshrpms.net). It contains a verifiable signature block with contact information and a link to the mailing list's webpage. There are no unusual requests for information or suspicious URLs.
