Email,Label,is_phishing_verdict,risk_level,explanation
15923,1,False,Low,"This appears to be an automated system log or error message from a scheduling software (likely WestDesk), not a phishing email. It contains technical details about schedule parsing failures and lacks typical phishing indicators such as urgent calls to action, suspicious links, or requests for personal information."
17749,1,False,Low,"This is a legitimate business email from Enron regarding a corporate structure update. It contains a clear sender signature with a valid corporate email address, references a previous discussion, and includes a standard forwarding header from a corporate system. There are no indicators of urgency, fabricated threats, requests for sensitive information, or suspicious links."
11199,1,False,Low,"This is a legitimate academic 'Call for Papers' announcement from the German Linguistic Society. It contains specific academic references, proper institutional affiliations (University of Hamburg, TU Chemnitz), and a verifiable email address ending in a legitimate university domain (.de). The content is coherent, lacks grammatical errors, and requests standard academic participation rather than sensitive information."
7660,0,True,High,"The email uses a classic 'too good to be true' scam structure with an unrealistic promise ('no more red light tickets', '100% guaranteed'). It contains a suspicious URL (http://www.dn-ice-boat.com/gone.php) and includes a massive block of random, nonsensical words that appear to be a distraction or 'word salad' technique to confuse the recipient. The lack of a legitimate sender identity and the generic 'check here if you would not like to receive future mailings' phrasing are typical indicators of a phishing attempt."
12737,1,False,Low,"Legitimate technical discussion within the Razor-users mailing list. The email contains a standard signature block with verified contact details and an official university URL, discusses legitimate software configuration (spamassassin), and lacks any fabricated urgency, financial incentives, or requests for sensitive information."
190,0,True,High,"Classic advance-fee fraud (419 scam). Uses a fabricated identity (son of a late president), claims receipt of millions in untraceable funds, requests upfront payment for assistance, and demands personal contact details under false pretenses."
11308,1,False,Low,"This email appears to be a legitimate academic announcement regarding book reviews. It contains specific bibliographic details, lists of books with ISBNs and prices, and provides a legitimate email address (carnie@linguistlist.org) for contacting a book review editor. There are no signs of urgency, fabricated offers, or requests for sensitive information."
13809,1,False,Low,"The email appears to be a legitimate business communication regarding a meter deal, containing specific reference numbers and a clear subject line. It lacks typical phishing indicators such as urgent language, suspicious links, or requests for sensitive information."
12409,1,False,Low,"This is a legitimate academic email discussing linguistic research on expletive negation in Modern Hebrew. It contains verifiable author and recipient email addresses, cites specific academic sources, and includes a standard institutional signature block with contact information."
11526,0,True,High,"The email contains a classic spam/phishing pattern: a generic subject line promising a free or discounted item ('this 6.3 megapixel canon dig cam could yours ! >') with no sender information, no return address, and no legitimate context. The use of 'could yours' is grammatically incorrect and typical of low-effort spam. The lack of sender details and the suspicious subject line indicate a high risk of phishing or unsolicited spam."
576,1,False,Low,"The email content is empty, providing no phishing indicators or malicious content to analyze."
15061,1,False,Low,"The email appears to be a legitimate financial inquiry from a municipal bond desk, providing specific bond details with accurate formatting (coupon rates, maturity dates, ratings). It lacks typical phishing indicators such as urgent language, fabricated urgency, suspicious links, or requests for sensitive personal information."
17179,0,True,High,"Classic spam/phishing pattern. Uses exaggerated health claims ('100% money back guarantee', '300% more weight loss'), contains multiple spelling errors ('guarant?e', 'calorized'), and directs to a suspicious domain ('baby33.com') unrelated to the advertised product."
2638,1,False,Low,"This is a casual, informal message with no suspicious elements, no requests for sensitive information, and no malicious links or urgency."
7934,0,True,High,"The email contains nonsensical, gibberish text that mimics spam/phishing patterns. It uses urgent language ('takes affect right away', 'lasts 24-36 hours'), offers suspicious discounts ('60% less'), and includes multiple suspicious links disguised as product names. The text is incoherent and appears to be a test of spam filters or a malicious payload."
4126,1,False,Low,"The email content is empty, providing no phishing indicators or malicious content to analyze."
2372,0,True,High,"The email exhibits multiple classic phishing indicators: it uses a generic 'Jane' greeting, promises unrealistic value (100 million addresses), contains poor formatting and spelling errors ('CD-ROM', 'reciept', 'T oronto'), and requests sensitive financial information (credit card details, billing address) via fax or mail. The sender domain (efi.ie) appears unrelated to the claimed entity (FT International), and the request to fax credit card information is a major red flag."
12652,1,False,Low,"Legitimate academic job posting with clear institutional affiliation (University of Southern California), specific research details, and standard contact information. No suspicious links, urgent language, or requests for sensitive personal data."
11904,0,True,High,"The email contains multiple indicators of phishing: it uses a suspicious URL (5f.ctc.fancythesmartest.com), contains numerous spelling and grammatical errors ('sh , op', 'luv', 'stainlessteel', 'fe - tures'), and promotes unrealistic luxury goods at a suspicious price point. The sender information appears to be from a legitimate domain (vg.com) but the content is clearly spam/scam in nature."
2270,0,True,High,"The email exhibits multiple classic phishing indicators: it uses a generic 'Dear Sir/Madam' style approach disguised as a software offer, contains numerous spelling and grammatical errors ('offce', 'pr ! ce', 'wlndows', 'dyne'), creates urgency with 'stock is limited' and a specific deadline, requests personal information ('updates your details'), and includes a suspicious domain (freedomnet.com) that does not match the sender's claimed identity."
16883,1,False,Low,"This is a legitimate academic announcement for the University of Pennsylvania Linguistics Club proceedings. It contains a clear, verifiable title, lists specific academic papers with real authors, provides a physical mailing address for payment, and includes standard academic disclaimers about ordering methods."
4797,1,False,Low,"This is a legitimate email from a known public domain contributor (R.A. Hettinga) discussing economic and social topics. It contains a valid PGP signature block, includes a verifiable physical address, and lacks any requests for sensitive information, fabricated urgency, or suspicious links."
14672,1,False,Low,"This is a legitimate academic workshop announcement from the University of Glasgow. It contains specific details about speakers, dates, locations, and registration fees, uses a verified institutional domain (stats.gla.ac.uk), and lacks typical phishing indicators like urgency, fabricated offers, or suspicious links."
6723,1,False,Low,"Internal business communication requesting coordination for a lunch event. Contains no suspicious links, requests for sensitive data, or signs of social engineering."
4508,1,False,Low,"This is a legitimate academic announcement for a symposium on Chinese historical phonology. It contains specific details about the event (date, location, organizers), includes verifiable contact information for the University of Minnesota, and requests standard academic submissions (abstracts, CVs) without asking for sensitive personal or financial information."
11569,0,False,Low,"This is a legitimate B2B marketing email from a Romanian software company (I.Q. Software) sent via a mailing list. It contains a clear anti-spam policy, provides specific technical project examples, and requests standard business contact information without using social engineering tactics or urgent threats."
12594,1,False,Low,"Legitimate mailing list announcement from a known maintainer (Daniel T. Drea) regarding list management. Contains standard email signature with verified contact information and official list URL, no fabricated urgency or requests for sensitive data."
17793,1,False,Low,"This is a legitimate email from the Spamassassin mailing list. It contains a standard signature block with a valid PGP key, references a known legitimate organization (SIAL), and includes a standard mailing list subscription URL. The content discusses technical spam analysis and is consistent with the expected content of a technical mailing list."
11259,1,False,Low,"This appears to be a legitimate business communication regarding a coal contract between corporate entities (NCPH, ENA, AIG). It contains specific technical and financial details (cost-based requirements contract, $72/ton, MTM treatment) that are consistent with industry terminology, lacks generic spam characteristics, and does not request sensitive information or direct the user to a suspicious URL."
564,1,False,Low,This is a legitimate technical discussion from a mailing list. It contains a standard unsubscribe link (http://xent.com/mailman/listinfo/fork) and discusses browser performance issues without requesting sensitive information or using social engineering tactics.
13904,0,False,Low,"This appears to be a legitimate email from a legitimate company (SQLCare) with a standard HTML email structure, including CSS styling and a clear call to action. It contains a standard unsubscribe instruction and does not exhibit typical phishing characteristics such as urgency, fabricated threats, or requests for sensitive information."
6771,0,True,High,"This email exhibits classic phishing characteristics: it uses a generic subject line about a 'star wars dvd trilogy set' with a suspicious phrase 'pending shipping authorization', creates urgency by implying a confirmation is needed, and lacks any sender identity or legitimate domain verification. The subject line is designed to trigger curiosity and potential action from the recipient."
7884,1,False,Low,"The text is a science fiction essay discussing future ubicomp scenarios, not a phishing attempt."
11376,1,False,Low,"Legitimate technical discussion within a mailing list thread. The email contains a verifiable signature block with professional email addresses, discusses technical security concepts (smart cards, clock rates, risk assessment) in a coherent manner, and lacks any fabricated urgency, requests for sensitive information, or suspicious links."
15816,0,True,High,"The email contains multiple spelling and grammatical errors ('publishinq', 'professionai', 'paqemaker', 'liiustrator', 'lndesign', 'cooi', 'sincereiy'), offers highly unrealistic pricing for commercial software (e.g., $80 for Adobe Photoshop 8.0), and lacks a legitimate sender identity or contact information."
18412,0,True,High,"Classic phishing attempt. Uses a generic 'come on in' greeting, offers unrealistic luxury goods (Rolex) at suspiciously low prices, contains multiple spelling errors ('repiica', 'detalls', 'remove me'), and lacks any legitimate sender information or contact details."
6332,1,False,Low,"This appears to be a legitimate internal business communication regarding meter activity and volume reallocation. It contains specific technical details (meter #1428, brandywine, sitara #423794), references a specific time period (Sep 5 to Sep 18), and lacks typical phishing indicators such as generic greetings, urgent financial incentives, suspicious URLs, or grammatical errors."
13564,0,False,Medium,"This is a direct marketing email for a weight loss supplement (SlenderNow), not a phishing attempt. It contains typical direct marketing characteristics: exaggerated claims, testimonials, and a toll-free number. However, it lacks the malicious intent of phishing (stealing credentials or data). The risk is 'Medium' due to potential spam filters triggering on unsolicited marketing, but it is not a security threat."
10956,1,False,Low,"This is a legitimate announcement email from the University of Edinburgh regarding the 'GALA '97' conference proceedings. It contains specific, verifiable details such as the conference location (Edinburgh), date (April 1997), ISBN number, and official domain (cogsci.ed.ac.uk). The email requests payment via cheque or credit card for a published academic book, which is a standard practice for conference proceedings, and explicitly advises against sending credit card details via email."
18442,1,False,Low,"This appears to be a legitimate technical notification from a utility company (CAISO) regarding outage information. It contains a proper email signature with official contact details, uses standard professional language, and references a specific document (TTC 07-04-01.pdf) without suspicious elements or requests for sensitive information."
3614,1,False,Low,"This is a legitimate internal corporate email chain regarding gas meter readings and billing allocation. It contains standard email headers, specific technical details about meter #981225, references to real company names (ECT, Enron), and follows a normal business communication pattern without any phishing indicators."
13365,1,False,Low,"This appears to be a legitimate book advertisement or review for a linguistic text by C.T. James Huang, published by Garland Publishing. It contains standard bibliographic details, academic content, and a professional email address associated with a known publisher domain."
5968,1,False,Low,"This is a legitimate academic announcement from a real journal (Syntaxis) published by the University of Huelva in 1998. It contains a verifiable editor name and affiliation, uses a standard academic URL (philologia.uhu.es), and requests paper submissions without asking for sensitive personal information."
12599,0,True,High,"This email exhibits classic phishing characteristics: it uses all-caps for urgency, makes unrealistic promises ('Everyone Approved', 'NO CREDIT CHECKS'), lacks sender information, and contains no legitimate contact details or verifiable domain."
4983,0,True,High,"Classic spam/phishing pattern. Uses high-pressure financial promises ($20k to $70k returns), promises 'double-digit monthly returns of 10-30%', and directs users to click links for a 'Free Foreign Currency Trading Newsletter'. The email contains typical spam characteristics including excessive capitalization, lack of sender identity, and generic 'remove' instructions."
1467,1,False,Low,"This is a legitimate email from a public mailing list (likely sci.space or similar) containing a philosophical/technical discussion about brain usage and lucid dreaming. It contains no requests for sensitive information, no suspicious links, no fabricated urgency, and the sender signature is consistent with a known contributor to such lists."
16147,0,True,High,"The email contains multiple red flags: it appears to be a spam advertisement for bulk email services disguised as a legitimate email, includes a suspicious URL (learnmorezz1@yahoo.com) that looks like a misspelled or fake domain, and contains a mix of legitimate-looking footer text (Irish Linux Users' Group) with unrelated spam content, indicating a potential spoofing attempt."
3774,1,False,Low,"This is a legitimate academic event announcement for a linguistics workshop at the University of Southern California. It contains specific details about speakers, institutions, and a structured schedule, with no requests for sensitive information or suspicious links."
2743,0,True,High,"The email exhibits multiple classic phishing indicators: it uses a generic 'dear customer' greeting, contains grammatical errors ('term of your subscription n 84 - 6 - 54 expires', 'cheapsoft', '05000'), creates false urgency, and directs the user to a suspicious domain (delphinium.moziyu.com) rather than a legitimate service provider."
4741,1,False,Low,"This is a legitimate internal business email forwarded through a mailing list (FW). It contains standard internal communication elements like a forwarding header, a clear subject line, and a direct contact request. There are no indicators of phishing such as suspicious URLs, requests for sensitive information, grammatical errors, or urgent financial incentives."
16272,1,False,Low,"Legitimate technical discussion within a Linux/RPM mailing list. The email contains a verifiable signature block with a real email address (matthias@egwn.net), references specific technical topics (ALSA, RPM packages), and includes standard mailing list administrative links. There are no fabricated urgency, requests for sensitive information, or suspicious domains."
14242,1,False,Low,"This is a legitimate internal corporate email from Enron regarding budget adjustments and charge reversals. It contains specific internal details (department names, employee names, specific dollar amounts, internal extension numbers), references a previous meeting, and includes a proper forwarding chain with original sender information. There are no requests for sensitive information, suspicious links, or fabricated urgency."
2325,1,False,Low,"Legitimate technical discussion on a mailing list. The email contains a verifiable signature block with specific contact details, discusses a known technical issue with RPM software, and includes a standard, safe mailing list administrative URL."
7479,0,True,High,"The email contains severe spelling and grammatical errors, nonsensical text ('v and more', 'medzonli', 'plainclothesman'), and lacks any legitimate sender information or clear purpose, indicating a spam/phishing attempt."
17581,1,False,Low,"This appears to be a legitimate internal corporate announcement regarding employee benefit meetings. It contains specific, verifiable details such as dates, times, locations, and attendee lists, which are typical of genuine organizational communications. There are no signs of urgency, fabricated threats, requests for sensitive information, or suspicious links."
16414,1,False,Low,"This is a legitimate email thread from a public mailing list (fork). It contains a standard unsubscribe link (http://xent.com/mailman/listinfo/fork) and discusses a technical topic (spamming laws) without requesting sensitive information, using urgency, or containing malicious links."
14557,1,False,Low,"This is a legitimate news article from Yahoo! Groups about a cultural misunderstanding in Namibia. It contains a standard Yahoo! Groups sponsorship banner with a tracking URL, but the content itself is informational and lacks any malicious intent, fabricated urgency, or requests for sensitive information."
1426,0,True,High,"The email contains severe character encoding issues and garbled text, which is a common tactic used by attackers to bypass filters or hide malicious content. It uses generic, high-pressure marketing language ('save money', '80% savings', 'no prescription required') typical of medical/pharmacy scams, and lacks any legitimate sender information or verifiable contact details."
3976,0,True,High,"Suspicious email with multiple red flags: uses a generic 'Nationwide' name to impersonate a legitimate service, contains no sender address or contact details, offers unrealistic 'no call out' and 'no hourly' charges, and directs users to a suspicious URL (qpas.co.uk) rather than a verified domain."
3605,0,True,High,"This email exhibits classic spam/phishing characteristics: it uses sensationalist and misleading language ('alter your life history', 'inflexible hard-on growth'), makes unrealistic health claims, lacks sender identity or contact information, and directs users to a suspicious site without proper branding or verification."
963,1,False,Low,"The text is a news report about a pipeline explosion, not a phishing attempt."
